LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
12,9,GLWD00000012, lake Erie,United States;Canada,42.2514,-81.1292,0,25767.79,499000.0,19.4,9796.883,589.5,172,58.09578547481177,NT,Temperate,0.628,12.30932945451226
13,4,GLWD00000013, lake Winnipeg,Canada,53.4153,-98.4236,0,23923.04,284000.0,11.9,2244.727,1464.3,215,35.614202877226305,NC,Cool,0.497,11.581487900182603
17,12,GLWD00000017, lake Balqhash,Kazakhstan,46.2903,74.4764,0,16717.89,111500.0,6.7,470.083,2745.3,338,20.008505858095727,NT,Temperate,0.571,14.833703382113882
18,100,GLWD00000018, lake Onega,Russian Federation,61.6625,35.5319,0,9961.85,262000.0,26.3,616.51,4918.7,13,78.9010073430136,NC,Cool,0.495,9.472562426933656
29,105,GLWD00000029, Vanern,Sweden,59.0514,13.5931,0,5486.23,153000.0,27.9,523.118,3385.2,44,83.66400971158701,NT,Temperate,0.595,9.525038466485183
48,152,GLWD00000048, lake Nasser,Sudan;Egypt,23.2069,32.7986,0,5385.34,162000.0,30.1,2669.791,702.3,179,90.24499845877884,NH,Hot,0.66,24.392813567125877
61,126,GLWD00000061, Volgogradskoye reservoir,Russian Federation,50.3431,45.8569,0,2613.38,31500.0,12.1,8230.0,44.3,8,36.1600685702041,NT,Temperate,0.513,14.4969616022394
77,144,GLWD00000077, Therthar lake,Iraq,33.8931,43.3014,0,1698.86,43500.0,25.6,43.226,11647.4,44,76.81621793437952,NH,Hot,0.55,21.44577106292192
79,129,GLWD00000079, Kakhovs'ke reservoir,Ukraine,47.4958,34.0597,0,2092.3,18180.0,8.7,1499.857,140.3,13,26.06700759929264,NT,Temperate,0.501,14.751916834767275
91,149,GLWD00000091, Nam lake,China,30.6958,90.4514,0,1963.82,87120.0,44.4,19.5,51709.4,4724,133.0875538491308,NC,Cool,0.511,6.131143885153628
95,104,GLWD00000095, Vattern,Sweden,58.5458,14.7069,0,1888.04,74000.0,39.2,33.7,25414.9,88,117.58225461324972,NC,Cool,0.551,9.2966222267945
105,147,GLWD00000105, Siling lake,China,31.8014,89.0903,0,1749.53,49000.0,28.0,0.0,-1.0,4539,84.02256606059913,NC,Cool,0.524,7.602241487457087
135,139,GLWD00000135, Sevan lake,Armenia,40.2958,45.3792,0,1242.22,32921.0,26.5,11.573,32924.1,1898,79.50524061760397,NT,Temperate,0.553,10.889275319043572
173,146,GLWD00000173, Razazza lake,Iraq,32.8208,43.5708,0,1330.22,26000.0,19.5,0.0,-1.0,29,58.63691720166589,NH,Hot,0.535,21.907773648299056
179,1449,GLWD00000179, Zhari Namco,China,30.9403,85.4903,0,958.1,23952.43,25.0,73.435,3775.1,4612,74.99978081619872,NF,Frigid,0.498,7.578509777435315
194,829,GLWD00000194, Salton sea,United States,33.2458,-115.7236,0,956.86,8560.0,8.9,25.481,3888.2,-71,26.837781911669424,NH,Hot,0.619,23.109317197952652
220,981,GLWD00000220, embalse Ezequiel Ramos Mejia,Argentina,-39.5264,-69.0847,0,711.51,22000.0,30.9,789.136,322.7,370,92.76046717544378,SW,Warm,0.568,13.664367718002731
241,137,GLWD00000241, Sarygamysh lake,Turkmenistan;Uzbekistan,41.9542,57.3514,0,3772.03,46000.0,12.2,0.0,-1.0,2,36.585074880104344,NT,Temperate,0.589,15.50623585585694
261,1473,GLWD00000261, Yang Zhuo Yong lake/Yamzho Yumco,China,28.8375,90.6042,0,566.97,16000.0,28.2,101.611,1822.5,4442,84.660564051008,NC,Cool,0.571,8.128560529376063
267,1343,GLWD00000267, lake Beysehir,Turkey,37.7069,31.5486,0,626.91,4159.0,6.6,23.837,2019.4,1122,19.902378331817964,NW,Warm,0.536,15.013757527702694
279,1365,GLWD00000279, lake Assad,Syrian Arab Republic,35.9236,38.2931,0,636.77,11600.0,18.2,733.186,183.1,302,54.65081583617319,NW,Warm,0.524,19.43113237280481
296,1307,GLWD00000296, Shardara reservoir,Uzbekistan;Kazakhstan,41.1319,68.1903,0,745.08,6700.0,9.0,543.691,142.6,248,26.976968916089547,NW,Warm,0.521,17.815866485863424
379,978,GLWD00000379, Cerros Colorados Complex/embalse los Barrales and embalse Mari Menuco,Argentina,-38.5375,-68.8208,0,395.81,2780.0,7.0,1.104,29144.9,414,21.070715747454592,SW,Warm,0.545,14.78526535862907
383,1445,GLWD00000383, Taro lake,China,31.1431,84.0181,0,473.71,16152.0,34.1,1.535,121787.9,4567,102.29043085432016,NF,Frigid,0.551,6.356277437047195
411,791,GLWD00000411, Pyramid lake,United States,40.1069,-119.5986,0,476.87,12800.44,26.8,63.332,2339.3,1165,80.52785874557007,NW,Warm,0.583,15.413110965429269
443,1001,GLWD00000443, lago Cardiel,Argentina,-48.9264,-71.2125,0,349.05,6357.52,18.2,3.11,23660.0,285,54.64134078212292,ST,Temperate,0.494,7.810818220495736
448,995,GLWD00000448, lago Musters,Argentina,-45.4153,-69.1819,0,410.52,5642.34,13.7,1.214,53793.1,270,41.233118971061096,ST,Temperate,0.541,9.463523922477384
460,1678,GLWD00000460, Gariep dam,South Africa,-30.6903,25.6875,0,294.36,5673.8,19.3,166.072,395.4,1259,57.82511210762332,SW,Warm,0.625,17.31915206025888
461,1320,GLWD00000461, Kayrakkumskoye/Kairakum reservoir,Tajikistan,40.3153,70.1764,0,429.94,4160.0,9.7,494.049,97.5,345,29.02730613573987,NT,Temperate,0.486,16.058812277898994
523,788,GLWD00000523, Utah lake,United States,40.2042,-111.8014,0,362.19,1689.7,4.7,38.282,510.9,1368,13.995692868383998,NT,Temperate,0.479,14.743798507415114
576,1355,GLWD00000576, Mosul dam lake,Iraq,36.6597,42.9097,0,346.9,12500.0,36.0,776.235,186.4,307,108.10031709426347,NH,Hot,0.517,21.978209970126585
883,798,GLWD00000883, Mono lake,United States,38.0181,-118.9681,0,185.96,1568.27,8.4,8.159,2224.7,1948,25.300118305011832,NW,Warm,0.57,13.264956240322688
913,1457,GLWD00000913, Xuru lake,China,30.3181,86.4069,0,205.49,7449.97,36.3,0.592,145652.9,4714,108.7639787824225,NC,Cool,0.513,5.529586840948326
1128,795,GLWD00001128, Walker lake,United States,38.7264,-118.7153,0,142.0,3440.32,24.2,10.54,3777.9,1206,72.68281690140846,NW,Warm,0.537,15.981705138333686
1188,794,GLWD00001188, Clear lake,United States,39.0736,-122.8486,0,156.02,6328.5,40.6,25.844,2834.2,403,121.68632226637612,NH,Hot,0.508,18.8852270095498
300000138,138,HYLA00000138,Aydar,Uzbekistan,40.8542,67.0792,0,2742.41,44300.0,16.2,0.0,-1.0,241,48.46102515670525,NW,Warm,0.639,18.26355405232339
