LakeID,Hylak_id,Division,Name,Lat_centre,Lon_centre,Lake_area,Shore_len,Shore_dev,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Wshd_area
exper2_01,9068,Northern America,Sunapee,43.3758,-72.0564,15.77,45.63,3.24,50.4,3.2,2.258,258.3,335,119.8
exper2_02,9086,Northern America,Mendota,43.1053,-89.4199,41.12,49.2,2.16,197.4,4.8,6.047,377.8,258,640.1
exper2_03,,Europe ,BlelhamTarn,54.3956,-2.9781,0.11,1.834,1.560300218,0.717829,6.8,0.16616412,50,47,2.13786794
exper2_04,104,Europe,Vatten,58.321,14.467,1888.04,644.78,4.19,74000,39.2,33.7,25414.9,88,6369.1
exper2_05,14061,Europe,WortherSee,46.628,14.127,18.56,44.78,2.93,457.55,24.7,3.515,1506.6,437,170.6
exper2_06,14336,Asia,Mashu,43.5897,144.5489,18.74,19.6,1.28,2197.45,117.3,0.853,29816.5,347,40.7
exper2_07,184967,Oceania,Rotoehu,-38.0153,176.5306,7.35,29.98,3.12,134.64,18.3,2.58,604,300,78.6
exper2_08,16649,Oceania,Rotorua,-38.0708,176.2711,79.82,43.56,1.38,1595.29,20,13.897,1328.6,282,502.5
exper2_09,162733,Europe,Bassenthwaite,54.6592,-3.2244,5,15.43,1.95,62.96,12.6,11.351,64.2,69,367.3
exper2_10,1032267,Northern America,Sparkling,46.0088,-89.6995,0.56,3.33,1.25,2.47,4.4,0.069,413.8,494,4
exper2_11,8736,Northern America,Trout,46.0416,-89.6712,15.24,29.02,2.1,167.73,11,1.743,1113.8,490,99.3
exper2_12,8478,Northern America,Washington,47.6167,-122.2667,83.77,110.12,3.39,2851.99,34,54.017,611.1,1,1488.1
exper2_13,105136,Northern America,Union,47.6392,-122.3337,1.75,11.6,2.47,10.4,5.9,54.556,2.2,0,1507.6
exper2_14,12179,Europe,Selbusjoen,63.2403,10.9867,57.63,104.97,3.9,4580.66,79.5,74.839,708.4,149,2790.5
exper2_15,12129,Europe,Feren,63.5689,11.8322,25.74,32.89,1.83,627.3,24.4,9.413,771.3,405,309.3
exper2_16,15431,Asia,Luguhu,27.7072,100.7888,50.03,49.49,1.97,2564.44,51.3,2.531,11727,2692,199.5
exper2_17,1467,Asia,Qiandaohu,29.5589,118.9499,424.57,1496.13,20.48,21626,50.9,372.158,672.6,100,10424.1
exper2_18,123,Asia,Hulunhu,48.9463,117.3982,2121.43,424.9,2.6,13100,6.2,28.131,5389.8,540,133702.3
exper2_19,13140,Europe,Leven,56.197,-3.378,13.26,20.66,1.6,54.11,4.1,3.414,183.4,106,158.5
exper2_20,14005,Europe,Zurich,47.223,8.723,83,101.55,3.14,1498.59,18.1,73,237.6,402,1837.8
exper2_22,1152,Europe,Mjosa,60.6941,11.0456,364.81,340.3,5.03,29025.4,79.6,276.143,1216.6,109,16679.6
exper2_23,710,Northern America,Rainy,48.5736,-92.8014,826.48,2156.32,21.16,6611.8,8,311.645,245.6,334,38038.1
exper2_25,1040876,Northern America,Johanna,45.0431,-93.1701,0.88,4.36,1.31,3.46,3.9,0.1,400.7,267,13.8
exper2_27,108799,Northern America,Lucerne,45.5268,-88.8464,4.08,14.16,1.98,42.62,10.4,0.322,1531.9,498,31.9
exper2_28,109431,Northern America,WhiteBear,45.0773,-92.9805,9.41,20.17,1.86,55.47,5.9,0.426,1507.2,278,58.2
exper2_29,1041956,Northern America,Nokomis,44.9085,-93.2421,0.82,4.17,1.3,2.68,3.3,0.065,477.5,245,9
exper2_30,111092,Northern America,Oconomowoc,43.0989,-88.4531,2.97,10.99,1.8,15.15,5.1,0.498,352.2,262,58.9
exper2_31,111242,Northern America,Delavan,42.6044,-88.6108,7.76,26.14,2.65,25.9,3.3,0.979,306.2,281,106.6
exper2_32,1066600,Northern America,Suggs,29.6878,-82.0178,0.26,1.88,1.05,0.95,3.7,0.073,150.9,32,8
exper2_34,1054140,Northern America,Giles,41.3762,-75.0929,0.45,3.01,1.26,2.18,4.8,0.022,1144.6,432,1.1
exper2_35,,Northern America ,Lacawac,41.3817,-75.2924,0.214,1.639463327,1,1.12,5.2,0.010762111,1204.5,439,0.7
exper2_36,1054096,Northern America,Waynewood,41.3947,-75.3629,0.21,2.22,1.36,1,4.7,0.045,258.3,422,2.4
exper2_37,1164,Europe,Vortsjarv,58.2833,26.0333,259.79,103.9,1.82,1986.67,7.6,31.211,736.7,33,3530.9
exper2_38,9102,Northern America,Otsego,42.768,-74.892,16.3,29.88,2.09,425.9,26.1,4.54,1085.8,365,204.5
exper2_39,9069,Northern America,WestOkoboji,43.3844,-95.1594,20.12,50.37,3.17,129.64,6.4,1.656,906.1,425,319.7
exper2_40,8,Northern America,Huron,44.76036,-82.41468,59399.3,8856.64,10.25,3550000,59.8,9162.152,4484.5,175,576017.7
exper2_41,9,Northern America,Erie,42.23519,-81.19387,25767.79,1935.52,3.4,499000,19.4,9796.883,589.5,172,679903.4
exper2_42,66,Northern America,SaintClair,42.41535,-82.74656,1161.17,445.45,3.69,3400,2.9,9261.066,4.2,173,592711.4
exper2_43,809,Northern America,Mead,36.1496,-114.40705,580.95,758.83,8.88,36700,63.2,586.683,724,372,424018.4
exper2_44,1242,Europe,NeusiedlerSee,47.87046,16.78102,141.51,156.08,3.7,301.67,2.1,5.237,666.7,110,1142.6
exper2_45,12809,Europe,Erken,59.84518,18.57828,23.14,46.53,2.73,167.22,7.2,1.02,1897.5,15,138.7
