LakeID,Hylak_id,short_name,Name,Country,Lat_centre,Lon_centre,Sea_mask,Lake_area,Vol_total,Depth_avg,Dis_avg,Res_time,Elevation,Z_max,TR,Phase,Cover_1995_2020,annual_ave_95_10
3,16,GLWD00000003, lake Victoria,Tanzania United Republic of;Uganda;Kenya,-0.8764,33.1431,0,67166.22,2760000,41.1,1735.515,18406.3,1134,123.2762540455604,SH,Hot,0.216,25.14309457430791
12,9,GLWD00000012, lake Erie,United States;Canada,42.2514,-81.1292,0,25767.79,499000,19.4,9796.883,589.5,172,58.09578547481177,NT,Temperate,0.628,12.30932945451226
13,4,GLWD00000013, lake Winnipeg,Canada,53.4153,-98.4236,0,23923.04,284000,11.9,2244.727,1464.3,215,35.614202877226305,NC,Cool,0.497,11.581487900182603
17,12,GLWD00000017, lake Balqhash,Kazakhstan,46.2903,74.4764,0,16717.89,111500,6.7,470.083,2745.3,338,20.008505858095727,NT,Temperate,0.571,14.833703382113882
18,100,GLWD00000018, lake Onega,Russian Federation,61.6625,35.5319,0,9961.85,262000,26.3,616.51,4918.7,13,78.90100734,NC,Cool,0.495,9.472562426933656
19,77,GLWD00000019, lago de Sobradinho,Brazil,-9.9042,-42.1986,0,2614.96,34100,13,2671.621,147.7,385,39.1210573,SH,Hot,0.445,25.879999709108176
21,72,GLWD00000021, lago Nicaragua/Cocibolca/Granada,Nicaragua,11.3569,-85.2431,0,7833.32,104000,13.3,243.917,4934.9,31,39.829855029540475,SH,Hot,0.063,26.428375115535935
22,158,GLWD00000022, lake Turkana,Kenya;Ethiopia,3.7764,36.0486,0,7473.43,238000,31.8,1198.172,2299,361,95.53846092088908,SH,Hot,0.135,26.92802030345988
23,33,GLWD00000023, lake Athabasca,Canada,59.3319,-109.4181,0,7528.73,155400,20.6,1196.006,1503.8,207,61.922794415525594,NC,Cool,0.435,9.782349620470033
24,156,GLWD00000024, lake Volta,Ghana,6.5597,0.0292,0,6045.16,148000,24.5,1372.072,1248.5,75,73.44718750206776,TH,Hot,0.098,27.807600493248643
27,49,GLWD00000027, Michikamau lake,Canada,54.0153,-63.9986,0,5814.1,32320,5.6,892.163,419.3,466,16.67669974716637,NC,Cool,0.27,8.389395136531064
28,38,GLWD00000028, Reindeer lake,Canada,57.5542,-102.2014,0,5435.48,92403.16,17,355.998,3004.2,335,51,NC,Cool,0.349,9.812986779823678
29,105,GLWD00000029, Vanern,Sweden,59.0514,13.5931,0,5486.23,153000,27.9,523.118,3385.2,44,83.66400971158701,NT,Temperate,0.595,9.525038466485183
33,116,GLWD00000033, Kuybyshevskoye reservoir,Russian Federation,54.5514,48.5931,0,5060.1,58000,11.5,7739.459,86.7,45,34.386672200154145,NC,Cool,0.458,14.164043135294804
35,172,GLWD00000035, lake Kariba,Zimbabwe;Zambia,-17.0153,27.8347,0,5276.89,185000,35.1,1315.381,1627.8,487,105.17558637758223,SH,Hot,0.262,24.68666293
37,53,GLWD00000037, lake Manitoba,Canada,50.3958,-98.2681,0,4751.05,16942,3.6,168.578,1163.2,245,10.697845739362878,NT,Temperate,0.401,13.60204653
39,110,GLWD00000039, Bratskoye reservoir,Russian Federation,55.6375,101.9486,0,4810.66,169000,35.1,2967.669,659.1,391,105.39094427791612,NC,Cool,0.429,11.546271407345987
40,122,GLWD00000040, lake Zaysan,Kazakhstan,47.9014,84.2597,0,4193.6,53000,12.6,802.318,764.6,388,37.91491797024036,NC,Cool,0.462,14.616136822286638
41,143,GLWD00000041, Qinghai lake,China,37.0208,100.2014,0,4266.55,71600,16.8,28.133,29456.6,3194,50.34512662455615,NC,Cool,0.461,8.922462006
42,171,GLWD00000042, lago de Cahora Bassa,Mozambique;Zimbabwe;Zambia,-15.6181,32.3069,0,2048.68,63000,30.8,2652.541,274.9,317,92.25452486,SH,Hot,0.218,23.945672413910867
44,57,GLWD00000044, lake of the Woods,United States;Canada,49.0847,-94.9458,0,3472.81,37000,10.7,449.584,952.5,320,31.96258937287096,NT,Temperate,0.34,13.359396536141931
47,107,GLWD00000047, Rybinkskoye reservoir,Russian Federation,58.4014,38.5208,0,4042.34,25400,6.3,993.57,295.9,97,18.850467798354423,NC,Cool,0.38,13.326738125222494
48,152,GLWD00000048, lake Nasser,Sudan;Egypt,23.2069,32.7986,0,5385.34,162000,30.1,2669.791,702.3,179,90.24499845877884,NH,Hot,0.66,24.392813567125877
49,26,GLWD00000049, Dubawnt lake,Canada,63.1625,-101.4431,0,3583.21,91327.16,25.5,290.868,3634,218,76.46257964227605,NF,Frigid,0.242,5.782218115344658
