Observed,Predicted,Error,phase
6.24,4.0517616,-0.21262037266809083,train
6.08,5.29928,-0.06860888833761872,train
5.93,5.319933,-0.054228492152633395,train
5.93,5.1434183,-0.07103330753810473,train
5.62,4.9030952,-0.068126785064524,train
5.46,4.725669,-0.07209454135257248,train
5.31,4.7181616,-0.059017633323362136,train
5.46,4.6354547,-0.08167491297228192,train
5.31,4.5466175,-0.0774487230190377,train
5.77,4.8954268,-0.08200077247658506,train
6.08,5.076467,-0.08995077832629042,train
5.93,4.8774796,-0.09738813630416723,train
5.77,4.674573,-0.104880021815336,train
5.93,4.979583,-0.08711763550702907,train
6.08,5.0645266,-0.0911185744372077,train
6.08,4.989094,-0.09855424231996696,train
5.93,5.1366177,-0.07169147832341069,train
5.77,4.9271383,-0.07879319010275915,train
5.62,4.7742577,-0.08136629499001254,train
5.46,4.7462573,-0.06993187698434779,train
5.46,5.008419,-0.04313745925205155,train
5.46,4.751548,-0.06937755519825947,train
5.31,4.5981054,-0.07184971145835493,train
5.31,4.525035,-0.07981314255518747,train
5.31,4.5795817,-0.07385734087381864,train
5.31,4.7496624,-0.055701426592034246,train
5.31,4.8943205,-0.04073563326673056,train
5.31,4.914816,-0.03864950196085033,train
5.31,5.0922775,-0.02093026421950573,train
5.46,5.253455,-0.019279016175366783,train
5.46,5.279867,-0.01677235503726968,train
5.31,4.886678,-0.04151565021747117,train
4.99,4.6613917,-0.03404773662226133,train
4.83,4.864706,0.0035799039037006635,train
4.68,4.6094027,-0.007599753794525608,train
4.52,4.4808164,-0.004353340312183462,train
4.52,4.4016547,-0.013264945190465923,train
4.52,4.3429956,-0.019971163792595586,train
4.68,4.3133326,-0.04077101289289694,train
4.52,4.291401,-0.025943555893936456,train
4.83,4.2908134,-0.05911605202331358,train
4.83,4.4249744,-0.04376300421740578,train
4.99,4.7521524,-0.024414248818963,train
5.15,4.727431,-0.04278129389141139,train
4.99,5.069477,0.007900739903941231,train
5.15,4.989744,-0.0158047288484586,train
5.15,5.2321415,0.007911797259799083,train
5.15,5.232614,0.007956950333242705,train
5.15,5.1128817,-0.003616765328600249,train
5.31,4.9083166,-0.03931012788387597,train
5.62,4.78395,-0.08035890740147976,train
5.77,5.057184,-0.06583574716935878,train
5.62,5.625185,0.00046109755465642804,train
5.77,6.372407,0.049611825856360744,train
5.93,6.567006,0.05097271185522991,train
5.77,6.612796,0.06806183851616211,train
5.93,7.046754,0.0860580450113865,train
5.93,6.8495436,0.07195435035238891,train
5.93,7.2259197,0.09850469897331866,train
5.93,6.450592,0.04204905695709322,train
5.93,6.1088,0.01485198770413804,train
5.77,6.209797,0.03671155101875916,train
5.77,5.94209,0.014693368419462673,train
5.77,5.582982,-0.01647302152902384,train
5.93,6.201787,0.022402896667627143,train
5.77,6.8133693,0.08291652832112849,train
5.77,6.0468,0.02342429023825959,train
5.93,6.2837076,0.02895990360896761,train
6.08,6.4949102,0.032995091898078754,train
6.24,7.025177,0.05919086072255701,train
6.24,6.8661613,0.04777612374066839,train
6.24,7.0633793,0.0618925096368327,train
6.39,6.981326,0.04422345533008462,train
6.55,7.1524534,0.04396681417900143,train
6.71,7.4117384,0.04969206594723994,train
6.55,6.992399,0.03266769880920985,train
6.55,6.902336,0.02619143037433475,train
6.55,6.752967,0.015257249677615273,train
6.71,6.671294,-0.002892532297782159,train
7.48,6.237936,-0.09054306680301441,train
7.79,6.65685,-0.07843579151104194,train
7.48,6.981972,-0.03443705971528065,train
7.32,7.085046,-0.01631055932571833,train
7.63,7.5030622,-0.008388114921409317,train
7.32,6.7476244,-0.04068745022150572,train
7.17,6.448384,-0.05298839232920963,train
7.32,8.103846,0.050820361954061366,train
7.63,7.6324277,0.00015905582015738684,train
7.63,7.9742475,0.022061130446110386,train
7.63,7.930039,0.019282651779169668,train
7.63,8.003595,0.02389694926734945,train
7.63,9.008995,0.08287729683031442,train
7.79,8.143462,0.022183641952216993,train
7.94,9.205877,0.07382983210378494,train
7.94,9.079269,0.06693996791157233,train
7.94,8.646934,0.042619902803254284,train
7.94,8.563709,0.0377920617638657,train
8.25,9.274982,0.058486931737420575,train
8.25,8.828077,0.03384908649716529,train
8.25,9.794726,0.08560541955250671,train
8.41,9.641234,0.06820777647360211,train
8.25,9.473328,0.06902358641637309,train
8.56,9.829932,0.06905581540697357,train
8.41,10.141876,0.09335316638232397,train
9.02,9.943589,0.04870326604312397,train
9.02,10.265175,0.06456640331615532,train
9.18,9.9641075,0.0409581483598827,train
9.02,10.054953,0.05425712762688549,train
9.33,9.875495,0.02840307092596783,train
9.33,9.7721615,0.02314720049877015,train
10.73,9.905293,-0.03996580408623423,train
9.18,9.78322,0.03180999677234058,train
10.11,10.287816,0.008717423157878988,train
10.27,9.951454,-0.015752887274749557,train
10.11,10.06776,-0.002093353716564227,train
9.96,9.743237,-0.011001415707514218,train
10.11,10.687071,0.027747715227036954,train
10.27,10.920719,0.030707720224229615,train
10.11,11.405257,0.06020181750468587,train
10.27,10.385697,0.005601210282861188,train
10.27,10.238552,-0.001533426807142748,train
10.27,10.551849,0.013536208831906796,train
10.73,10.83887,0.005047575897684705,train
10.42,10.348159,-0.003459201185397819,train
10.58,10.341977,-0.011376687956846942,train
10.42,9.958337,-0.022654608581382598,train
10.27,10.730494,0.021927726447591334,train
10.42,10.328798,-0.0043955211573524135,train
10.58,10.379504,-0.009565861801405092,train
13.06,11.498304,-0.06359136211218337,train
10.42,12.193262,0.07841690465020595,train
10.42,12.643578,0.0964107794958252,train
10.73,12.150904,0.062100002975946596,train
11.2,10.601206,-0.027466094925329025,train
11.2,9.862112,-0.06352106442202876,train
10.89,11.081219,0.008703130018096236,train
10.58,11.40276,0.03742749536085708,train
11.04,11.70223,0.029118977318573602,train
11.51,12.00161,0.020909226238160505,train
11.82,12.078878,0.010832253582332493,train
11.82,11.908081,0.0037121148057916065,train
11.97,12.082319,0.004669778001668075,train
12.59,11.790849,-0.03277783412613715,train
11.35,10.793463,-0.025133269569747395,train
12.5,12.021467,-0.019514851499780925,train
11.9,11.940275,0.0016893921756404625,train
12.2,10.613865,-0.06952504237613875,train
12.2,11.695721,-0.021103324214068544,train
12.7,12.299362,-0.016025914052448315,train
13.8,12.4756565,-0.05040192511453696,train
14.9,13.142834,-0.0626600703375972,train
16.7,14.104895,-0.08424330260162494,train
19.4,14.7953205,-0.13465816638773917,train
18.0,15.755852,-0.06648175466900157,train
17.3,16.553595,-0.02204801805258912,train
16.1,16.129646,0.0009198338440266459,train
15.0,15.665392,0.021698464630408577,train
15.3,15.458506,0.0051532230037295255,train
15.0,15.358645,0.011813617964834173,train
14.9,15.305212,0.013415314124636988,train
15.0,15.212252,0.007025350694615207,train
15.3,15.177891,-0.004006491567080126,train
14.7,14.903475,0.006873348520961927,train
14.7,14.989944,0.009765752543438758,train
15.5,15.462647,-0.0012063749401732958,train
16.5,15.6646,-0.025972641289354045,train
14.8,15.441273,0.021205210059213303,train
15.1,15.383299,0.009293563995758236,train
14.6,15.2605095,0.022119820201287638,train
14.7,15.329657,0.02096783203529353,train
15.5,15.220173,-0.009108904399530666,train
16.3,15.061038,-0.039506385255685283,train
16.7,15.329836,-0.04277776643036186,train
17.8,15.745854,-0.061233942140833345,train
15.8,16.119658,0.010014434637009946,train
17.3,16.571953,-0.021494079113410485,train
17.8,16.440706,-0.03969815938521805,train
17.5,16.4697,-0.030329974790434044,train
17.9,16.74337,-0.03338675115149652,train
19.6,16.89042,-0.07425454055068371,train
18.0,16.194939,-0.05278738348669868,train
19.2,16.189215,-0.08507637189994406,train
18.1,15.932095,-0.0637018029696201,train
18.0,16.584341,-0.04093352389718707,train
18.1,16.937283,-0.03318515939381894,train
18.1,17.234524,-0.02449379548704494,train
18.0,17.295113,-0.019971246385533183,train
17.9,17.299957,-0.017046678350997553,train
17.9,17.306225,-0.016865619786023568,train
17.8,17.122042,-0.019413456847147997,train
17.3,16.815285,-0.014208133472926722,train
16.9,15.545564,-0.041744873020373885,train
16.4,16.25496,-0.004441607576555569,train
16.5,16.3704,-0.003942773041152969,train
17.2,16.754166,-0.01313049798104255,train
17.6,16.854523,-0.021636569297999075,train
17.5,16.970259,-0.015368068213402104,train
17.4,16.944807,-0.013253606877934,train
17.3,16.94529,-0.01035791015837126,train
17.4,16.90683,-0.014375265578782586,train
16.8,17.072994,0.008059370228530514,train
16.9,16.848349,-0.0015304749321431047,train
16.8,17.13208,0.0097866339984605,train
16.8,17.225441,0.012503636668380128,train
17.5,17.108341,-0.011316889778182524,train
16.5,17.256618,0.022413930464075704,train
16.3,17.285305,0.029337408364612017,train
16.2,17.33711,0.03390601375581844,train
16.0,17.362995,0.040853500762470775,train
16.2,16.882458,0.020628967774430237,train
15.7,16.37297,0.020982489728879773,train
15.6,16.69186,0.03381223001334595,train
15.5,16.608898,0.03453554080921641,train
15.5,16.438963,0.029398667022191117,train
15.5,16.761837,0.03911237309256783,train
15.4,16.966526,0.04839958511156064,train
15.6,17.028206,0.04377211174392165,train
15.6,17.119898,0.046451778380788886,train
16.1,17.221413,0.03365440342731206,train
15.7,16.607222,0.028081083871018018,train
16.3,16.602846,0.009204277169556224,train
15.9,16.088078,0.005879625889148299,train
16.6,16.55924,-0.0012292211581115481,train
16.6,16.809515,0.006271106166357467,train
15.7,16.192219,0.015433826588976574,train
16.0,16.61315,0.018800687748875163,train
15.9,16.509127,0.01879492336147803,train
16.0,16.702787,0.02149013754427573,train
16.0,16.147758,0.004596229748359566,train
16.1,16.269115,0.005224580968453996,train
16.1,16.345566,0.007568535345824873,train
15.9,16.169231,0.008395330589151715,train
15.8,16.090347,0.009104544862022713,train
15.8,16.029358,0.007205854378036153,train
15.6,16.168743,0.017902588807341222,train
15.5,16.14764,0.020464092222994057,train
15.5,16.444448,0.029565339715433837,train
15.1,16.305618,0.038388605472904735,train
15.1,16.132168,0.03304821580624833,train
15.2,16.04823,0.02714487939578363,train
15.0,15.647457,0.021125965531443865,train
15.0,15.91732,0.029670108664135653,train
14.9,15.8346195,0.030409353676651655,train
15.1,15.481602,0.012478134154427396,train
14.8,15.575127,0.0255184599337112,train
14.8,15.470421,0.022147714630209658,train
14.7,15.517271,0.027046493928298485,train
14.6,15.260374,0.022115385352410498,train
14.6,15.625088,0.03391511556605872,train
14.6,15.584997,0.03263199851986954,train
14.7,15.4721575,0.02559172888127493,train
15.0,15.5108595,0.01674352994276396,train
15.4,15.546392,0.004730529555270314,train
16.0,15.473171,-0.016738979429496603,train
15.9,15.477266,-0.013472598531225738,train
15.5,15.417794,-0.0026588498453268645,train
15.4,15.451971,0.0016845418433195565,train
15.2,15.310757,0.003630092689156423,train
15.3,15.248213,-0.0016952669668507455,train
14.6,15.298059,0.023347972599254592,train
14.7,15.067074,0.012331545159700726,train
14.5,15.279227,0.026166805809160976,train
14.5,15.0781355,0.01954604240029872,train
14.5,15.448519,0.031671641621844944,train
14.5,15.118885,0.020894947241987257,train
14.4,15.312199,0.03070116227960792,train
14.4,15.198696,0.026984179456937162,train
14.5,15.136391,0.02147328575793905,train
14.4,15.335763,0.031469290758717544,train
14.3,15.526934,0.04113508565902072,train
14.3,15.432095,0.03807650931422048,train
14.5,15.242508,0.024964536823987214,train
14.4,15.450727,0.03519940540733266,train
14.3,15.223491,0.03127985532739851,train
14.0,15.262484,0.04314341920518807,train
14.2,14.96793,0.02632788957099625,train
14.1,14.985178,0.030433975713833227,train
13.7,14.847828,0.04020719591501023,train
13.8,14.678535,0.03084903245803877,train
13.6,14.489925,0.03168128710860461,train
13.6,14.284374,0.024543274323105196,train
13.7,13.981899,0.01018353009268231,train
13.6,13.916418,0.011499232524970666,train
13.8,13.931551,0.0047437227031155065,train
13.8,13.814809,0.0005362577291667775,train
13.7,13.9882145,0.010409291129736762,train
13.9,14.148672,0.008865749074059088,train
13.6,14.260347,0.023702036702516065,train
13.6,13.854641,0.009274955591300042,train
13.3,12.406454,-0.03475960141376955,train
13.3,13.391661,0.0034340500571043513,train
13.2,13.453884,0.00952522777240224,train
13.1,13.286736,0.007076856864438395,train
13.0,13.233158,0.008887916223453566,train
13.0,13.221924,0.008463293142777339,train
13.0,12.05456,-0.037735258707022525,train
13.0,13.013039,0.000501234609179251,train
13.0,13.142479,0.005450093052860504,train
13.0,12.304464,-0.027486677862008754,train
13.0,13.373952,0.01417883497987152,train
13.1,13.400171,0.01132713033987581,train
13.1,12.246521,-0.03367244651297472,train
13.1,13.201294,0.0038512767692815662,train
12.8,12.131336,-0.026820222059940096,train
12.7,11.404523,-0.053744142927137445,train
12.4,11.451807,-0.039753491662998866,train
11.9,11.005765,-0.0390397209476804,train
11.7,10.828705,-0.038674881182830724,train
11.5,10.743206,-0.03402360140924516,train
11.3,10.639625,-0.030099675884285075,train
11.2,10.759502,-0.02005953477270486,train
11.0,10.762157,-0.010929181101100666,train
10.9,10.729589,-0.007878566514293394,train
10.8,10.272289,-0.025042884658631418,train
10.6,10.107793,-0.02376919266849792,train
10.3,10.270966,-0.0014114366283034373,train
10.2,10.322047,0.005947136952838631,train
10.1,10.061647,-0.0019022734002427507,train
10.0,9.948593,-0.002576966705957314,train
9.9,10.0093975,0.005494786582205575,train
9.9,10.296563,0.01963519904563452,train
9.9,10.561598,0.03233365368571474,train
9.8,10.546976,0.03671188723354024,train
9.8,10.083065,0.014236479086071906,train
9.6,9.933634,0.01707994629561821,train
9.6,9.908358,0.015806416856945026,train
9.5,9.748657,0.012918159622031265,train
9.3,9.897316,0.031114546584933962,train
9.1,8.830393,-0.015036343076944353,train
9.0,8.218963,-0.04535913955006569,train
8.8,7.8530073,-0.05686617709918208,train
8.5,7.8681116,-0.038604843651324175,train
8.4,7.723372,-0.04196564172157699,train
8.3,8.125731,-0.010609495281714166,train
8.2,7.6438065,-0.03510478116054867,train
8.0,7.5677605,-0.027765042593779213,train
8.0,8.102231,0.006348873366222444,train
8.0,8.029122,0.0018168401213416213,train
7.9,7.6178336,-0.01818336800718404,train
7.9,7.9048824,0.0003089131257184101,train
7.9,8.134524,0.014626205529006819,train
7.8,7.4985857,-0.01970211442282098,train
7.8,7.2093105,-0.039354882449000705,train
7.8,7.8289604,0.0018529848970777853,train
7.6,7.246695,-0.023796869556101635,train
7.3,6.902817,-0.027965115603697455,train
7.4,6.628136,-0.05502255776801588,train
7.2,6.556823,-0.04675331301593323,train
7.2,6.4847727,-0.05226445142013073,train
7.0,6.540327,-0.033948436061203284,train
6.7,6.3915377,-0.02356194935236437,train
6.7,6.2472486,-0.034968909502780386,train
6.5,6.3659725,-0.010417205608204019,train
6.4,6.3441133,-0.004385298804254664,train
6.3,6.3026943,0.00021377412119350585,train
6.0,6.125002,0.010309434035871992,train
5.8,6.0389223,0.020181069614089244,train
5.7,5.9879103,0.02463318586951892,train
5.6,6.0148516,0.03571734571021092,train
5.5,4.6911197,-0.07937109515496371,train
