train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
-0.000639081,1.2401202,0.14720522,0.9515205,0.03764655,0.08042532,1.1085539,0.15515882,0.8656252,0.0344639,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,3,100
0.9805818,1.1487656,0.040916298,0.8331839,0.2565675,0.96729827,1.5142255,0.056019373,1.1124855,0.43466917,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,12,100
0.95868516,1.4156686,0.05600416,1.0166395,0.24327222,0.9565784,1.4815961,0.061924826,1.0797442,0.39136147,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,13,100
0.98284,1.0512681,0.03841669,0.79127395,0.19172361,0.9801746,1.1641539,0.0433892,0.89597225,0.33090332,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,17,100
0.9744268,1.0099678,0.043121804,0.74590665,0.26123554,0.96033746,1.2472057,0.05547274,0.9313486,0.3898324,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,18,100
0.17109889,1.5394619,0.15233195,1.1626852,0.04462239,0.15296203,1.5139033,0.16584544,1.1239891,0.042451583,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,19,100
0.2696122,0.9104664,0.15343215,0.7157354,0.026891418,0.10670191,0.8312583,0.16083291,0.657975,0.024513502,200.0,128.0,0.05,48.0,2.0,32.0,12.0,0.0,DL,exper3,21,100
-0.10758817,1.1472082,0.19524026,0.9150854,0.03400372,-0.12862599,1.1708664,0.17356326,0.9097225,0.03390057,200.0,128.0,0.05,48.0,2.0,32.0,12.0,0.0,DL,exper3,22,100
0.8893931,1.8389188,0.08070258,1.3217278,0.34181792,0.903263,1.7290295,0.08392003,1.3007009,0.47785792,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,23,100
0.11861527,1.4289044,0.15033221,1.0697851,0.038731754,-0.17465913,1.7253661,0.15540677,1.157825,0.042736817,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,24,100
0.9179487,1.4051083,0.07440467,1.0539081,0.45938912,0.88002986,1.7185575,0.08874683,1.2621816,0.79920256,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,27,100
0.9494452,1.21846,0.06044443,0.9262217,0.30863765,0.9201052,1.557294,0.07712602,1.215968,0.3332232,200.0,128.0,0.0005,48.0,2.0,32.0,12.0,0.0,DL,exper3,28,100
0.97614706,0.94909,0.042536095,0.68902427,0.23132104,0.9598588,1.2161624,0.053751726,0.90094596,0.3498939,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,29,100
0.98322874,1.0392934,0.038282786,0.799859,0.16589518,0.9803458,1.1203175,0.04158642,0.85825,0.4198867,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,33,100
0.35253805,1.6212652,0.16991651,1.2343549,0.049319148,0.32064193,1.6707085,0.15522848,1.257284,0.049920633,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,35,100
0.9810099,0.9927083,0.039241172,0.7649226,0.19616401,0.97889304,1.0707209,0.04249854,0.84612995,0.24337366,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,37,100
0.9534379,1.4281029,0.05907916,1.0560088,0.3320895,0.95495576,1.4650726,0.062357288,1.1199808,0.35837728,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,39,100
0.97349787,1.2169362,0.04553262,0.91590446,0.20216356,0.96114165,1.5506424,0.058790073,1.1346608,0.48112276,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,40,100
0.97469884,0.84429574,0.042212483,0.58812433,0.29963923,0.9687259,0.95264786,0.049474243,0.70669585,0.43857485,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,41,100
0.57904154,1.2843223,0.13022093,0.9434655,0.03872954,0.44479156,1.5180657,0.14302176,1.0183576,0.04095317,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper3,42,100
