LSWT,projection,Phase,Year,Date,Error,Lake
,2.3649795,Calibration,1990,1990-01-01,,exper2_10
,2.789079,Calibration,1990,1990-01-02,,exper2_10
,2.4318397,Calibration,1990,1990-01-03,,exper2_10
,2.1588986,Calibration,1990,1990-01-04,,exper2_10
,1.4002934,Calibration,1990,1990-01-05,,exper2_10
,1.4485117,Calibration,1990,1990-01-06,,exper2_10
,1.1652776,Calibration,1990,1990-01-07,,exper2_10
,0.93642396,Calibration,1990,1990-01-08,,exper2_10
,0.6092928,Calibration,1990,1990-01-09,,exper2_10
,0.4983879,Calibration,1990,1990-01-10,,exper2_10
,0.73606926,Calibration,1990,1990-01-11,,exper2_10
,0.4432219,Calibration,1990,1990-01-12,,exper2_10
,0.16436905,Calibration,1990,1990-01-13,,exper2_10
,0.31396595,Calibration,1990,1990-01-14,,exper2_10
,0.40340087,Calibration,1990,1990-01-15,,exper2_10
,0.3384321,Calibration,1990,1990-01-16,,exper2_10
,0.22744939,Calibration,1990,1990-01-17,,exper2_10
,0.46551868,Calibration,1990,1990-01-18,,exper2_10
,0.44578198,Calibration,1990,1990-01-19,,exper2_10
,0.41331062,Calibration,1990,1990-01-20,,exper2_10
,0.15279764,Calibration,1990,1990-01-21,,exper2_10
,0.29393303,Calibration,1990,1990-01-22,,exper2_10
,0.01,Calibration,1990,1990-01-23,,exper2_10
,0.097021215,Calibration,1990,1990-01-24,,exper2_10
,0.18132111,Calibration,1990,1990-01-25,,exper2_10
,0.22896901,Calibration,1990,1990-01-26,,exper2_10
,0.01,Calibration,1990,1990-01-27,,exper2_10
,0.45956442,Calibration,1990,1990-01-28,,exper2_10
,0.65307003,Calibration,1990,1990-01-29,,exper2_10
,0.35272226,Calibration,1990,1990-01-30,,exper2_10
,0.01,Calibration,1990,1990-01-31,,exper2_10
,0.13949803,Calibration,1990,1990-02-01,,exper2_10
,0.3290659,Calibration,1990,1990-02-02,,exper2_10
,0.01,Calibration,1990,1990-02-03,,exper2_10
,0.4532216,Calibration,1990,1990-02-04,,exper2_10
,0.6327122,Calibration,1990,1990-02-05,,exper2_10
,0.4259752,Calibration,1990,1990-02-06,,exper2_10
,0.64851296,Calibration,1990,1990-02-07,,exper2_10
,0.14030665,Calibration,1990,1990-02-08,,exper2_10
,0.46982914,Calibration,1990,1990-02-09,,exper2_10
,0.86072,Calibration,1990,1990-02-10,,exper2_10
,0.5060719,Calibration,1990,1990-02-11,,exper2_10
,0.18255267,Calibration,1990,1990-02-12,,exper2_10
,0.33176634,Calibration,1990,1990-02-13,,exper2_10
,0.34529325,Calibration,1990,1990-02-14,,exper2_10
,0.7100701,Calibration,1990,1990-02-15,,exper2_10
,0.096810035,Calibration,1990,1990-02-16,,exper2_10
,0.1292369,Calibration,1990,1990-02-17,,exper2_10
,0.16931367,Calibration,1990,1990-02-18,,exper2_10
,0.45051983,Calibration,1990,1990-02-19,,exper2_10
,0.5902976,Calibration,1990,1990-02-20,,exper2_10
,0.51306444,Calibration,1990,1990-02-21,,exper2_10
,0.33235106,Calibration,1990,1990-02-22,,exper2_10
,0.50717986,Calibration,1990,1990-02-23,,exper2_10
,0.8183073,Calibration,1990,1990-02-24,,exper2_10
,0.40594253,Calibration,1990,1990-02-25,,exper2_10
,0.4094232,Calibration,1990,1990-02-26,,exper2_10
,0.8632137,Calibration,1990,1990-02-27,,exper2_10
,0.8181924,Calibration,1990,1990-02-28,,exper2_10
,0.6613199,Calibration,1990,1990-03-01,,exper2_10
,0.8290102,Calibration,1990,1990-03-02,,exper2_10
,0.69898665,Calibration,1990,1990-03-03,,exper2_10
,0.10700079,Calibration,1990,1990-03-04,,exper2_10
,0.16036612,Calibration,1990,1990-03-05,,exper2_10
,0.23471764,Calibration,1990,1990-03-06,,exper2_10
,0.21163425,Calibration,1990,1990-03-07,,exper2_10
,0.01,Calibration,1990,1990-03-08,,exper2_10
,0.01,Calibration,1990,1990-03-09,,exper2_10
,0.39389214,Calibration,1990,1990-03-10,,exper2_10
,0.12638152,Calibration,1990,1990-03-11,,exper2_10
,0.3911508,Calibration,1990,1990-03-12,,exper2_10
,0.81361383,Calibration,1990,1990-03-13,,exper2_10
,0.33882803,Calibration,1990,1990-03-14,,exper2_10
,0.27632138,Calibration,1990,1990-03-15,,exper2_10
,0.5737724,Calibration,1990,1990-03-16,,exper2_10
,0.44829002,Calibration,1990,1990-03-17,,exper2_10
,0.9558789,Calibration,1990,1990-03-18,,exper2_10
,1.0223933,Calibration,1990,1990-03-19,,exper2_10
,1.2637265,Calibration,1990,1990-03-20,,exper2_10
,1.3231127,Calibration,1990,1990-03-21,,exper2_10
,1.389398,Calibration,1990,1990-03-22,,exper2_10
,1.4744244,Calibration,1990,1990-03-23,,exper2_10
,1.3450091,Calibration,1990,1990-03-24,,exper2_10
,1.0699444,Calibration,1990,1990-03-25,,exper2_10
,0.99756414,Calibration,1990,1990-03-26,,exper2_10
,0.8696385,Calibration,1990,1990-03-27,,exper2_10
,2.0015736,Calibration,1990,1990-03-28,,exper2_10
,1.5913714,Calibration,1990,1990-03-29,,exper2_10
,1.2861974,Calibration,1990,1990-03-30,,exper2_10
,1.2039274,Calibration,1990,1990-03-31,,exper2_10
,1.0334961,Calibration,1990,1990-04-01,,exper2_10
,0.8522674,Calibration,1990,1990-04-02,,exper2_10
,0.9547574,Calibration,1990,1990-04-03,,exper2_10
,1.0427159,Calibration,1990,1990-04-04,,exper2_10
,0.9450738,Calibration,1990,1990-04-05,,exper2_10
,0.839582,Calibration,1990,1990-04-06,,exper2_10
,0.9205443,Calibration,1990,1990-04-07,,exper2_10
,0.9494936,Calibration,1990,1990-04-08,,exper2_10
,0.8479408,Calibration,1990,1990-04-09,,exper2_10
,1.3324113,Calibration,1990,1990-04-10,,exper2_10
,0.9888956,Calibration,1990,1990-04-11,,exper2_10
,0.92428094,Calibration,1990,1990-04-12,,exper2_10
,1.1018734,Calibration,1990,1990-04-13,,exper2_10
,1.8554237,Calibration,1990,1990-04-14,,exper2_10
,1.2253778,Calibration,1990,1990-04-15,,exper2_10
,2.4131384,Calibration,1990,1990-04-16,,exper2_10
,2.1392875,Calibration,1990,1990-04-17,,exper2_10
,1.9409808,Calibration,1990,1990-04-18,,exper2_10
,3.4322348,Calibration,1990,1990-04-19,,exper2_10
,3.2353723,Calibration,1990,1990-04-20,,exper2_10
,3.367622,Calibration,1990,1990-04-21,,exper2_10
,4.1302934,Calibration,1990,1990-04-22,,exper2_10
,5.2414107,Calibration,1990,1990-04-23,,exper2_10
,6.051767,Calibration,1990,1990-04-24,,exper2_10
,7.2726593,Calibration,1990,1990-04-25,,exper2_10
,8.312258,Calibration,1990,1990-04-26,,exper2_10
,8.836317,Calibration,1990,1990-04-27,,exper2_10
,9.1284075,Calibration,1990,1990-04-28,,exper2_10
,8.91831,Calibration,1990,1990-04-29,,exper2_10
,7.7875576,Calibration,1990,1990-04-30,,exper2_10
,8.076819,Calibration,1990,1990-05-01,,exper2_10
11.254999999999995,8.486581,Calibration,1990,1990-05-02,-0.140232900927451,exper2_10
12.100000000000023,8.870104,Calibration,1990,1990-05-03,-0.1540238517267814,exper2_10
12.865000000000009,9.917546,Calibration,1990,1990-05-04,-0.12937332344228286,exper2_10
12.754999999999995,10.375169,Calibration,1990,1990-05-05,-0.10288862222266053,exper2_10
12.610000000000014,10.812855,Calibration,1990,1990-05-06,-0.07672613996215827,exper2_10
12.855000000000018,11.8837385,Calibration,1990,1990-05-07,-0.039260752181905625,exper2_10
13.455000000000041,12.876556,Calibration,1990,1990-05-08,-0.021967695141366397,exper2_10
13.125,11.141299,Calibration,1990,1990-05-09,-0.0817471478450885,exper2_10
11.279999999999973,10.5332575,Calibration,1990,1990-05-10,-0.034233425067152226,exper2_10
10.830000000000041,10.372588,Calibration,1990,1990-05-11,-0.02157339655635922,exper2_10
11.260000000000048,10.7044,Calibration,1990,1990-05-12,-0.025295475217010265,exper2_10
11.260000000000048,11.399003,Calibration,1990,1990-05-13,0.006134560672968637,exper2_10
11.490000000000009,12.07867,Calibration,1990,1990-05-14,0.02497678313300236,exper2_10
11.529999999999973,12.095326,Calibration,1990,1990-05-15,0.023928830167580236,exper2_10
