Observed,Predicted,Error,phase
6.24,6.186515,-0.004304096385727096,train
6.08,6.9738855,0.06847659382593106,train
5.93,6.4162602,0.0393852398487501,train
5.93,6.0970106,0.013886309068315238,train
5.62,5.612745,-0.0006458864293509133,train
5.46,5.050483,-0.03896270048186467,train
5.31,4.8642645,-0.04381009139110087,train
5.46,4.911815,-0.0528533203550891,train
5.31,4.8917546,-0.04099739046667318,train
5.77,5.161107,-0.055702767813898615,train
6.08,5.3993316,-0.059295121360254714,train
5.93,5.3125696,-0.054918958966470276,train
5.77,5.1515317,-0.056628346909934776,train
5.93,5.431602,-0.04386686266835204,train
6.08,5.4638906,-0.05337103400747804,train
6.08,5.4723754,-0.05259736756631121,train
5.93,5.719014,-0.01811189003834791,train
5.77,5.69175,-0.006827049196423253,train
5.62,5.6268497,0.0006090386250048916,train
5.46,5.5516305,0.008321243483378536,train
5.46,5.740219,0.02501907098442212,train
5.46,5.7139316,0.022725351424180997,train
5.31,5.4680424,0.014663370790135712,train
5.31,5.329863,0.001866859435648787,train
5.31,5.176307,-0.01274926812232793,train
5.31,5.1736856,-0.013002525893662124,train
5.31,5.2080703,-0.009690909308517294,train
5.31,5.2387433,-0.0067549883335010375,train
5.31,5.2563024,-0.005081965718708784,train
5.46,5.5046043,0.004068026525714344,train
5.46,5.4592357,-7.000214897426764e-05,train
5.31,5.4844913,0.016164856757242312,train
4.99,5.2365737,0.024111098972479608,train
4.83,5.0413566,0.021411103948533784,train
4.68,5.1281285,0.04568952239899624,train
4.52,4.9654636,0.046962771168712725,train
4.52,4.8826985,0.038573879013867315,train
4.52,4.796635,0.029692605331040414,train
4.68,4.7151265,0.0037388199811927195,train
4.52,4.679993,0.017390575119945368,train
4.83,4.645081,-0.019516337760877394,train
4.83,4.6311574,-0.02101672329465259,train
4.99,4.824254,-0.01688826664020987,train
5.15,5.033071,-0.011482690505954265,train
4.99,5.058176,0.006784939954116616,train
5.15,5.175672,0.0024862264219951656,train
5.15,5.283015,0.012749399920967542,train
5.15,5.460131,0.029229711234405122,train
5.15,5.3544784,0.0194658178165557,train
5.31,5.4727135,0.015090220934525727,train
5.62,5.4215784,-0.017970390917757866,train
5.77,5.5444303,-0.019936463464384813,train
5.62,5.7459435,0.011080792500085269,train
5.77,5.820188,0.0043302200499901545,train
5.93,5.966141,0.0030380772563237094,train
5.77,6.0578027,0.024332727265397282,train
5.93,6.199593,0.022226074786929586,train
5.93,6.3821864,0.036726749873337204,train
5.93,6.3938165,0.037635796533445884,train
5.93,6.3662868,0.03548119371864673,train
5.93,6.3209705,0.03191344810536854,train
5.77,6.107474,0.028412933096758953,train
5.77,5.9918365,0.018860708222076878,train
5.77,5.8513722,0.007001949467466149,train
5.93,5.9829884,0.0044479628770316484,train
5.77,6.066155,0.025021214866553412,train
5.77,5.9737554,0.01735010418849103,train
5.93,5.977894,0.004022038018132067,train
6.08,6.163566,0.006825314501103124,train
6.24,6.199045,-0.0032924223684771413,train
6.24,6.4146695,0.01380278999418398,train
6.24,6.4475884,0.01636155501914645,train
6.39,6.5791655,0.014585795419428803,train
6.55,6.699845,0.011309162193072077,train
6.71,6.74423,0.0025441631241479657,train
6.55,6.9623075,0.030513460267986122,train
6.55,7.2588806,0.05133511067696958,train
6.55,7.345393,0.05724148779688321,train
6.71,7.4879827,0.054795298980417614,train
7.48,7.4740624,-0.0003970543997052129,train
7.79,7.558398,-0.015089665773091355,train
7.48,7.627733,0.009778648396549933,train
7.32,7.689357,0.02460842478689851,train
7.63,7.812173,0.011797094568205662,train
7.32,7.6800866,0.02400562384848466,train
7.17,7.49679,0.0222809391671008,train
7.32,7.4073586,0.005931713609391588,train
7.63,7.2377734,-0.0263809974739882,train
7.63,7.3726983,-0.017150368565377824,train
7.63,7.4932094,-0.009045087461342846,train
7.63,7.647688,0.0011577535498688905,train
7.63,7.906862,0.01781966458073236,train
7.79,7.7149854,-0.004838094948716661,train
7.94,7.8800716,-0.003788125512495895,train
7.94,7.8462524,-0.005938560517916735,train
7.94,7.8620915,-0.004930266062849441,train
7.94,7.944095,0.0002578099328391316,train
8.25,8.278308,0.001712692846716154,train
8.25,8.118807,-0.008014827366540243,train
8.25,8.236042,-0.0008466542348793315,train
8.41,8.496977,0.005144444601130963,train
8.25,8.552326,0.017993115878772083,train
8.56,8.468118,-0.005395940113163191,train
8.41,8.800125,0.022668358036329574,train
9.02,8.666904,-0.019963696879294713,train
9.02,9.085586,0.003622370257743935,train
9.18,9.106209,-0.00403536367087921,train
9.02,9.469314,0.024301234855474297,train
9.33,9.62293,0.015455639689000279,train
9.33,9.602774,0.014407489815363866,train
10.73,9.927874,-0.038829066517091504,train
9.18,9.771286,0.031200294043880333,train
10.11,9.903465,-0.01031977153519128,train
10.27,10.094606,-0.008612690608592235,train
10.11,10.088194,-0.0010795897757158734,train
9.96,9.885486,-0.0037547274081549294,train
10.11,10.189556,0.003919123453586779,train
10.27,10.224298,-0.002230031704766008,train
10.11,10.257646,0.007249043686985602,train
10.27,10.478001,0.010025070951011994,train
10.27,10.5219,0.012115281025202955,train
10.27,10.696442,0.02033922543592177,train
10.73,10.846566,0.00540246577751038,train
