Observed,Predicted,Error,phase
5.3751125,5.672467,0.026915822695808705,train
5.255454,5.8971834,0.057540591264801544,train
5.1863294,5.478362,0.027383138094203126,train
5.126567,5.1679935,0.004024130889537751,train
5.019672,4.9204564,-0.009981310527315605,train
4.8878126,4.792386,-0.009857913324605947,train
4.8000083,4.752716,-0.004950653941657268,train
4.765475,4.7296286,-0.0037752336137661063,train
4.7212334,4.7056026,-0.0016581090434825186,train
4.607625,4.6846733,0.008291630237073648,train
4.558321,4.666954,0.011775588360744235,train
4.5519376,4.66128,0.011868011612752166,train
4.5560083,4.6686573,0.01221171241350584,train
4.5767627,4.650938,0.008038335891825765,train
4.533146,4.633792,0.010979240927522445,train
4.5869083,4.6216793,0.003775928178242037,train
4.629492,4.6339307,0.0004791832728027074,train
4.6234083,4.624389,0.00010606352870214695,train
4.6109834,4.6021376,-0.0009601313368163606,train
4.5696416,4.5815616,0.0013025582623608079,train
4.533554,4.5628285,0.0032182533302628886,train
4.527625,4.544598,0.001870877545375022,train
4.5066376,4.520277,0.0015109758630533123,train
4.4772377,4.4962068,0.002113910558112029,train
4.433,4.46782,0.003912007972839715,train
4.4433,4.444589,0.0001450701836028416,train
4.4134917,4.4264326,0.0014639133939795556,train
4.4202833,4.4130344,-0.0008206291994357837,train
4.393925,4.3901806,-0.00042629293158766567,train
4.3584123,4.3659306,0.0008617602065732185,train
4.328321,4.340928,0.0014542317958247339,train
4.276592,4.2892194,0.0014741863195153278,train
4.203579,4.154601,-0.005859870402126289,train
4.112671,4.0508695,-0.007570420529918339,train
4.0863624,4.053453,-0.004043014733665174,train
4.0339956,4.049212,0.0018824643996197435,train
3.98865,3.8257935,-0.02084045741550137,train
3.9098625,3.652785,-0.03399304975721502,train
3.8054917,3.678635,-0.016950114718683258,train
3.7628207,3.6858199,-0.0103375717382795,train
3.740671,3.6109898,-0.01763970280621759,train
3.6900334,3.4928195,-0.02745620558043665,train
3.648871,3.512825,-0.018996329023617493,train
3.6459541,3.5219407,-0.017301233721157265,train
3.6525543,3.5274696,-0.017421200846628862,train
3.65345,3.5551393,-0.013637995549200158,train
3.6786792,3.5815217,-0.01338220231588011,train
3.7514167,3.6010888,-0.020445808850927713,train
3.8236542,3.7055476,-0.015686470838078857,train
3.8698626,3.9675202,0.012460496454681723,train
3.8280876,4.00264,0.022290675523850285,train
3.738546,3.9649234,0.029386433444384293,train
3.778946,3.907672,0.016746767960260065,train
3.9159584,3.9159417,-2.130938888630132e-06,train
4.0086,4.002377,-0.0007768342791830853,train
3.889546,4.2243977,0.04126868009628252,train
3.9355874,4.1777453,0.029846912927804656,train
4.0043206,4.1885777,0.022489847223388672,train
4.052054,4.2221103,0.0205526913621228,train
4.1019335,4.3707247,0.03172454190156802,train
4.141754,4.513115,0.04290772920925485,train
4.1712584,4.48984,0.03678304568907994,train
4.1986375,4.30231,0.012195405832661488,train
4.211721,4.095872,-0.013944956129462926,train
4.1992373,4.1523137,-0.005618553616689102,train
4.224329,4.3254433,0.011826545779928938,train
4.2702165,4.090888,-0.021447936916618185,train
4.2955165,3.9694643,-0.03944984229721003,train
4.4009666,4.0082026,-0.04670664631506819,train
4.432017,4.2981596,-0.015332708450776462,train
4.535996,4.4576764,-0.008708294713277031,train
4.574025,4.6889024,0.012401826913706934,train
4.5593085,4.884595,0.03444406121371243,train
4.659896,4.940016,0.029179424247611097,train
4.716642,4.929484,0.022065023012060866,train
4.9669085,5.2552824,0.02821058138901349,train
5.3875165,5.3337746,-0.0050126362196846255,train
5.6871915,5.6897154,0.00022184404837013362,train
5.964646,5.883505,-0.006848410091481301,train
6.201625,6.0616274,-0.011416015861945825,train
6.1657624,5.8294,-0.028041501086096703,train
5.8809,5.760893,-0.010308295332519968,train
5.5613,5.5786276,0.0015554666462004884,train
5.6930623,5.669776,-0.0020493420808298116,train
5.6502333,5.5539136,-0.008596788013550271,train
5.6169877,5.476777,-0.012638687701187402,train
5.589121,5.441381,-0.013393759354477454,train
5.7126584,5.460048,-0.02260958025278112,train
5.76415,5.59043,-0.015299584920049654,train
5.962,6.093354,0.010895933099991258,train
6.312896,6.605571,0.022655554106992812,train
6.7527127,6.9387045,0.013584551629484127,train
7.102425,6.821355,-0.020186345454254673,train
6.6273665,6.6316314,0.000321655646196627,train
6.7170625,6.68139,-0.002662446668589183,train
7.0110083,6.8438005,-0.012068569131500803,train
6.486325,6.855412,0.027664105876949854,train
6.286267,6.5745068,0.02241233425668321,train
6.811421,7.059559,0.017888999531893802,train
6.7848835,7.1377063,0.025341749359292197,train
7.2556086,7.620966,0.024559242356941076,train
7.7102957,8.236839,0.033018069903191546,train
8.059862,8.349407,0.017645213405317543,train
8.154067,8.492587,0.02033562104582441,train
7.9504166,8.466355,0.031427540222094125,train
8.0777,8.30553,0.01390628975588363,train
8.094804,8.177445,0.0050786833729031,train
8.577633,8.530006,-0.00278393146422308,train
9.149575,8.859651,-0.016098672095730352,train
9.664171,9.537497,-0.006597065083810758,train
9.3041,9.390646,0.004629426050134924,train
9.219104,9.570534,0.018703391060249982,train
9.210134,9.110586,-0.005433595824653043,train
9.401925,9.690366,0.015107705313331587,train
9.472366,10.008136,0.027502856910389284,train
9.596075,9.965519,0.018886185515101586,train
9.540842,9.677161,0.007093305091318841,train
9.853458,9.770989,-0.0042023595902851265,train
9.939392,10.011968,0.003637625207828277,train
9.904263,9.841783,-0.0031641765469003023,train
9.746658,10.0681,0.016222335166104513,train
9.9574795,10.12853,0.008515881452533737,train
10.288983,9.983516,-0.01506807840108808,train
9.901763,9.526561,-0.019312123056297557,train
9.840558,9.271185,-0.029791795106964208,train
9.731775,9.136437,-0.0315524250868914,train
9.292275,9.489621,0.010507231401496661,train
9.301996,9.556813,0.013511829013504244,train
9.446888,9.640741,0.010155969348727919,train
9.690508,10.10213,0.02079672507846046,train
9.617933,10.0951395,0.024207602516707866,train
9.729484,10.206218,0.02391358861788727,train
9.862129,10.209522,0.017307645890662325,train
9.873359,10.232991,0.01788651311888857,train
9.966887,9.871302,-0.004818273606351051,train
10.122167,10.311368,0.009259355196187232,train
10.119958,10.312976,0.009446414372716155,train
