train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.5243301,0.85502326,0.1014933,0.6550065,0.025771098,0.40796238,0.88948363,0.12449663,0.68650955,0.02723958,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,3,100
0.98233926,1.0955486,0.039020836,0.78842485,0.22050476,0.96084416,1.6569271,0.061298676,1.2084881,0.39031097,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,12,100
0.9623603,1.3512367,0.05345522,0.9685423,0.22860955,0.9553497,1.5024121,0.06279485,1.0974752,0.3959563,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,13,100
0.9876833,0.8906399,0.032546822,0.6688859,0.17650783,0.98381925,1.0517174,0.039198577,0.7897822,0.303217,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,17,100
0.9708989,1.0773811,0.046000097,0.7816863,0.24787761,0.95326155,1.3538947,0.06021801,0.98395276,0.3727688,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,18,100
0.7542889,0.83816576,0.082937695,0.65333676,0.024892747,0.7222843,0.8668559,0.09496254,0.6764082,0.025509294,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,19,100
0.5247466,0.7344289,0.12376624,0.5960093,0.022488251,0.21722704,0.7781363,0.1505548,0.6136492,0.022856547,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,21,100
0.37953168,0.85864353,0.14613022,0.66698885,0.024711488,0.25949985,0.9484073,0.14058706,0.74766475,0.02791197,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,PIDL,exper3,22,100
0.8936763,1.802962,0.079124585,1.3033296,0.3562627,0.8950659,1.8007952,0.08740324,1.324991,0.5284131,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,23,100
0.57363427,0.99382883,0.10455877,0.77266777,0.027822603,0.48155415,1.1462439,0.10324421,0.87228125,0.032215733,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,24,100
0.9353945,1.2468145,0.06602254,0.9394701,0.3828992,0.8434617,1.9630787,0.101373985,1.3803478,0.7880659,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,PIDL,exper3,27,100
