LSWT,projection,Phase,Year,Date,Error,Lake
21.19743055666669,17.744751,Calibration,2008,2008-01-01,-0.08866168879517015,exper2_07
21.574374999583313,19.955713,Calibration,2008,2008-01-02,-0.03897563898491525,exper2_07
21.517291667083327,20.632315,Calibration,2008,2008-01-03,-0.02099609134536068,exper2_07
20.952355072173873,21.313368,Calibration,2008,2008-01-04,0.008541502346315852,exper2_07
,21.673298,Calibration,2008,2008-01-05,,exper2_07
,21.910635,Calibration,2008,2008-01-06,,exper2_07
,22.09001,Calibration,2008,2008-01-07,,exper2_07
,22.122839,Calibration,2008,2008-01-08,,exper2_07
,22.144281,Calibration,2008,2008-01-09,,exper2_07
,21.867386,Calibration,2008,2008-01-10,,exper2_07
,22.021036,Calibration,2008,2008-01-11,,exper2_07
,22.212948,Calibration,2008,2008-01-12,,exper2_07
,22.335436,Calibration,2008,2008-01-13,,exper2_07
,22.32533,Calibration,2008,2008-01-14,,exper2_07
,22.494816,Calibration,2008,2008-01-15,,exper2_07
,22.609552,Calibration,2008,2008-01-16,,exper2_07
,22.695322,Calibration,2008,2008-01-17,,exper2_07
,22.627401,Calibration,2008,2008-01-18,,exper2_07
,22.290949,Calibration,2008,2008-01-19,,exper2_07
,22.647284,Calibration,2008,2008-01-20,,exper2_07
,23.122084,Calibration,2008,2008-01-21,,exper2_07
,22.287792,Calibration,2008,2008-01-22,,exper2_07
,22.151531,Calibration,2008,2008-01-23,,exper2_07
,21.973686,Calibration,2008,2008-01-24,,exper2_07
,21.80937,Calibration,2008,2008-01-25,,exper2_07
,21.567259,Calibration,2008,2008-01-26,,exper2_07
,21.835665,Calibration,2008,2008-01-27,,exper2_07
,21.99922,Calibration,2008,2008-01-28,,exper2_07
,22.165358,Calibration,2008,2008-01-29,,exper2_07
,22.388376,Calibration,2008,2008-01-30,,exper2_07
,22.469307,Calibration,2008,2008-01-31,,exper2_07
,22.382017,Calibration,2008,2008-02-01,,exper2_07
,22.46032,Calibration,2008,2008-02-02,,exper2_07
,22.552372,Calibration,2008,2008-02-03,,exper2_07
,22.624865,Calibration,2008,2008-02-04,,exper2_07
,22.20136,Calibration,2008,2008-02-05,,exper2_07
,21.911001,Calibration,2008,2008-02-06,,exper2_07
,21.764414,Calibration,2008,2008-02-07,,exper2_07
,21.896307,Calibration,2008,2008-02-08,,exper2_07
,22.246681,Calibration,2008,2008-02-09,,exper2_07
,22.528893,Calibration,2008,2008-02-10,,exper2_07
,22.130144,Calibration,2008,2008-02-11,,exper2_07
,22.060534,Calibration,2008,2008-02-12,,exper2_07
,22.284891,Calibration,2008,2008-02-13,,exper2_07
,22.347918,Calibration,2008,2008-02-14,,exper2_07
,22.013536,Calibration,2008,2008-02-15,,exper2_07
,21.71065,Calibration,2008,2008-02-16,,exper2_07
,21.712164,Calibration,2008,2008-02-17,,exper2_07
,22.122087,Calibration,2008,2008-02-18,,exper2_07
,22.223928,Calibration,2008,2008-02-19,,exper2_07
,22.202824,Calibration,2008,2008-02-20,,exper2_07
,21.951658,Calibration,2008,2008-02-21,,exper2_07
,21.54339,Calibration,2008,2008-02-22,,exper2_07
,21.205446,Calibration,2008,2008-02-23,,exper2_07
