Observed,Predicted,Error,phase
6.24,6.376932,0.010853064276347994,train
6.08,5.8710394,-0.017484716403918327,train
5.93,5.687958,-0.020833443636702278,train
5.93,6.037764,0.009004542951651552,train
5.62,5.6606054,0.0035995891980874785,train
5.46,5.320039,-0.012983370916930666,train
5.31,5.2549906,-0.005206759530466853,train
5.46,5.419174,-0.003752660168741285,train
5.31,5.4178743,0.010055523644052891,train
5.77,5.600111,-0.01494171634790253,train
6.08,6.1091557,0.0023919401974266067,train
5.93,6.049505,0.009975821605858859,train
5.77,5.9644456,0.01657049826981408,train
5.93,5.6475773,-0.02439392454816299,train
6.08,6.0223236,-0.0047657224792095575,train
6.08,5.8615513,-0.018293154306502097,train
5.93,6.0061674,0.0063812429847174956,train
5.77,5.905308,0.011589226745714042,train
5.62,5.8418913,0.019359056880198997,train
5.46,5.7250147,0.02369372369725361,train
5.46,5.460149,1.3623733101986043e-05,train
5.46,5.559024,0.008986623489607838,train
5.31,5.6576767,0.03170012806028986,train
5.31,5.04665,-0.025428107841862984,train
5.31,5.4852357,0.01623269322084433,train
5.31,5.1112866,-0.019068020155733542,train
5.31,5.554277,0.022484423306841105,train
5.31,5.2948203,-0.0014313900409713704,train
5.31,5.283072,-0.0025420339026081236,train
5.46,5.5283904,0.006223875075533781,train
5.46,5.4759283,0.0014565081198888792,train
5.31,5.1227703,-0.017946300819891854,train
4.99,5.147018,0.015489583711116871,train
4.83,5.155594,0.032606368236406245,train
4.68,4.9503856,0.028076315847066075,train
4.52,4.8336687,0.033534299565177825,train
4.52,4.6769714,0.01706773322565708,train
4.52,4.2079625,-0.03575146755898099,train
4.68,4.4548426,-0.024648182326465734,train
4.52,4.3080473,-0.024009011244989335,train
4.83,4.446685,-0.041320266478632475,train
4.83,4.497191,-0.03568158686031984,train
4.99,4.823015,-0.01701664150880318,train
5.15,4.845888,-0.030423705273178607,train
4.99,4.862943,-0.012895294268014426,train
5.15,5.0532866,-0.009478665676722649,train
5.15,5.221854,0.006927798291186917,train
5.15,5.2162027,0.006386392550004478,train
5.15,5.0124407,-0.013536060571551961,train
5.31,5.1165075,-0.0185577397866301,train
5.62,4.765309,-0.0822980856693642,train
5.77,5.3463407,-0.03811140180681257,train
5.62,5.4640055,-0.01407383073855002,train
5.77,5.796003,0.0022482169733042995,train
5.93,5.88303,-0.0039761087142386655,train
