train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,iter_seed,ps,seed
0.9894379,0.5307704,0.02704047,0.39770126,0.039264422,0.968354,0.891449,0.04604576,0.7015489,0.07407758,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,11,2,100
0.98389965,0.6553124,0.03338535,0.48432377,0.047213685,0.9692318,0.87899864,0.04540267,0.6852592,0.06529121,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,2,100
0.9905692,0.50154084,0.025551349,0.38165012,0.040031247,0.97504896,0.79155535,0.040885985,0.63974065,0.07320082,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,2,100
0.985234,0.6275696,0.031971972,0.48294577,0.051175673,0.95716953,1.0370831,0.053568162,0.8481915,0.09063458,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.1,trans_PIDL,exper1,WindermereSouthBasin,44,2,100
0.9904954,0.5034983,0.025651073,0.38198262,0.04009063,0.9718662,0.84052604,0.043415453,0.6328857,0.06205597,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,66,2,100
0.99401426,0.39956623,0.020356182,0.3076824,0.03255843,0.9838288,0.6372481,0.032915596,0.509894,0.055235974,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,4,100
0.9920183,0.46140188,0.023506442,0.34096384,0.036527563,0.9807812,0.69470423,0.035883363,0.55047023,0.05949074,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,22,4,100
0.99188423,0.4652606,0.023703026,0.34864274,0.03971992,0.9745735,0.79906154,0.041273702,0.6251793,0.06520749,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper1,WindermereSouthBasin,33,4,100
0.99448067,0.3836847,0.019547084,0.27468112,0.029700842,0.97349286,0.8158651,0.04214165,0.6367902,0.06555542,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,4,100
0.9916778,0.4711391,0.024002511,0.36459282,0.041992705,0.97638077,0.77014023,0.039779834,0.6263264,0.068833545,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,66,4,100
0.9918696,0.4656791,0.023724347,0.36350477,0.038557667,0.97896254,0.726831,0.037542798,0.55904174,0.06200686,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,11,6,100
0.99133885,0.48063824,0.02448645,0.36016715,0.03747402,0.9716861,0.84321165,0.043554172,0.6627245,0.070302114,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,22,6,100
0.9895242,0.52859783,0.026929786,0.39267525,0.044859517,0.97938836,0.71943814,0.037160937,0.5333341,0.058605794,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,33,6,100
0.99374163,0.4085655,0.020814655,0.29560027,0.030620685,0.9782611,0.73884875,0.038163546,0.5508892,0.05162221,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper1,WindermereSouthBasin,44,6,100
