train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.99907774,0.25878307,0.010051346,0.19751532,0.043719213,0.9622816,1.6746733,0.06521991,1.0404243,0.24678597,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper2,exper2_01,100
0.985136,0.68633527,0.027548617,0.43560785,0.02484342,0.979496,1.2730618,0.043336555,0.9628671,0.67385316,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_02,100
0.99514604,0.381729,0.016242811,0.28648794,0.031497758,0.9824153,0.71729976,0.032687675,0.5468168,0.05848847,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper2,exper2_03,100
0.97956717,0.9098901,0.03526706,0.57825285,0.14704952,0.88333523,1.9167795,0.08728504,1.5241141,0.20849252,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_04,100
0.99503964,0.5363948,0.020488722,0.39362708,0.049279865,0.90316784,2.2189293,0.087085135,1.4207088,0.13785203,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_05,100
0.9957632,0.3819125,0.017653551,0.26337272,0.064480074,0.981526,0.8252896,0.041157298,0.57197094,0.11994024,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper2,exper2_06,100
0.9887787,0.46666718,0.027770815,0.35339236,0.02267503,0.9599234,0.9158728,0.0538142,0.6736942,0.041491676,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_07,100
0.9884543,0.46979204,0.029614769,0.35326007,0.023406854,0.9547435,0.9044272,0.052053053,0.6051453,0.036892653,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_08,100
0.99726516,0.28541765,0.015104222,0.21864653,0.032619037,0.9466636,1.1643289,0.054812998,0.89889693,0.14104444,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_09,100
0.9948998,0.5170378,0.018767934,0.38355255,0.52384764,0.9689955,0.9961575,0.041105784,0.7579268,0.054160487,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper2,exper2_10,100
