train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.51311946,0.8650402,0.10268233,0.6618284,0.02600994,0.4287979,0.8736917,0.12228631,0.677424,0.026776658,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,3,100
0.9867423,0.94920826,0.03380854,0.6799722,0.19990544,0.9775239,1.2553512,0.046442214,0.90335953,0.34785452,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,12,100
0.966189,1.2806708,0.050663613,0.9089091,0.24055563,0.96097255,1.4046308,0.058707982,1.0236742,0.3839244,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,13,100
0.99042934,0.7851012,0.028690102,0.5835186,0.16491146,0.9859717,0.9792684,0.036498327,0.7180628,0.32740733,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,17,100
0.9832749,0.81677055,0.034873012,0.591539,0.20831646,0.9732967,1.0233649,0.04551683,0.7482584,0.400525,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,18,100
0.7981788,0.75962806,0.07516628,0.5736744,0.02170527,0.7377902,0.8423084,0.0922734,0.6439287,0.024050234,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,19,100
0.77605075,0.50415254,0.084959984,0.39888608,0.015176706,0.5154562,0.61221546,0.11845222,0.49132612,0.018603517,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,21,100
0.43986928,0.8158265,0.1388433,0.6354277,0.023490956,0.26605546,0.9441998,0.13996336,0.7505504,0.027892547,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,22,100
0.9335599,1.4252355,0.06254772,1.0087125,0.2814649,0.9052408,1.711263,0.08305771,1.1956774,0.45188493,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,23,100
0.5985292,0.9643783,0.10146034,0.77045053,0.027898006,0.49222016,1.1343918,0.102176666,0.8730318,0.032433834,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,24,100
0.9623675,0.9515878,0.050389405,0.71819055,0.28523546,0.8855096,1.6788503,0.08669634,1.1980397,0.6771447,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,27,100
0.9754048,0.8498753,0.042159963,0.65758663,0.23499864,0.9498917,1.2332928,0.061079647,0.91912985,0.30076665,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,28,100
0.98465526,0.7612303,0.03411664,0.53872466,0.17436884,0.97775817,0.9052779,0.04001131,0.6671865,0.26624316,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,29,100
0.99053454,0.78077567,0.028760182,0.5900222,0.14775014,0.9847645,0.98637384,0.036614407,0.7285766,0.39037395,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,33,100
0.92188585,0.563134,0.059019193,0.42617366,0.017273536,0.90463907,0.6259457,0.05815772,0.46095863,0.018690677,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,35,100
0.9867337,0.8297237,0.032798488,0.63548505,0.1694705,0.9830262,0.9601802,0.038111012,0.74968404,0.22180074,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,37,100
0.9679603,1.1846427,0.04900746,0.85934687,0.28248727,0.96471477,1.2966893,0.055190455,0.9500589,0.37533918,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,39,100
0.9833265,0.9652526,0.03611568,0.70445174,0.15716657,0.97723466,1.1868794,0.044998594,0.86748165,0.3855208,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,40,100
0.9810641,0.73041177,0.036518596,0.5194185,0.2241965,0.96554834,0.9998735,0.051926833,0.67844486,0.78613013,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,41,100
0.9023383,0.61860925,0.06272248,0.46641642,0.01942214,0.8952286,0.659453,0.062129144,0.49636224,0.02038442,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,42,100
0.9868166,0.821058,0.033162765,0.61917406,0.14102907,0.9793482,1.0361633,0.040774185,0.7960497,0.3909464,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,44,100
0.9866403,0.8169702,0.03001693,0.62478775,0.15561566,0.9812499,1.0118558,0.039398376,0.758683,0.44027406,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,47,100
0.9784173,0.6345346,0.032528326,0.47368762,0.02021821,0.97407436,0.7133891,0.042150795,0.5367449,0.022977052,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,48,100
0.84900624,1.2593036,0.07969106,0.9308659,0.4265284,0.8477206,1.3602356,0.08538047,1.0428576,0.76656926,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,49,100
0.98641986,0.8239419,0.03229045,0.6104938,0.19462706,0.981796,0.98168033,0.039201118,0.73184675,0.4356374,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,50,100
0.9772861,1.0044607,0.038872316,0.7211863,0.17832297,0.9771829,1.066637,0.044640634,0.7721546,0.21144891,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,53,100
0.9641751,1.0301837,0.048274778,0.7489292,0.2170799,0.94538605,1.2289124,0.06301649,0.9029252,0.28461316,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,54,100
0.7104048,0.65813583,0.09395205,0.4886508,0.022070218,0.6196469,0.76522166,0.09510182,0.575934,0.026372923,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,55,100
0.7795408,1.2074696,0.09054876,0.8815079,0.48534697,0.6304429,1.5355779,0.13514735,1.1376852,1.340101,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,56,100
0.9860341,0.83808863,0.03404899,0.64031947,0.18322611,0.9808408,0.9745418,0.040320307,0.74047565,0.18082634,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,57,100
0.9694791,1.4693314,0.049314763,0.9391849,0.2310435,0.962944,1.6278673,0.05497533,1.0688763,0.5031668,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,61,100
0.94797397,1.1710198,0.05393924,0.84340966,0.2667664,0.90457267,1.5402131,0.07794739,1.0710876,0.4823174,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,63,100
0.9615226,0.7296193,0.04774996,0.56027657,0.023259282,0.9317146,0.9366327,0.06381288,0.70475465,0.028311338,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,65,100
0.95807886,1.0046535,0.05157618,0.75690144,0.15429348,0.9393117,1.2403494,0.06085508,0.9294395,0.35918364,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,68,100
0.98896766,0.86078787,0.030086957,0.65946466,0.14335419,0.9832661,1.1160482,0.039454132,0.8117739,0.26612425,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,71,100
0.96861327,0.9964619,0.041340794,0.7355093,0.13137896,0.9495652,1.258985,0.060334306,0.94942343,0.2418342,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,72,100
0.9835433,0.99649674,0.038040254,0.75760615,0.16117837,0.98100775,1.1048299,0.041597888,0.8617284,0.34081694,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,75,100
0.9902315,0.62532526,0.026986266,0.47958747,0.02487412,0.9825276,0.85502523,0.037353657,0.6518037,0.034519993,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,77,100
0.98816025,0.7511064,0.023806844,0.590783,0.04792931,0.9753871,1.0942186,0.034385063,0.86685866,0.07451989,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,78,100
0.9873555,0.95309854,0.030755036,0.64723617,0.27024588,0.980376,1.2487159,0.039599873,0.8758329,0.37051967,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,79,100
0.9576184,1.3059542,0.05271635,0.9599258,0.2585243,0.94266933,1.533989,0.060121253,1.0615498,0.24002025,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,80,100
0.99064595,0.7632324,0.026826678,0.5862723,0.14847304,0.98675114,0.96205354,0.03435925,0.74969006,0.56432974,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,87,100
0.9630936,1.2490652,0.053496502,0.852147,0.15842521,0.9293767,1.7554365,0.07126586,1.1891893,0.2957882,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,88,100
0.9743297,0.63024837,0.046483018,0.44026777,0.19745915,0.9677953,0.72784364,0.049597558,0.5307606,0.30422983,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,91,100
0.97185415,1.1520228,0.048033677,0.84409493,0.25754267,0.96740675,1.3009148,0.053968847,0.97146976,0.38838157,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,93,100
0.9860729,0.69020694,0.02899174,0.5099491,0.14899185,0.9752688,0.9152237,0.0408413,0.71286225,0.40216208,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,95,100
0.95638835,0.7769922,0.04688443,0.5832352,0.021375325,0.9554242,0.79858094,0.04860659,0.60713875,0.022261309,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,98,100
0.9598915,0.9610938,0.04780277,0.72328603,0.102113575,0.9519803,1.1498994,0.05543329,0.86558133,0.18123002,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,100,100
0.97251993,1.1781815,0.04712726,0.79664636,0.2513812,0.9658501,1.3250985,0.057001084,0.9350019,0.36414197,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,102,100
0.9865291,0.84001833,0.032346155,0.64557004,0.14412926,0.9751532,1.1380807,0.044388533,0.839346,0.25452888,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,104,100
