LSWT,projection,Phase,Year,Date,Error,Lake
21.19743055666669,20.88201,Calibration,2008,2008-01-01,-0.007495847139830561,exper2_07
21.574374999583313,21.856607,Calibration,2008,2008-01-02,0.00649841246307782,exper2_07
21.517291667083327,21.70874,Calibration,2008,2008-01-03,0.004429010919348663,exper2_07
20.952355072173873,21.73407,Calibration,2008,2008-01-04,0.01831295907170101,exper2_07
,22.008678,Calibration,2008,2008-01-05,,exper2_07
,22.51238,Calibration,2008,2008-01-06,,exper2_07
,23.046288,Calibration,2008,2008-01-07,,exper2_07
,22.481115,Calibration,2008,2008-01-08,,exper2_07
,22.780594,Calibration,2008,2008-01-09,,exper2_07
,22.698458,Calibration,2008,2008-01-10,,exper2_07
,22.376795,Calibration,2008,2008-01-11,,exper2_07
,22.548885,Calibration,2008,2008-01-12,,exper2_07
,22.562466,Calibration,2008,2008-01-13,,exper2_07
,22.497427,Calibration,2008,2008-01-14,,exper2_07
,22.56053,Calibration,2008,2008-01-15,,exper2_07
,22.916796,Calibration,2008,2008-01-16,,exper2_07
,23.232897,Calibration,2008,2008-01-17,,exper2_07
,23.297346,Calibration,2008,2008-01-18,,exper2_07
,23.107544,Calibration,2008,2008-01-19,,exper2_07
,23.779875,Calibration,2008,2008-01-20,,exper2_07
,23.38156,Calibration,2008,2008-01-21,,exper2_07
,22.850576,Calibration,2008,2008-01-22,,exper2_07
,22.73944,Calibration,2008,2008-01-23,,exper2_07
,22.886751,Calibration,2008,2008-01-24,,exper2_07
,22.471704,Calibration,2008,2008-01-25,,exper2_07
,22.031569,Calibration,2008,2008-01-26,,exper2_07
,21.99745,Calibration,2008,2008-01-27,,exper2_07
,22.065397,Calibration,2008,2008-01-28,,exper2_07
,22.503239,Calibration,2008,2008-01-29,,exper2_07
,22.834417,Calibration,2008,2008-01-30,,exper2_07
,22.477613,Calibration,2008,2008-01-31,,exper2_07
,22.34847,Calibration,2008,2008-02-01,,exper2_07
,22.635557,Calibration,2008,2008-02-02,,exper2_07
,22.796755,Calibration,2008,2008-02-03,,exper2_07
,22.87485,Calibration,2008,2008-02-04,,exper2_07
,22.221418,Calibration,2008,2008-02-05,,exper2_07
,21.606829,Calibration,2008,2008-02-06,,exper2_07
,21.330431,Calibration,2008,2008-02-07,,exper2_07
,21.381304,Calibration,2008,2008-02-08,,exper2_07
,21.681124,Calibration,2008,2008-02-09,,exper2_07
,21.957972,Calibration,2008,2008-02-10,,exper2_07
,21.633152,Calibration,2008,2008-02-11,,exper2_07
,21.855772,Calibration,2008,2008-02-12,,exper2_07
,22.020634,Calibration,2008,2008-02-13,,exper2_07
,21.701311,Calibration,2008,2008-02-14,,exper2_07
,21.282137,Calibration,2008,2008-02-15,,exper2_07
,21.272943,Calibration,2008,2008-02-16,,exper2_07
,21.259218,Calibration,2008,2008-02-17,,exper2_07
,21.503113,Calibration,2008,2008-02-18,,exper2_07
,21.592875,Calibration,2008,2008-02-19,,exper2_07
,21.169262,Calibration,2008,2008-02-20,,exper2_07
,21.190321,Calibration,2008,2008-02-21,,exper2_07
,21.217587,Calibration,2008,2008-02-22,,exper2_07
,20.706179,Calibration,2008,2008-02-23,,exper2_07
,21.333948,Calibration,2008,2008-02-24,,exper2_07
,20.375795,Calibration,2008,2008-02-25,,exper2_07
,20.789055,Calibration,2008,2008-02-26,,exper2_07
,20.831717,Calibration,2008,2008-02-27,,exper2_07
,20.887995,Calibration,2008,2008-02-28,,exper2_07
,21.081078,Calibration,2008,2008-02-29,,exper2_07
,21.359234,Calibration,2008,2008-03-01,,exper2_07
,20.778234,Calibration,2008,2008-03-02,,exper2_07
,20.632135,Calibration,2008,2008-03-03,,exper2_07
,20.311176,Calibration,2008,2008-03-04,,exper2_07
,20.056429,Calibration,2008,2008-03-05,,exper2_07
,20.432798,Calibration,2008,2008-03-06,,exper2_07
,19.89811,Calibration,2008,2008-03-07,,exper2_07
,20.256258,Calibration,2008,2008-03-08,,exper2_07
,20.387037,Calibration,2008,2008-03-09,,exper2_07
,20.375837,Calibration,2008,2008-03-10,,exper2_07
,20.314959,Calibration,2008,2008-03-11,,exper2_07
,20.41403,Calibration,2008,2008-03-12,,exper2_07
,20.458912,Calibration,2008,2008-03-13,,exper2_07
,20.013885,Calibration,2008,2008-03-14,,exper2_07
,20.191202,Calibration,2008,2008-03-15,,exper2_07
,20.183126,Calibration,2008,2008-03-16,,exper2_07
,20.358496,Calibration,2008,2008-03-17,,exper2_07
,20.5276,Calibration,2008,2008-03-18,,exper2_07
