Observed,Predicted,Error,phase
5.9,7.913349,0.14575386607880444,train
5.1,9.105334,0.2819598838498332,train
5.2,7.4202604,0.17592827549768003,train
5.4,6.252509,0.07316098242985875,train
5.9,5.6777387,-0.01919730902586865,train
6.3,5.347731,-0.08175575590074009,train
6.4,5.1266623,-0.11046891132947724,train
5.9,4.9736953,-0.0851876740500001,train
5.6,4.7015095,-0.08721929920670088,train
5.6,4.5584726,-0.10252794082725192,train
4.9,4.616759,-0.029762367040132597,train
4.8,4.675514,-0.013137647639137554,train
4.7,4.716096,0.001709425601398168,train
4.7,4.7691164,0.007299159801987857,train
4.3,4.814245,0.05642211832839645,train
3.6,4.8800373,0.15094714457611078,train
4.2,4.9104505,0.0779819469267218,train
4.4,4.761265,0.03943393294960876,train
5.2,4.7788486,-0.04220438490417382,train
4.9,4.828502,-0.0073493241986088914,train
4.9,4.739888,-0.01660931116463335,train
5.1,4.569233,-0.05489235521061872,train
5.3,4.4849443,-0.08329693073994826,train
5.1,4.4890604,-0.06371213478538758,train
5.4,4.470689,-0.09414857295787725,train
5.3,4.6717257,-0.06300558644524913,train
5.7,4.7901936,-0.08672921648780678,train
5.6,4.913293,-0.06531797730340108,train
6.0,4.795503,-0.11157394379308201,train
6.3,4.7413397,-0.14116588429948512,train
6.0,4.7073135,-0.12072929945155758,train
6.2,4.5142827,-0.15733364356156188,train
6.4,4.661744,-0.15714121969764927,train
6.6,4.7770987,-0.1602254950385601,train
6.7,4.991905,-0.14609206914504916,train
6.3,5.044912,-0.11063006249368222,train
6.8,4.8711095,-0.16527054912485822,train
6.8,5.0232115,-0.15027970074053426,train
6.7,5.17008,-0.1288887374875278,train
6.3,5.539097,-0.06427038793419758,train
6.9,4.9987288,-0.15978776956751017,train
6.6,5.4372587,-0.0965951817149456,train
6.7,5.151666,-0.13064270021679966,train
7.0,5.9926605,-0.07753142443748408,train
9.1,5.402227,-0.2549796923228678,train
8.8,6.3119907,-0.1646380986176321,train
8.5,5.9903946,-0.17319096396801956,train
7.2,5.9663825,-0.09369447707429096,train
7.1,5.975825,-0.08597354998863686,train
7.0,5.3607783,-0.13261476132388972,train
7.1,6.8800817,-0.01573082747204516,train
6.3,6.4774227,0.013885626610163128,train
6.4,5.89659,-0.04093897975629502,train
6.8,6.8423595,0.003104987182499384,train
6.3,6.7821984,0.03685911308833247,train
6.5,7.1745358,0.04932787215657667,train
6.5,7.2287817,0.053084222333227814,train
6.0,5.9231853,-0.006442460571063109,train
6.5,7.263296,0.05545881744157476,train
7.2,6.9135118,-0.020298850142098267,train
6.4,7.3272266,0.06754653080210522,train
5.8,6.837431,0.08209190233084178,train
6.5,7.269763,0.055902414098056165,train
7.0,7.7270126,0.04936592724754041,train
