Observed,Predicted,Error,phase
5.3751125,3.2407289,-0.24772782855949635,train
5.255454,4.332524,-0.09625911235772498,train
5.1863294,4.586957,-0.061327619586723635,train
5.126567,4.689186,-0.04455906658040373,train
5.019672,4.4423656,-0.06101289143440686,train
4.8878126,4.3761625,-0.05523007969337394,train
4.8000083,4.514889,-0.03060898383419705,train
4.765475,4.548126,-0.02333668526226937,train
4.7212334,4.5596647,-0.017408729200891065,train
4.607625,4.5637655,-0.004782206324283293,train
4.558321,4.5660152,0.0008432662037133815,train
4.5519376,4.5650573,0.0014390375091188556,train
4.5560083,4.564665,0.0009491077686410485,train
4.5767627,4.56113,-0.001710747747677231,train
4.533146,4.56078,0.0030387473982563893,train
4.5869083,4.5583324,-0.003124674122058756,train
4.629492,4.553256,-0.008302065187916803,train
4.6234083,4.5517116,-0.007814258476455805,train
4.6109834,4.553936,-0.006224535618176037,train
4.5696416,4.5512056,-0.00202129852550238,train
4.533554,4.5461855,0.001391165046371643,train
4.527625,4.543891,0.0017930706482030291,train
4.5066376,4.5362396,0.003273521262701769,train
4.4772377,4.505412,0.0031365355376175644,train
4.433,4.494669,0.006907611886098138,train
4.4433,4.4125986,-0.0034667471455266524,train
4.4134917,4.449995,0.00411839222331689,train
4.4202833,4.447237,0.003039598015501595,train
4.393925,4.451051,0.0064585864880863176,train
4.3584123,4.446248,0.009976056489592499,train
4.328321,4.3825774,0.006228569858306933,train
4.276592,4.2408934,-0.004191191796024075,train
4.203579,4.0002227,-0.024788052557281275,train
4.112671,3.9155383,-0.02455498882627644,train
4.0863624,4.043033,-0.005329945993149693,train
4.0339956,4.1146235,0.009894672522087885,train
3.98865,3.9726508,-0.0020096360470237946,train
3.9098625,3.5640447,-0.046270015614154454,train
3.8054917,3.8648815,0.007742756196662072,train
3.7628207,3.8799706,0.015328147231470739,train
3.740671,3.8024201,0.008186195740396751,train
3.6900334,3.5166202,-0.024062940501730645,train
3.648871,3.8285682,0.024031927401039703,train
3.6459541,3.9658573,0.042027202003768,train
3.6525543,4.026751,0.04872794510139155,train
3.65345,4.14901,0.06351332232675719,train
3.6786792,4.283183,0.07592493380116727,train
3.7514167,4.4375334,0.0837856734045583,train
3.8236542,4.5802517,0.09002927100291484,train
3.8698626,4.7054386,0.09743984973067292,train
3.8280876,4.7034645,0.1026046529331063,train
3.738546,4.7031546,0.11426710459818491,train
3.778946,4.705489,0.10920505925032949,train
3.9159584,4.708617,0.09190699244088836,train
4.0086,4.816863,0.0915830475972505,train
3.889546,4.9781766,0.1227632771417181,train
3.9355874,5.043762,0.12341370462344102,train
4.0043206,5.076058,0.11802782071292166,train
4.052054,5.2529464,0.12905882955826586,train
4.1019335,5.0616903,0.10473551414980253,train
4.141754,5.075265,0.10128120297017666,train
4.1712584,5.25201,0.11468965783164135,train
4.1986375,4.789366,0.06572408423080248,train
4.211721,4.9106445,0.07661648612274945,train
4.1992373,4.3850584,0.021646627957014813,train
4.224329,4.79945,0.06373393356540259,train
4.2702165,4.711358,0.049116288423589914,train
4.2955165,4.432958,0.0157463521591824,train
4.4009666,4.5186124,0.013189606832949912,train
4.432017,4.6605434,0.025133360124490252,train
4.535996,4.6466837,0.012053968653730564,train
4.574025,4.805989,0.024729561801028553,train
4.5593085,5.0997963,0.0559562998963647,train
4.659896,4.821989,0.017095035774284416,train
4.716642,4.5413527,-0.018933814572765918,train
4.9669085,4.429966,-0.0571405403062942,train
5.3875165,5.054742,-0.03186807180217291,train
5.6871915,4.98522,-0.06577440672543232,train
5.964646,4.9369326,-0.09427197224142295,train
6.201625,5.1138935,-0.09612739999499376,train
6.1657624,4.9270983,-0.11166318444647959,train
5.8809,5.2486334,-0.05680979650538684,train
5.5613,5.318437,-0.022322479269572995,train
5.6930623,5.3749332,-0.02874315057914326,train
5.6502333,5.447747,-0.018245304920239413,train
5.6169877,5.3598022,-0.023429933548644685,train
5.589121,5.3170414,-0.024947315218512865,train
5.7126584,5.3003044,-0.037442602801013185,train
5.76415,5.5252895,-0.02115787974921598,train
5.962,5.6971188,-0.022718795642409553,train
6.312896,5.7944317,-0.04282233962033494,train
6.7527127,5.857253,-0.07101206030701816,train
7.102425,5.8319325,-0.09822618090245887,train
6.6273665,5.9959764,-0.05001766134481801,train
6.7170625,6.016838,-0.054988995475553665,train
7.0110083,6.3562393,-0.04898307896187193,train
6.486325,6.2711535,-0.016866290745538366,train
6.286267,6.480563,0.015218841365515172,train
6.811421,6.5014524,-0.0232833636333582,train
6.7848835,6.526568,-0.019405514452089125,train
7.2556086,6.7850075,-0.03351712493665374,train
7.7102957,7.8762894,0.010649779282181736,train
8.059862,8.577452,0.031110164416151616,train
8.154067,8.964894,0.04736427867430336,train
7.9504166,9.117298,0.06836776817481743,train
8.0777,9.282255,0.06938701874480312,train
8.094804,9.323619,0.07054686293769238,train
8.577633,9.484518,0.05020914448916336,train
9.149575,10.072918,0.04803449253568807,train
9.664171,10.775707,0.054380755148448874,train
9.3041,10.253239,0.0485310734353078,train
9.219104,10.258339,0.05335582955367421,train
9.210134,9.989476,0.04059158812353314,train
9.401925,10.078363,0.03472424607115744,train
9.472366,10.207497,0.03735444250563777,train
9.596075,10.318507,0.0362765398428011,train
9.540842,10.229456,0.03483072897823803,train
9.853458,10.322714,0.023257902511078288,train
9.939392,10.105581,0.00829081638721522,train
9.904263,10.2187195,0.015626756476962888,train
9.746658,10.033664,0.014509643645481733,train
9.9574795,10.195354,0.011803550084616638,train
10.288983,10.321812,0.0015927736392561812,train
9.901763,10.409933,0.02501859650488533,train
9.840558,10.4194565,0.028573445932094765,train
9.731775,9.622348,-0.005653960731475473,train
9.292275,9.861353,0.02971121091951891,train
9.301996,9.918354,0.03206797976262576,train
9.446888,9.920307,0.02444438579206515,train
9.690508,10.083093,0.019853986590124887,train
9.617933,11.088199,0.07100627935220752,train
9.729484,11.611443,0.08818543986631622,train
9.862129,11.243596,0.06545460279914692,train
9.873359,11.149458,0.06070067706794509,train
9.966887,10.814583,0.040790922800936956,train
10.122167,10.714933,0.028447661188698962,train
10.119958,10.824171,0.03362341507376246,train
9.998141,10.7729645,0.03730293406136239,train
10.094387,10.782888,0.032978506181191615,train
10.211208,10.628906,0.02004297551340253,train
10.610541,10.615318,0.00022505353052557525,train
10.810333,10.488626,-0.015104387443175807,train
11.076,10.826276,-0.011401755127023403,train
11.437875,11.379639,-0.0025522554076029,train
12.08575,12.053028,-0.0013555582570233433,train
12.466042,12.928537,0.018212383242903956,train
12.015333,13.105355,0.04339140982419352,train
12.459917,12.119324,-0.013856951107588417,train
13.029208,12.722256,-0.011919806882115186,train
13.998959,13.724085,-0.00991499126341714,train
15.005792,14.385204,-0.02111487985554741,train
15.69025,14.859444,-0.02719525539310568,train
16.409958,15.335596,-0.03384290606966084,train
17.147333,14.931046,-0.06908976401848724,train
17.126167,14.998618,-0.06622765392562134,train
16.186832,15.443807,-0.02349069767238521,train
14.874792,15.30423,0.014229673833444388,train
14.441375,15.167131,0.024511761594258004,train
14.577084,15.226939,0.021804291934319396,train
14.356292,15.446175,0.03657022329268105,train
14.567917,15.601865,0.03427097867133209,train
14.736667,15.7523575,0.03331332607174732,train
14.975083,15.869469,0.028996541647511226,train
15.1095,15.9995,0.02860909503453862,train
15.333417,16.142015,0.025689830347684427,train
15.773125,16.398746,0.019446235876392024,train
16.388042,16.842834,0.013685826701602235,train
15.840709,16.477707,0.019710068204925504,train
15.148916,17.017685,0.05809655429553674,train
14.994125,17.521389,0.07772485504321046,train
14.990958,17.372662,0.07359199592523688,train
15.205334,17.118345,0.05918297705712491,train
15.793875,16.551598,0.023425932592588794,train
16.533875,16.903526,0.011055039727729917,train
17.670208,17.554676,-0.003279838232478434,train
18.008833,18.345722,0.009266769068224002,train
18.017666,18.991352,0.026309431385783014,train
18.559416,18.713959,0.004146201539526465,train
18.9305,18.255554,-0.01815050951975159,train
19.322958,18.602316,-0.019001631783435793,train
20.041666,18.30114,-0.045393814046520084,train
20.64,18.717943,-0.048835281319795296,train
21.3035,19.039932,-0.056107447685815576,train
21.394125,19.180042,-0.05456877781783462,train
20.257042,19.73014,-0.013176753415248417,train
20.389668,20.080626,-0.007636267337741867,train
20.451208,20.382309,-0.0016873186440746052,train
20.484625,19.773096,-0.017674343239852484,train
20.158083,19.965326,-0.004804094575537376,train
19.940792,20.24496,0.007569068126359468,train
19.704,20.494884,0.01967427749930928,train
19.526833,20.655235,0.028082245880946557,train
18.905666,20.779594,0.04721974943798829,train
18.737625,20.856903,0.0535245159000442,train
18.67825,20.953106,0.057400423250395946,train
18.806917,21.02744,0.055743888760538526,train
18.787416,20.561037,0.04507472204693745,train
18.479958,19.655624,0.030828605421578885,train
18.07525,19.604942,0.040596705497312036,train
17.933958,19.051764,0.03022262194596819,train
17.912416,18.75351,0.022939365115778834,train
17.752083,18.515818,0.0210581480502713,train
17.416542,18.159363,0.02087988325125107,train
17.259417,17.997276,0.02092821718504873,train
17.238459,17.481464,0.006999029128827018,train
17.379375,17.561972,0.005225791839864877,train
17.187626,17.316978,0.0037488495247466193,train
16.887333,17.448761,0.01635095918776145,train
16.789125,17.369383,0.016987200104350373,train
16.590876,17.318558,0.0214595775109995,train
16.677917,17.562252,0.025827400286657927,train
16.550041,17.45071,0.026489682089034638,train
16.438417,17.32376,0.026222884177167706,train
16.48129,17.570448,0.03198535948017013,train
16.613916,17.44198,0.024314848341913328,train
