train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.9928633,0.71988696,0.027960999,0.5411263,0.11270115,0.9733449,1.4078084,0.054826893,0.9979433,0.21026489,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_01,100
0.9280133,1.5104074,0.060625818,1.1497761,0.07112174,0.8881433,2.9734547,0.10121998,2.1383736,1.4002056,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_02,100
0.9679319,0.9811673,0.041749295,0.7430062,0.080905154,0.94493705,1.2692971,0.05784245,0.9183566,0.07814286,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_03,100
0.96426773,1.2067242,0.046772256,0.8505179,0.32871795,0.80667764,2.5373595,0.11378294,2.215003,0.3329589,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_04,100
0.9811771,1.0475116,0.03885429,0.78983784,0.12375752,0.9297804,1.9348987,0.07508338,1.3147119,0.1297387,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_05,100
0.9849984,0.71864367,0.033218637,0.5075399,0.12496617,0.9538623,1.3042293,0.06504208,0.88636667,0.16197309,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_06,100
0.92543286,1.202984,0.071588166,0.85832566,0.054311,0.9068352,1.3964189,0.08204978,0.95430636,0.055848904,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_07,100
0.92701817,1.181143,0.07445694,0.9032274,0.063236,0.8273959,1.766276,0.10165557,1.3240222,0.08590259,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_08,100
0.9850805,0.66664404,0.035278615,0.5119943,0.07490251,0.9026422,1.5730742,0.074055456,1.167076,0.18641974,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_09,100
0.97253025,1.1936358,0.043327738,0.888305,0.63003343,0.9113733,1.6658177,0.06873887,1.1315647,0.076769136,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_10,100
0.9548691,1.1061178,0.044219952,0.83931893,0.061520338,0.90662074,1.6503046,0.0682178,1.2999648,0.08104362,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.0,DL,exper2,exper2_11,100
