LSWT,projection,Phase,Year,Date,Error,Lake
,0.6916298,Calibration,2006,2006-01-01,,exper2_18
,0.13995567,Calibration,2006,2006-01-02,,exper2_18
,0.01,Calibration,2006,2006-01-03,,exper2_18
,0.01,Calibration,2006,2006-01-04,,exper2_18
,0.01,Calibration,2006,2006-01-05,,exper2_18
,0.01,Calibration,2006,2006-01-06,,exper2_18
,0.01,Calibration,2006,2006-01-07,,exper2_18
,0.01,Calibration,2006,2006-01-08,,exper2_18
,0.01,Calibration,2006,2006-01-09,,exper2_18
,0.01,Calibration,2006,2006-01-10,,exper2_18
,0.01,Calibration,2006,2006-01-11,,exper2_18
,0.01,Calibration,2006,2006-01-12,,exper2_18
,0.01,Calibration,2006,2006-01-13,,exper2_18
,0.01,Calibration,2006,2006-01-14,,exper2_18
,0.01,Calibration,2006,2006-01-15,,exper2_18
,0.01,Calibration,2006,2006-01-16,,exper2_18
,0.01,Calibration,2006,2006-01-17,,exper2_18
,0.01,Calibration,2006,2006-01-18,,exper2_18
,0.01,Calibration,2006,2006-01-19,,exper2_18
,0.01,Calibration,2006,2006-01-20,,exper2_18
,0.01,Calibration,2006,2006-01-21,,exper2_18
,0.01,Calibration,2006,2006-01-22,,exper2_18
,0.01,Calibration,2006,2006-01-23,,exper2_18
,0.01,Calibration,2006,2006-01-24,,exper2_18
,0.01,Calibration,2006,2006-01-25,,exper2_18
,0.01,Calibration,2006,2006-01-26,,exper2_18
,0.01,Calibration,2006,2006-01-27,,exper2_18
,0.01,Calibration,2006,2006-01-28,,exper2_18
,0.01,Calibration,2006,2006-01-29,,exper2_18
,0.01,Calibration,2006,2006-01-30,,exper2_18
,0.01,Calibration,2006,2006-01-31,,exper2_18
,0.01,Calibration,2006,2006-02-01,,exper2_18
,0.01,Calibration,2006,2006-02-02,,exper2_18
,0.01,Calibration,2006,2006-02-03,,exper2_18
,0.01,Calibration,2006,2006-02-04,,exper2_18
,0.01,Calibration,2006,2006-02-05,,exper2_18
,0.01,Calibration,2006,2006-02-06,,exper2_18
,0.01,Calibration,2006,2006-02-07,,exper2_18
,0.01,Calibration,2006,2006-02-08,,exper2_18
,0.01,Calibration,2006,2006-02-09,,exper2_18
,0.01,Calibration,2006,2006-02-10,,exper2_18
,0.01,Calibration,2006,2006-02-11,,exper2_18
,0.7125957,Calibration,2006,2006-02-12,,exper2_18
,1.4043179,Calibration,2006,2006-02-13,,exper2_18
,0.73275566,Calibration,2006,2006-02-14,,exper2_18
,0.40235138,Calibration,2006,2006-02-15,,exper2_18
,0.14611492,Calibration,2006,2006-02-16,,exper2_18
,0.30273387,Calibration,2006,2006-02-17,,exper2_18
,0.3915593,Calibration,2006,2006-02-18,,exper2_18
