mixing/coef_mix_hyp,mixing/coef_wind_stir,light/Kw,meteorology/wind_factor,meteorology/sw_factor,meteorology/lw_factor,par_id
0.98495,0.84565,0.24598,1.2645,1.2803,0.56146,p001
0.85951,0.27688,0.97969,1.3269,0.62291,0.63807,p002
0.12737,0.53156,0.35475,0.66903,0.84,0.65702,p003
0.81425,0.53756,0.85962,0.50029,1.4765,0.67799,p004
0.60914,0.95944,0.87754,0.95472,1.0483,0.50531,p005
0.97916,0.35178,0.69797,1.2841,0.55755,0.8446,p006
0.45974,0.17641,0.46696,1.1034,1.2751,1.1415,p007
0.18732,0.3399,0.84889,0.90663,1.3562,0.51998,p008
0.3251,0.70839,0.32273,1.2587,1.194,1.2356,p009
0.42882,0.76553,0.95127,0.85087,1.0743,1.4349,p010
0.56653,0.61631,0.58892,0.53335,0.65635,1.2441,p011
0.25126,0.9179,0.38238,1.2993,0.5048,1.1626,p012
0.53273,0.89609,0.19024,0.79919,0.99559,1.0016,p013
0.92115,0.79747,0.23035,1.4369,1.3651,1.0187,p014
0.63969,0.66215,0.40573,0.54384,0.64827,0.99631,p015
0.61334,0.83456,0.406,1.3801,0.5656,0.94964,p016
0.57625,0.21344,0.33495,0.5972,0.58013,0.61944,p017
0.71854,0.46707,0.36496,1.2148,1.4248,0.82955,p018
0.88481,0.816,0.82281,0.52004,0.88036,0.55898,p019
0.60256,0.32292,0.54974,0.83572,0.51245,1.0642,p020
0.11257,0.49964,0.70827,0.93081,1.3095,1.49,p021
0.58053,0.5456,0.55661,1.1138,1.1627,1.1978,p022
0.36525,0.22171,0.90697,0.73,1.2205,1.0575,p023
0.21325,0.36994,0.62851,0.86097,1.1196,0.89141,p024
0.89517,0.41887,0.11,1.248,1.1504,1.3225,p025
0.54126,0.55896,0.75897,0.56084,1.0257,1.2759,p026
0.10896,0.95308,0.7356,1.3188,0.94489,1.3543,p027
0.74762,0.60864,0.21663,0.82983,0.69816,1.3311,p028
0.55496,0.14052,0.47631,0.6161,0.67526,0.76761,p029
0.46092,0.7022,0.9372,0.69685,0.93837,0.85892,p030
0.39014,0.90338,0.97014,1.4249,0.77072,0.66146,p031
0.26074,0.92956,0.75548,0.74276,0.80746,0.77381,p032
0.69164,0.6436,0.63827,0.78004,1.4934,1.2917,p033
0.93248,0.82485,0.53058,0.99664,0.7162,1.45,p034
0.26722,0.1922,0.92069,0.84548,1.4472,0.75172,p035
0.16315,0.22938,0.72185,1.486,0.9795,0.60548,p036
0.95925,0.10522,0.12204,1.4731,0.76272,0.54589,p037
0.21738,0.38088,0.7174,0.67897,1.0897,1.2193,p038
0.73417,0.35921,0.39577,1.1592,0.86472,0.7364,p039
0.32167,0.58275,0.99866,1.0997,1.468,0.86488,p040
0.68206,0.85363,0.93428,0.73342,0.52909,1.4725,p041
0.70378,0.42795,0.6818,1.2293,0.78991,1.2013,p042
0.93829,0.57322,0.74489,0.65919,1.0322,1.3945,p043
0.70218,0.4083,0.18892,1.1769,1.4519,1.0779,p044
0.8211,0.18517,0.44971,1.2077,1.0171,0.7095,p045
0.64656,0.29052,0.13462,0.76602,1.4385,0.57362,p046
0.14455,0.75353,0.83194,1.0577,1.1204,0.79306,p047
0.14539,0.27062,0.48292,1.081,0.85728,1.1037,p048
0.37018,0.7883,0.87161,0.89232,1.323,1.133,p049
0.50679,0.99776,0.33225,1.2371,0.53258,0.88058,p050
0.96855,0.37019,0.49786,0.96029,1.0998,0.9191,p051
0.28834,0.98354,0.29692,1.0163,1.2387,0.81149,p052
0.29925,0.86176,0.10356,1.4467,0.87664,1.3653,p053
0.17352,0.28148,0.56785,0.57453,0.89869,1.1534,p054
0.35746,0.30119,0.15005,0.62676,0.72843,1.177,p055
0.12534,0.16468,0.52218,0.51009,0.98967,0.58536,p056
0.75559,0.63008,0.96144,0.98063,0.81913,1.3893,p057
0.87209,0.39914,0.81312,0.94279,1.1828,0.52944,p058
0.58617,0.24386,0.80204,1.1447,0.90458,1.4081,p059
0.62828,0.91919,0.79731,0.80776,0.82869,0.90566,p060
0.83634,0.93797,0.60285,0.64367,0.91517,1.0269,p061
0.50112,0.3272,0.26436,0.58901,1.4827,0.68414,p062
0.77932,0.5205,0.89797,1.2752,0.61869,1.314,p063
0.19145,0.96429,0.62092,1.3429,1.3369,1.2801,p064
0.4338,0.48294,0.2072,1.1824,0.83595,0.87233,p065
0.65046,0.73615,0.49051,1.3959,0.96924,1.0322,p066
0.76624,0.7687,0.53979,0.81381,1.2015,1.0481,p067
0.24139,0.8055,0.64463,1.1671,1.2581,0.72541,p068
0.67385,0.87159,0.16067,1.0212,1.3931,0.53223,p069
0.27872,0.44166,0.26164,0.68598,0.68921,1.3434,p070
0.72494,0.49385,0.66313,1.3685,1.1065,0.92656,p071
0.40975,0.51024,0.5708,1.3535,1.4118,0.71697,p072
0.29427,0.47317,0.30469,1.0332,1.2144,1.253,p073
0.88142,0.77821,0.78805,1.0678,1.0675,0.64396,p074
0.90814,0.25646,0.27527,1.0725,1.3726,0.785,p075
0.30994,0.74085,0.58127,0.7184,0.92999,1.2298,p076
0.23462,0.87525,0.51167,0.97751,0.66522,1.4279,p077
0.33988,0.2025,0.76696,0.88309,1.25,1.4575,p078
0.99513,0.67839,0.14178,0.70458,0.59403,1.0961,p079
0.79845,0.97933,0.4278,0.92415,1.1458,1.0829,p080
0.4806,0.45467,0.1792,1.3733,0.75892,0.93349,p081
0.52046,0.63339,0.16855,1.4514,0.57853,1.3036,p082
0.16231,0.67061,0.45324,0.7791,0.70429,0.95373,p083
0.49307,0.15578,0.69113,1.4915,1.3828,1.3713,p084
0.80367,0.13447,0.37313,1.4084,0.60892,1.2695,p085
0.78713,0.59075,0.28802,0.60544,1.2699,0.97115,p086
0.47011,0.39156,0.65492,0.63116,1.0014,0.80002,p087
0.34397,0.60017,0.61245,1.1204,1.0554,0.69317,p088
0.20168,0.15374,0.66821,0.91283,1.3131,1.1873,p089
0.53054,0.24985,0.31575,0.75881,0.73852,0.98028,p090
0.42393,0.652,0.22016,1.0484,0.79044,1.4601,p091
0.94993,0.71498,0.88513,1.1906,1.4037,0.59304,p092
0.91182,0.69348,0.43854,0.55049,1.1752,0.96393,p093
0.84667,0.12143,0.24172,1.1332,0.54768,1.1187,p094
0.38494,0.44708,0.42367,1.4613,0.74287,1.4918,p095
0.39968,0.8876,0.35139,0.87036,1.2982,0.74496,p096
0.65907,0.30825,0.98913,1.3012,1.3401,0.8338,p097
0.7624,0.72316,0.77781,1.4157,1.1302,1.1219,p098
0.84808,0.11546,0.83884,1.3313,0.95243,0.62994,p099
0.4491,0.56168,0.91187,1.0076,0.63831,1.4103,p100
