"model","rmse","nse","r","bias","mae","nmae","phase","LakeID","exper"
"GLM",1.91257007497233,0.949626286346326,0.979011356689436,-0.0841593179593815,1.48276945570196,0.329066043395919,"cali","exper2_01","exper2"
"GLM",2.31210419877546,0.928103432366876,0.967346125755827,0.282397202117107,1.69343423092031,0.337678099394603,"vali","exper2_01","exper2"
"GLM",1.40166265631303,0.938005851764795,0.970578734243241,-0.234307090168092,1.02898966283067,0.0701558680592094,"cali","exper2_02","exper2"
"GLM",1.66236317583092,0.965038416840895,0.983695966472572,-0.406421979133541,1.2415939297609,0.334075165352654,"vali","exper2_02","exper2"
"GLM",1.18262005419861,0.953411627953573,0.977443280202736,-0.208594070421149,0.892923798341425,0.0939657866095965,"cali","exper2_03","exper2"
"GLM",1.31899461839889,0.940540843036104,0.972564849046586,-0.286670672501757,0.976174111937133,0.089619686142318,"vali","exper2_03","exper2"
"GLM",2.18906901265671,0.882411915408323,0.946365857046199,0.0356241139977243,1.70447240330736,0.643435646490755,"cali","exper2_04","exper2"
"GLM",2.41784575765765,0.824460328714496,0.949538184715563,-1.11717062165776,1.89427344365664,0.301220821912124,"vali","exper2_04","exper2"
"GLM",2.11790789531821,0.923054587394077,0.972882985504465,0.952100535061089,1.7977108002875,0.276247956787916,"cali","exper2_05","exper2"
"GLM",2.92957660997401,0.839027612716168,0.953766710055424,1.62759335046337,2.28126369967621,0.244784233969207,"vali","exper2_05","exper2"
"GLM",2.21491548536997,0.857496611029097,0.963351909825019,0.41789542970435,1.69206592040542,0.375883119966875,"cali","exper2_06","exper2"
"GLM",2.71776132479121,0.799658665905192,0.951903232922707,0.700162803245137,2.11042904572985,0.421225994732866,"vali","exper2_06","exper2"
"GLM",0.899900333102149,0.958273047757655,0.98249780538379,0.236193516972206,0.682793225294643,0.0415111782858105,"cali","exper2_07","exper2"
"GLM",1.03130931448758,0.949184234708714,0.984229044522494,0.481037396706539,0.732202045134805,0.0436629734551084,"vali","exper2_07","exper2"
"GLM",0.689353214059294,0.975140438804389,0.990067557795258,-0.164751366998859,0.52255418350077,0.0351700636655406,"cali","exper2_08","exper2"
"GLM",0.779194822978703,0.966408751213975,0.986179836236419,0.134060269670562,0.54728722877805,0.0341776882792933,"vali","exper2_08","exper2"
"GLM",1.12655941744472,0.957393577123613,0.982671317808273,0.132549732723485,0.918924663677541,0.167418411635883,"cali","exper2_09","exper2"
"GLM",1.16608890023614,0.946502234105659,0.978045342146212,0.294318856599172,0.989764337188196,0.135699266883979,"vali","exper2_09","exper2"
"GLM",2.23277439762541,0.903882899509544,0.967135451446971,0.955676067308132,1.76636409201989,5.16975924515967,"cali","exper2_10","exper2"
"GLM",2.07751194643166,0.862153200992188,0.96802360526691,0.240668818751598,1.73377650631245,0.137002608128611,"vali","exper2_10","exper2"
"GLM",1.21981131243976,0.945114660157005,0.978560996041656,-0.568693587587299,0.933936270315035,0.0732365863235932,"cali","exper2_11","exper2"
"GLM",1.3955569215419,0.933224480380984,0.985864324286256,-1.05023618362259,1.1356768164626,0.0813878420944922,"vali","exper2_11","exper2"
"GLM",1.39685538333334,0.937732196910861,0.986776813815287,0.581489072296659,1.01353737327483,0.0700053511246726,"cali","exper2_12","exper2"
"GLM",1.51737575279023,0.92733437343321,0.986255701620376,0.62516163934693,1.09148842964136,0.0726152850127703,"vali","exper2_12","exper2"
"GLM",1.39732098962538,0.939268422531605,0.985114579528115,0.129357579703778,1.12125899908416,0.100242343181217,"cali","exper2_13","exper2"
"GLM",1.04879437359039,0.964361527697876,0.990267020073033,-0.185602140426636,0.873358608694638,0.0682365231879916,"vali","exper2_13","exper2"
"GLM",1.61482427170599,0.89707388885438,0.949256498088611,-0.0322157118863033,1.23318508681751,1.59840961317611,"cali","exper2_14","exper2"
"GLM",1.67364336945712,0.877109184366139,0.937658348547471,-0.218382695681055,1.26877571389887,7.08929995347823,"vali","exper2_14","exper2"
"GLM",1.75109513832033,0.885101119063509,0.957008387127068,-0.518436348655728,1.24576703237576,0.500662174525914,"cali","exper2_15","exper2"
"GLM",2.00586855390005,0.834886085765155,0.942685601010833,-0.251444783563866,1.3841656612151,0.49595156245512,"vali","exper2_15","exper2"
"GLM",1.93284251215661,0.811169784645855,0.987147502128664,0.326213184155916,1.66302749985143,0.121567347776108,"cali","exper2_16","exper2"
"GLM",2.11431945242424,0.773939188273327,0.993702816422904,0.692953223946654,1.88326809612321,0.125459850620223,"vali","exper2_16","exper2"
"GLM",2.00560964370849,0.901204512360386,0.974843817766535,1.41391494098226,1.76049547629603,0.0900864497497304,"cali","exper2_17","exper2"
"GLM",2.5782467900031,0.835971176274899,0.979893693756989,2.24270976347082,2.37187845117906,0.121526990531243,"vali","exper2_17","exper2"
"GLM",2.58462381175288,0.921447742644299,0.959989831558222,-0.0489435211017381,1.88503973362218,0.447860447995848,"cali","exper2_18","exper2"
"GLM",2.2653722536493,0.924525149468669,0.963727005214612,-0.523410358093679,1.65448455195874,0.319904201999508,"vali","exper2_18","exper2"
"GLM",1.16250469910238,0.954555019981203,0.978866338223771,-0.243162166780547,0.895602387976174,0.199666347732719,"cali","exper2_19","exper2"
"GLM",2.85096558469341,0.720325907856235,0.940412863441153,1.40666806609212,1.93151060224101,0.225112506282519,"vali","exper2_19","exper2"
