Observed,Predicted,Error,phase
5.9,5.354783,-0.04844314010881078,train
5.1,4.9825945,-0.011644365525920805,train
5.2,5.1281366,-0.0069580001026793015,train
5.4,5.6564765,0.023196938023157,train
5.9,6.119014,0.018222267908539255,train
6.3,6.1948376,-0.008416485476370514,train
6.4,6.0909753,-0.024739846280315447,train
5.9,5.7977858,-0.008737921660392218,train
5.6,5.8171177,0.019016865210336815,train
5.6,5.301968,-0.027337431818034698,train
4.9,4.9767795,0.0077737247350808,train
4.8,4.979244,0.018329027651963117,train
4.7,4.880149,0.018804413591977473,train
4.7,4.7269497,0.0028588126524235567,train
4.3,4.587984,0.032401485579996066,train
3.6,4.4066687,0.10074961284782429,train
4.2,4.983863,0.0853522199116135,train
4.4,5.669382,0.1260635435152442,train
5.2,5.4315796,0.021782255663539862,train
4.9,5.999791,0.10090019392769935,train
4.9,5.769357,0.08148167547877871,train
5.1,5.62304,0.04877723943757172,train
5.3,5.685725,0.03511147486563499,train
5.1,5.6931086,0.05495253346518936,train
5.4,4.7853446,-0.06034704892497342,train
5.3,5.470562,0.015835922744193185,train
5.7,6.191906,0.041364788368353125,train
5.6,6.366333,0.06404076409932905,train
6.0,6.0084615,0.0007046260996604572,train
6.3,5.755555,-0.04516134033838334,train
6.0,5.611271,-0.03347860011662957,train
6.2,5.468294,-0.06270888173878204,train
6.4,5.6363707,-0.06344349572513759,train
6.6,6.5571814,-0.00325438598430471,train
6.7,7.028434,0.02392363177274592,train
6.3,7.3156414,0.07459370940815092,train
6.8,6.456708,-0.02589573765746188,train
6.8,7.196807,0.028349802503502827,train
6.7,6.496686,-0.015406430882295128,train
6.3,7.577637,0.09206444651101423,train
6.9,7.237542,0.023875582553293032,train
6.6,8.001253,0.0959680118057361,train
6.7,8.135499,0.09676110049865815,train
7.0,8.1047,0.0731361815877411,train
9.1,8.034981,-0.06215469966878774,train
8.8,7.827749,-0.05847161977415162,train
8.5,7.8244743,-0.041381158831349435,train
7.2,7.207788,0.0005405535820718237,train
7.1,7.495842,0.02712019481145502,train
7.0,8.321675,0.08626180066265648,train
7.1,8.242041,0.07443864632187555,train
6.3,7.6647105,0.09772564280534114,train
6.4,8.337848,0.1314878291542569,train
6.8,8.1265135,0.08886959939645725,train
6.3,7.5357485,0.08931560700239609,train
6.5,7.2388353,0.05377714462503088,train
6.5,6.8162265,0.023747454491669834,train
6.0,6.676361,0.05335609166568363,train
6.5,7.014992,0.03810525585635928,train
7.2,6.9034433,-0.021027239214818617,train
6.4,7.3721075,0.0705852320198705,train
5.8,7.9422164,0.15588578392899508,train
6.5,8.730926,0.14647340709594514,train
7.0,8.594423,0.10224317142102667,train
8.0,8.59706,0.035973852973339104,train
7.7,8.541109,0.05178890685909843,train
8.2,8.301365,0.006142830681615576,train
9.5,9.377854,-0.006470314397193413,train
8.7,9.072394,0.020953539404410006,train
8.3,9.020144,0.04157842132759166,train
8.4,9.366523,0.05440137063972939,train
9.4,9.546976,0.007757252303075841,train
8.6,9.202886,0.03386446702881488,train
9.5,9.120591,-0.020375767505475643,train
9.8,9.228082,-0.030056549616361748,train
9.7,9.320167,-0.019970026208265206,train
10.1,9.897616,-0.010120405716604509,train
11.2,10.298405,-0.041937768709362416,train
10.9,10.827548,-0.0033345498844861636,train
11.6,10.825428,-0.034539914196892285,train
12.1,11.409717,-0.02936163696455319,train
11.0,11.246126,0.011063776811810165,train
10.2,11.084485,0.04155539823643272,train
10.3,11.251238,0.04413842378241261,train
10.5,11.716638,0.05476245472741842,train
10.8,11.743939,0.041871084918275424,train
10.6,11.632168,0.04642675538962183,train
10.4,11.591222,0.05416807769234215,train
10.2,12.009903,0.08149081804273828,train
10.2,12.163293,0.08779087688103325,train
9.8,12.08253,0.10430831392792729,train
11.4,11.916204,0.02213931703511811,train
11.5,12.536269,0.043112730175602104,train
11.7,13.255316,0.06232403536518233,train
12.0,13.355318,0.053453009966006666,train
13.2,13.57289,0.013927912569224758,train
14.0,14.998005,0.034416330237646994,train
15.0,14.816621,-0.006150233265684723,train
13.5,14.703771,0.04268119511336336,train
15.5,15.521292,0.0006863586781456154,train
16.0,15.574915,-0.013462746254775709,train
16.3,16.18509,-0.0035373191693388656,train
15.3,15.743197,0.014276791186990863,train
16.8,16.442253,-0.010761789559339367,train
17.0,16.149426,-0.02565880042895662,train
15.9,15.556423,-0.010922298234471092,train
15.9,16.42706,0.01630397489740947,train
16.3,16.36613,0.0020244697386383407,train
16.2,16.392418,0.005903739354840824,train
16.2,16.085932,-0.0035330862703399106,train
16.9,16.85523,-0.0013262918716819396,train
17.2,17.172976,-0.0007862345855654788,train
16.4,16.229506,-0.005225150634894265,train
15.2,15.943464,0.023872247088455152,train
15.7,16.794624,0.03368632653523017,train
15.0,16.607069,0.05084524018075449,train
15.6,16.594147,0.030879723064244604,train
16.3,16.597013,0.009028608131179987,train
16.8,16.609516,-0.005701462325635777,train
16.9,16.601387,-0.008913439846279757,train
16.9,17.135378,0.006915694276168242,train
17.1,17.62075,0.014998236894279522,train
17.5,17.754953,0.0072317039146116945,train
17.8,17.448685,-0.009966742173437007,train
17.4,17.219156,-0.005223794418285253,train
17.7,17.112759,-0.016868588890851546,train
18.1,17.488163,-0.01719215966902283,train
18.5,18.398262,-0.0027572565886233133,train
20.3,18.52266,-0.04578099497038801,train
20.0,19.160374,-0.02144071246487195,train
20.3,19.63615,-0.016622756165762188,train
18.7,19.35073,0.0171016457420426,train
23.6,25.44102,0.037540383495118824,train
24.2,25.866821,0.03329191783716175,train
23.5,25.4415,0.0396698041863032,train
24.1,25.937601,0.03672439633372029,train
23.7,25.09773,0.028643337171008594,train
24.2,24.57581,0.007704817489613481,train
23.2,24.288692,0.02292528257169563,train
23.6,24.28782,0.014363159930234624,train
24.1,24.419052,0.006575803237657804,train
23.9,24.667334,0.01579938476087321,train
23.6,24.630651,0.021369213412620172,train
24.1,25.051981,0.019368102050020267,train
24.6,24.850311,0.005061866941189426,train
24.8,25.389376,0.01174305219941242,train
25.1,25.200651,0.002000983769621358,train
25.1,25.905403,0.015790537868059187,train
25.4,25.834097,0.008472820240119827,train
25.7,26.14696,0.008620728028915703,train
26.3,26.696491,0.007481476618819997,train
26.4,27.119068,0.013435744628227149,train
27.4,27.522835,0.0022365043729406205,train
26.5,26.962025,0.00864210982301574,train
27.1,26.728203,-0.006907114477797958,train
26.7,27.32613,0.011589376151004764,train
26.9,27.80547,0.016551725244017722,train
25.9,26.635181,0.013994085369849545,train
25.6,25.762707,0.0031677920457876202,train
25.9,25.184792,-0.014000410631418426,train
26.4,25.22236,-0.022812575835995323,train
27.0,25.718721,-0.02430405321776469,train
27.6,25.83006,-0.033126321563914186,train
27.8,26.211124,-0.029417547892135798,train
27.5,25.998878,-0.028058934386544603,train
27.6,26.758312,-0.015484074390168976,train
27.6,27.32903,-0.004933116438764051,train
26.2,26.858568,0.012412084260207188,train
26.3,26.655624,0.006715531387086255,train
26.4,26.649456,0.004702336765145951,train
26.3,26.808783,0.00958002279605048,train
26.0,26.799274,0.015137981591376295,train
26.9,27.01345,0.0021043172625938955,train
27.0,26.920746,-0.0014698266713830915,train
26.7,27.592218,0.016433618847782973,train
27.0,27.276516,0.005094578305166274,train
27.0,27.00177,3.277706509638153e-05,train
26.8,26.329584,-0.00885410887150957,train
26.6,25.682327,-0.01755226196259844,train
26.9,26.353619,-0.010259978847597726,train
27.3,26.771002,-0.009783385011635599,train
28.0,27.245516,-0.013656930619455962,train
27.7,27.548717,-0.0027382221510282314,train
28.3,28.08659,-0.003784754982036215,train
27.6,28.469955,0.015515529663852926,train
27.6,28.764042,0.0206522008009816,train
28.0,29.012577,0.017760590893382326,train
28.0,29.212097,0.021186029318417732,train
27.8,28.87222,0.018919673172601327,train
27.8,29.174427,0.02412359167792396,train
27.7,28.594816,0.015895165720318932,train
27.2,27.963715,0.013844495999782032,train
26.4,27.664387,0.02338669160389114,train
26.3,27.719036,0.026269200409073917,train
26.5,27.964676,0.02689221736892814,train
27.0,28.33612,0.02414554166156534,train
27.3,28.652813,0.024177761003195186,train
25.6,27.298721,0.032112702870268496,train
23.2,26.128292,0.05936332177361954,train
25.0,26.44302,0.02805083898020975,train
24.0,25.622128,0.032689600660140344,train
23.3,25.470507,0.0445045092468687,train
23.3,25.480793,0.04470599312208272,train
24.1,25.572014,0.029634664431033943,train
24.4,25.680107,0.025561197481802436,train
24.6,25.727865,0.022410345127637468,train
24.4,25.297508,0.018059429132246795,train
23.8,24.993675,0.02446374469361938,train
24.4,25.304781,0.018203105033764884,train
24.2,25.322456,0.022665587738113075,train
23.4,24.212442,0.0170636654019496,train
23.8,24.51487,0.01479607559240084,train
23.7,24.76151,0.0219041885147897,train
23.2,23.65097,0.00962562107642907,train
23.3,23.49671,0.004203513249036997,train
23.2,22.701437,-0.010861615470365073,train
22.1,22.834354,0.016342818823727765,train
21.6,22.109333,0.011652720758025332,train
20.9,21.999952,0.02563995175158379,train
21.3,22.527277,0.028002601605919372,train
21.9,22.4497,0.012394667730947188,train
22.6,22.605532,0.00012235916228360677,train
22.8,22.551405,-0.005481512391893796,train
22.8,23.03521,0.005131653686823396,train
22.8,23.060947,0.0056899868010539196,train
22.3,22.680798,0.008465798003060862,train
