LSWT,projection,Phase,Year,Date,Error,Lake
,8.09803,Calibration,2005,2005-01-01,,exper2_12
,8.862512,Calibration,2005,2005-01-02,,exper2_12
,8.865681,Calibration,2005,2005-01-03,,exper2_12
,8.686266,Calibration,2005,2005-01-04,,exper2_12
,8.468901,Calibration,2005,2005-01-05,,exper2_12
,8.151295,Calibration,2005,2005-01-06,,exper2_12
,8.065219,Calibration,2005,2005-01-07,,exper2_12
,7.947587,Calibration,2005,2005-01-08,,exper2_12
,7.845347,Calibration,2005,2005-01-09,,exper2_12
,7.7521386,Calibration,2005,2005-01-10,,exper2_12
,7.574545,Calibration,2005,2005-01-11,,exper2_12
,7.4030957,Calibration,2005,2005-01-12,,exper2_12
,7.395702,Calibration,2005,2005-01-13,,exper2_12
,7.3149667,Calibration,2005,2005-01-14,,exper2_12
,7.2372193,Calibration,2005,2005-01-15,,exper2_12
,7.2719736,Calibration,2005,2005-01-16,,exper2_12
,7.3021636,Calibration,2005,2005-01-17,,exper2_12
,7.3508167,Calibration,2005,2005-01-18,,exper2_12
,7.4440184,Calibration,2005,2005-01-19,,exper2_12
,7.4961753,Calibration,2005,2005-01-20,,exper2_12
,7.5183845,Calibration,2005,2005-01-21,,exper2_12
,7.406206,Calibration,2005,2005-01-22,,exper2_12
,7.4665103,Calibration,2005,2005-01-23,,exper2_12
,7.531423,Calibration,2005,2005-01-24,,exper2_12
,7.4423065,Calibration,2005,2005-01-25,,exper2_12
,7.2762723,Calibration,2005,2005-01-26,,exper2_12
,7.1512475,Calibration,2005,2005-01-27,,exper2_12
,7.1665325,Calibration,2005,2005-01-28,,exper2_12
,7.068261,Calibration,2005,2005-01-29,,exper2_12
,7.0725255,Calibration,2005,2005-01-30,,exper2_12
,7.1227307,Calibration,2005,2005-01-31,,exper2_12
,7.21352,Calibration,2005,2005-02-01,,exper2_12
,7.012317,Calibration,2005,2005-02-02,,exper2_12
,7.0804987,Calibration,2005,2005-02-03,,exper2_12
,6.910458,Calibration,2005,2005-02-04,,exper2_12
,7.08508,Calibration,2005,2005-02-05,,exper2_12
,6.9014387,Calibration,2005,2005-02-06,,exper2_12
,6.9258184,Calibration,2005,2005-02-07,,exper2_12
,7.13918,Calibration,2005,2005-02-08,,exper2_12
,7.1383276,Calibration,2005,2005-02-09,,exper2_12
,7.2054095,Calibration,2005,2005-02-10,,exper2_12
,7.175325,Calibration,2005,2005-02-11,,exper2_12
,7.0136065,Calibration,2005,2005-02-12,,exper2_12
,6.9826455,Calibration,2005,2005-02-13,,exper2_12
,7.0158596,Calibration,2005,2005-02-14,,exper2_12
,7.1243324,Calibration,2005,2005-02-15,,exper2_12
,7.179291,Calibration,2005,2005-02-16,,exper2_12
,7.2209687,Calibration,2005,2005-02-17,,exper2_12
,7.2489324,Calibration,2005,2005-02-18,,exper2_12
,7.268377,Calibration,2005,2005-02-19,,exper2_12
,7.2790875,Calibration,2005,2005-02-20,,exper2_12
,7.312412,Calibration,2005,2005-02-21,,exper2_12
,7.3119407,Calibration,2005,2005-02-22,,exper2_12
,7.3282533,Calibration,2005,2005-02-23,,exper2_12
,7.364363,Calibration,2005,2005-02-24,,exper2_12
,7.3435793,Calibration,2005,2005-02-25,,exper2_12
,7.37017,Calibration,2005,2005-02-26,,exper2_12
,7.4424295,Calibration,2005,2005-02-27,,exper2_12
,7.2150474,Calibration,2005,2005-02-28,,exper2_12
,7.134931,Calibration,2005,2005-03-01,,exper2_12
,7.070605,Calibration,2005,2005-03-02,,exper2_12
,7.1886573,Calibration,2005,2005-03-03,,exper2_12
,7.210793,Calibration,2005,2005-03-04,,exper2_12
,7.2448535,Calibration,2005,2005-03-05,,exper2_12
,7.1367073,Calibration,2005,2005-03-06,,exper2_12
,7.068108,Calibration,2005,2005-03-07,,exper2_12
,7.1498146,Calibration,2005,2005-03-08,,exper2_12
,7.0535173,Calibration,2005,2005-03-09,,exper2_12
,7.221591,Calibration,2005,2005-03-10,,exper2_12
,7.213333,Calibration,2005,2005-03-11,,exper2_12
,7.246682,Calibration,2005,2005-03-12,,exper2_12
,7.4151063,Calibration,2005,2005-03-13,,exper2_12
,7.461967,Calibration,2005,2005-03-14,,exper2_12
,7.339561,Calibration,2005,2005-03-15,,exper2_12
,7.076302,Calibration,2005,2005-03-16,,exper2_12
,7.191626,Calibration,2005,2005-03-17,,exper2_12
,7.1404653,Calibration,2005,2005-03-18,,exper2_12
