Observed,Predicted,Error,phase
5.9,5.2908454,-0.05443330459743668,train
5.1,5.248739,0.014372656013640218,train
5.2,5.3922296,0.018148185912945338,train
5.4,5.784615,0.03438785687384096,train
5.9,6.1783376,0.023044353143353898,train
6.3,6.2069955,-0.007436214572754026,train
6.4,6.1647687,-0.018721506415693524,train
5.9,6.089584,0.015812373379234315,train
5.6,5.471774,-0.011581324122677305,train
5.6,5.532465,-0.006066484309341656,train
4.9,5.037887,0.013874880885320753,train
4.8,4.851909,0.005378103750207309,train
4.7,4.50181,-0.02153812542641326,train
4.7,4.275179,-0.04733286247376385,train
4.3,4.017666,-0.03394393642068839,train
3.6,3.937292,0.044749784697732574,train
4.2,4.151754,-0.005776739651965981,train
4.4,4.5158563,0.01299439627089793,train
5.2,5.4505796,0.023527342817503887,train
4.9,5.1742177,0.027219741635011528,train
4.9,5.000549,0.010155875685523777,train
5.1,5.0619483,-0.003744518714381908,train
5.3,5.4615765,0.01501418205474476,train
5.1,5.2524314,0.01472422116694768,train
5.4,5.7590055,0.03217181375490975,train
5.3,5.7682967,0.0423097186223567,train
5.7,5.9548383,0.021865466064985687,train
5.6,5.6524425,0.004660548259811962,train
6.0,5.6300764,-0.03180749451886873,train
6.3,6.0895815,-0.0169835194279793,train
6.0,6.043424,0.0036056298457320026,train
6.2,5.7069182,-0.04141135158975046,train
6.4,5.903561,-0.04034921041182232,train
6.6,6.460876,-0.010651959161818844,train
6.7,6.3454432,-0.027178575609860225,train
6.3,6.403602,0.008155319252358689,train
6.8,6.949302,0.010858878622555293,train
6.8,6.83847,0.0028206822997526916,train
6.7,6.8040743,0.007706894778887755,train
6.3,6.354088,0.004274321370936107,train
6.9,6.5987406,-0.022317601690859813,train
6.6,6.931494,0.024497984325665315,train
6.7,6.821113,0.008957347006148189,train
7.0,7.2335043,0.01640525695597113,train
9.1,7.910453,-0.0699303847510811,train
8.8,8.47734,-0.018675354387610393,train
8.5,7.955441,-0.033092944879826204,train
7.2,7.321222,0.008347921560581678,train
7.1,7.257647,0.010980011801993267,train
7.0,6.9076324,-0.006641507824460727,train
7.1,6.8881526,-0.015144766632889365,train
6.3,7.158873,0.06381462051975137,train
6.4,7.2008605,0.05888306841563209,train
6.8,7.375591,0.04060434664276402,train
6.3,7.067555,0.05741923275104209,train
6.5,7.006701,0.03751478565065071,train
6.5,6.962307,0.03434084344768002,train
6.0,5.9437404,-0.004710386393013784,train
6.5,6.3410015,-0.012382094126255147,train
7.2,6.9495378,-0.0177010770907103,train
6.4,6.408921,0.000696441929258803,train
5.8,6.2577972,0.03796688848522132,train
6.5,6.699296,0.015098986919875886,train
7.0,7.5795293,0.03974951962338198,train
8.0,7.8217196,-0.011268076892393982,train
7.7,7.930034,0.014717456903304194,train
8.2,8.107175,-0.005692275806184483,train
9.5,8.737473,-0.0418110275089503,train
8.7,8.75074,0.002907626977991059,train
8.3,8.541465,0.014337506560187584,train
8.4,7.984109,-0.025383785304094887,train
9.4,7.7972245,-0.09319963988547074,train
8.6,8.373782,-0.013327508058212973,train
9.5,8.958167,-0.029354644025864192,train
9.8,9.476676,-0.016772819157514992,train
9.7,10.110541,0.02072338818279122,train
10.1,10.7489195,0.03112483090844312,train
11.2,11.442041,0.010689919059135156,train
10.9,11.163516,0.011943537471980556,train
11.6,11.731389,0.005631411907792993,train
12.1,11.509544,-0.025009207719280047,train
11.0,11.522392,0.023194351053757466,train
10.2,11.174384,0.045586544679691386,train
10.3,10.98014,0.03196123446950691,train
