Observed,Predicted,Error,phase
5.3751125,4.825974,-0.053831378143056385,train
5.255454,5.0486307,-0.020071976644056577,train
5.1863294,5.2851048,0.009432842312969165,train
5.126567,4.9600244,-0.01651127978077933,train
5.019672,4.9186697,-0.01016288433478729,train
4.8878126,4.8736277,-0.0014531617650219645,train
4.8000083,5.0729227,0.02764269390100583,train
4.765475,4.905828,0.014512336733623269,train
4.7212334,4.6147885,-0.011401519490954033,train
4.607625,4.557598,-0.00545833886985113,train
4.558321,4.637852,0.00864829218927341,train
4.5519376,4.611759,0.006528108383614763,train
4.5560083,4.707862,0.016392021636686176,train
4.5767627,4.379838,-0.021986543084187366,train
4.533146,4.353795,-0.0201813935584758,train
4.5869083,4.43082,-0.01730905462149659,train
4.629492,4.429801,-0.02204264983408877,train
4.6234083,4.491474,-0.014474587730641234,train
4.6109834,4.440375,-0.018848941374899286,train
4.5696416,4.2884707,-0.03174162105782651,train
4.533554,4.3809566,-0.01711786906119277,train
4.527625,4.287819,-0.02720296055795197,train
4.5066376,4.5314026,0.0027400868116228302,train
4.4772377,4.33829,-0.015761675103537515,train
4.433,4.3940754,-0.004409693124663355,train
4.4433,4.3975744,-0.0051720389412306155,train
4.4134917,4.374292,-0.004460718513837571,train
4.4202833,4.2675357,-0.01758181552834334,train
4.393925,4.0855684,-0.0363649972301867,train
4.3584123,4.0248184,-0.03979299363872482,train
4.328321,4.089203,-0.028407178068419296,train
4.276592,4.1123824,-0.019574427353132397,train
4.203579,4.127321,-0.009153655082950116,train
4.112671,4.1300397,0.0021071701228788232,train
4.0863624,4.0930214,0.0008141237914721451,train
4.0339956,3.9382572,-0.012008953153132246,train
3.98865,3.7860644,-0.02605699514215421,train
3.9098625,3.8661647,-0.005619557760837935,train
3.8054917,3.9075487,0.013231744613956807,train
3.7628207,3.955112,0.024914866093344992,train
3.740671,3.6688619,-0.009691441484996718,train
3.6900334,3.8446457,0.020520091061738802,train
3.648871,3.796503,0.019828704616044968,train
3.6459541,3.686785,0.005568294461615405,train
3.6525543,3.74144,0.01202134870082089,train
3.65345,3.753034,0.013445529744266273,train
3.6786792,3.7185667,0.005392199868640467,train
3.7514167,3.8789403,0.016712672841866793,train
3.8236542,3.9090395,0.011042118851544654,train
3.8698626,3.8347268,-0.004560365819505814,train
3.8280876,3.818333,-0.0012757155812160687,train
3.738546,3.8347783,0.012706760157084452,train
3.778946,3.864672,0.011215372641073484,train
3.9159584,4.055174,0.01746495535356431,train
4.0086,4.048518,0.004954370011910988,train
3.889546,3.9840107,0.01199772650813391,train
3.9355874,3.9007769,-0.004442180310181661,train
4.0043206,4.061611,0.0071027818593436725,train
4.052054,4.058676,0.0008164293307131402,train
4.1019335,4.2776957,0.020974935009567895,train
4.141754,4.375005,0.027387251442225487,train
4.1712584,4.299389,0.015126404261146061,train
4.1986375,4.3496666,0.017667727835182202,train
4.211721,4.45259,0.027800138654250267,train
4.1992373,4.2803197,0.009562096663540071,train
4.224329,4.3866773,0.018853577098410068,train
4.2702165,4.2500315,-0.002369061780235395,train
4.2955165,4.4669886,0.019568841505406012,train
4.4009666,4.425231,0.0027491267095331477,train
4.432017,4.403881,-0.0031842577592571617,train
4.535996,4.3518767,-0.020715781025171656,train
4.574025,4.763609,0.020303192074449566,train
4.5593085,4.591794,0.00354989848760787,train
4.659896,4.7470655,0.009266504148353281,train
4.716642,4.897031,0.018763789080811274,train
4.9669085,4.83004,-0.013970521311282317,train
5.3875165,5.4721174,0.007790403069635106,train
5.6871915,5.773815,0.007558120449720295,train
5.964646,5.9405384,-0.002024954478877522,train
6.201625,6.0800447,-0.009899315622043468,train
6.1657624,5.883525,-0.02342358699549772,train
5.8809,5.7119684,-0.014572017851097196,train
5.5613,5.559101,-0.00019771734446782281,train
5.6930623,5.569311,-0.01098801811717891,train
5.6502333,5.4189224,-0.020896882367146784,train
5.6169877,5.3425016,-0.025045515922904542,train
5.589121,5.276794,-0.028743728736948696,train
5.7126584,5.3830485,-0.029706072150427358,train
5.76415,5.3896866,-0.03357262324683148,train
5.962,5.791783,-0.014481894113013144,train
6.312896,5.967117,-0.028157865399492634,train
6.7527127,6.645466,-0.008004586231120865,train
7.102425,6.898542,-0.014562077798374207,train
6.6273665,6.8141165,0.013893551393205954,train
6.7170625,6.9266872,0.01536416100406329,train
7.0110083,6.75618,-0.01850984033394978,train
6.486325,6.9619813,0.035369250702634476,train
6.286267,6.264065,-0.001769038113403926,train
6.811421,6.368279,-0.03362306734548406,train
6.7848835,6.4801674,-0.02297134875703606,train
7.2556086,6.872402,-0.027123872870612187,train
7.7102957,7.5508604,-0.010447129389053523,train
8.059862,7.764083,-0.018691876606023804,train
8.154067,7.7120113,-0.02786168653097662,train
7.9504166,8.147301,0.012230563612580334,train
8.0777,8.09685,0.0011840041225819557,train
8.094804,8.197182,0.0062839419705169675,train
8.577633,8.19844,-0.02260322288908519,train
9.149575,8.809181,-0.018954208833345608,train
9.664171,9.193462,-0.024961183214318117,train
9.3041,9.486333,0.00969817233213473,train
9.219104,9.54142,0.017180552805572027,train
9.210134,9.309509,0.005365963356057002,train
9.401925,9.564702,0.00858228223622847,train
9.472366,10.142744,0.03417659741615273,train
9.596075,10.273276,0.03408270646918996,train
9.540842,10.039415,0.025463061727731218,train
9.853458,9.962367,0.005496044233244342,train
9.939392,9.829334,-0.005567269679809149,train
9.904263,9.547098,-0.018361922767099605,train
9.746658,9.812517,0.003367158343232103,train
9.9574795,10.146481,0.009401186782305757,train
10.288983,10.272857,-0.000784299101901,train
9.901763,9.493634,-0.021042556359301523,train
9.840558,9.172399,-0.03514232416573997,train
9.731775,8.827844,-0.04870421209494537,train
9.292275,9.056403,-0.01285500029521854,train
9.301996,8.989217,-0.01709998270569753,train
9.446888,9.146973,-0.01612980325870402,train
9.690508,9.299512,-0.020589550904234474,train
9.617933,9.733583,0.005976284890409479,train
9.729484,9.834875,0.005386913209672841,train
9.862129,9.856738,-0.0002733991171041496,train
9.873359,9.766034,-0.005464761615811204,train
9.966887,9.419136,-0.028254965547290376,train
10.122167,9.65383,-0.02368209692652641,train
10.119958,9.895585,-0.011209931399252653,train
9.998141,9.956567,-0.0020834420600087133,train
10.094387,9.983824,-0.0055066300045645555,train
10.211208,10.262989,0.002529071088994833,train
10.610541,10.335163,-0.013147241132800408,train
10.810333,10.798389,-0.0005527312887395167,train
11.076,11.043939,-0.001449442381377914,train
11.437875,11.248777,-0.008335183302948431,train
12.08575,12.085161,-2.434401654256808e-05,train
12.466042,12.685501,0.008725489987905953,train
12.015333,12.113068,0.004050597969317714,train
12.459917,12.367365,-0.0037278420262792733,train
13.029208,13.305505,0.010491726862091579,train
13.998959,14.309494,0.010969707006880979,train
15.005792,14.9978695,-0.0002640401951373694,train
15.69025,16.121758,0.01356428402435832,train
16.409958,16.806358,0.011933907691544421,train
17.147333,16.640987,-0.014985821751075977,train
17.126167,16.586704,-0.016001693667315898,train
16.186832,16.280857,0.002895945464863398,train
14.874792,15.312681,0.01450565586629877,train
14.441375,14.984323,0.018451483515842446,train
14.577084,14.683237,0.003627899002889999,train
14.356292,14.387004,0.001068497086716349,train
14.567917,14.494311,-0.002532687339073645,train
14.736667,14.421654,-0.010803534881682461,train
14.975083,14.898457,-0.0025650384200290397,train
15.1095,15.285955,0.005805325028014449,train
15.333417,15.459798,0.004104180782659718,train
15.773125,16.067204,0.009236048853020774,train
16.388042,16.41042,0.0006822580345013677,train
15.840709,15.995568,0.004864247876957792,train
15.148916,15.50205,0.011521142526160965,train
14.994125,15.354315,0.011868466248846812,train
14.990958,15.188129,0.006533372168243474,train
15.205334,15.233403,0.0009221636309228758,train
15.793875,15.174038,-0.02001545321368641,train
16.533875,16.865849,0.009939424617816132,train
17.670208,17.16097,-0.01462015667985593,train
18.008833,17.353989,-0.018517874276380488,train
18.017666,17.735258,-0.007898871736840065,train
18.559416,18.279898,-0.007587495553837783,train
18.9305,18.668488,-0.006968604703425173,train
19.322958,19.492268,0.0043619382205432565,train
20.041666,19.884758,-0.003929929591846727,train
20.64,20.483952,-0.0037945726859595244,train
21.3035,21.285246,-0.000428595075196267,train
21.394125,21.400414,0.00014694698583296456,train
20.257042,20.460342,0.0049929650290083645,train
20.389668,20.707376,0.0077307012442330465,train
20.451208,20.506115,0.001340586761325029,train
20.484625,20.147532,-0.008296221105882415,train
20.158083,19.778759,-0.009498096010837882,train
19.940792,19.382078,-0.014208370583011895,train
19.704,19.277567,-0.010939364213980842,train
19.526833,19.298382,-0.0058840827735117925,train
18.905666,18.86522,-0.0010708574767778047,train
18.737625,18.852245,0.003049231278514554,train
18.67825,18.91798,0.006376459496332349,train
18.806917,19.035362,0.006036767777104456,train
18.787416,19.22636,0.011546967970714948,train
18.479958,18.392769,-0.0023645856740207184,train
18.07525,18.114162,0.0010752265968506365,train
17.933958,18.494576,0.015389514542692008,train
17.912416,18.350477,0.012080138016641945,train
17.752083,18.302582,0.015268453286954873,train
17.416542,17.740486,0.009214205761938429,train
17.259417,17.652124,0.01124865341448413,train
17.238459,17.550999,0.008983757677965559,train
17.379375,17.788315,0.011628268969331702,train
17.187626,17.428818,0.006967551796006675,train
16.887333,16.899038,0.00034645326304835175,train
16.789125,16.857346,0.0020275570208250463,train
16.590876,16.598892,0.0002415378842947907,train
16.677917,16.554415,-0.0037163425807709475,train
16.550041,16.765175,0.006457519788434815,train
16.438417,16.447355,0.00027178426894555594,train
16.48129,16.605713,0.0037604515193560384,train
16.613916,16.600603,-0.000400827519324423,train
16.564875,16.445604,-0.003613104941712017,train
16.785,16.970198,0.005486498192253175,train
17.22025,17.502533,0.00812964185477429,train
17.515375,17.699127,0.005218079136560888,train
17.486334,17.933071,0.012612783575459927,train
17.529,18.045244,0.01451176010657574,train
17.579666,17.975716,0.011138946616269501,train
17.661333,17.967686,0.008598401690975636,train
17.595041,18.066021,0.013207113332017947,train
17.818583,18.030125,0.0059009695479878286,train
17.68025,17.704287,0.0006792912860544011,train
17.122375,17.431864,0.008956594126208375,train
16.995543,17.062311,0.001960447855312833,train
16.886875,17.028404,0.004173018350550413,train
16.900833,17.021648,0.0035615105860788356,train
16.918625,16.715044,-0.006052888756541512,train
16.86304,16.699097,-0.00488479745599994,train
16.688417,16.456432,-0.0069991293887991714,train
16.759125,16.70936,-0.0014869102488299366,train
16.613333,16.703348,0.0027018120930164392,train
16.698957,16.496317,-0.0061044994324255435,train
16.659458,16.553764,-0.00318228130760326,train
16.50925,16.28273,-0.006907802858953952,train
16.4475,16.243929,-0.006227054764709163,train
16.282084,16.068111,-0.0066142442767651724,train
16.088875,16.070183,-0.0005812364536320399,train
15.95875,16.020117,0.0019189871774868102,train
15.890083,15.663811,-0.0071709876029780704,train
15.75675,15.786735,0.0009505758313925605,train
15.632334,15.702908,0.002252218390375715,train
15.576917,15.450793,-0.0040648642295390254,train
15.408417,15.330275,-0.0025421435577363933,train
15.222292,15.196957,-0.0008328710626181972,train
15.014375,15.027819,0.0004475021731488982,train
15.016791,14.886552,-0.004355348691960257,train
15.008833,14.608674,-0.013510890109664712,train
15.049833,14.85078,-0.006657180087497027,train
15.079083,15.056063,-0.0007639167972167212,train
15.409083,15.134817,-0.008979411227209931,train
15.622042,15.277219,-0.011159583685581424,train
15.566958,15.381907,-0.005979248642266213,train
15.3845,15.271785,-0.003676726319288046,train
15.244917,15.295458,0.0016548887980678433,train
15.10925,15.29694,0.00617274909128478,train
15.133625,15.343925,0.00690017544261492,train
15.075583,15.141682,0.0021874320165450644,train
14.954917,15.104774,0.00498533131686992,train
14.87725,15.131207,0.00846287254480593,train
14.670584,14.976797,0.010328513694815014,train
14.6032915,14.596772,-0.00022326381519974567,train
14.590292,14.467208,-0.004235879507290641,train
14.504042,14.390301,-0.0039364426210992615,train
14.422167,14.31314,-0.0037941793996399673,train
14.488584,14.505114,0.0005701251838072343,train
14.404875,14.398248,-0.0002300820968283072,train
14.307542,14.382535,0.002613904939833583,train
14.269667,14.364052,0.003296293742837131,train
14.280375,14.28129,3.2054411294692364e-05,train
14.30625,14.166132,-0.004921177556289878,train
14.2282915,14.212875,-0.0005420363162655324,train
14.027,13.806103,-0.007936509024254959,train
14.090875,13.855854,-0.008409593837676005,train
14.308958,13.830565,-0.01700073567018225,train
14.1725,13.740718,-0.015468720799012474,train
14.03275,13.782048,-0.00901325622052854,train
13.974792,13.754636,-0.007939425263337168,train
13.794625,13.495314,-0.010967838318817636,train
13.779875,13.576351,-0.007439755619314597,train
13.71975,13.343063,-0.013918990583251464,train
13.629042,13.590669,-0.0014097502499392561,train
13.540292,13.410174,-0.004828020993352633,train
13.502916,13.388385,-0.004259054493803421,train
13.528375,13.497661,-0.0011364609970792043,train
13.456917,13.310723,-0.005461576131171885,train
13.395583,13.184669,-0.007935011836859084,train
13.222584,12.954368,-0.010246270810272743,train
13.070958,12.852034,-0.00844518736452315,train
12.90925,12.610462,-0.01170812842370882,train
12.791833,12.550177,-0.009535798768548088,train
12.7404585,12.526077,-0.008484788734063633,train
12.690583,12.526016,-0.006526137433621916,train
12.609542,12.467464,-0.005665646212207903,train
12.4435,12.092469,-0.014306765421472812,train
12.417375,12.305543,-0.00452340079937176,train
12.385,12.268166,-0.004739133357920658,train
12.373542,12.344874,-0.0011597607914275545,train
12.400583,12.422343,0.0008766084393300094,train
12.380959,12.335346,-0.0018454350524005087,train
12.36775,12.383774,0.0006473797687233657,train
12.316167,12.326126,0.000404151549361773,train
12.157208,12.112721,-0.0018330089835830014,train
12.011042,12.003459,-0.00031575357782241545,train
11.88325,11.8829565,-1.2359216287649362e-05,train
11.744917,11.754411,0.000404004231837798,train
11.567,11.580235,0.0005717373386671315,train
11.386333,11.425379,0.0017116353831179456,train
11.228084,11.245138,0.0007588835267192735,train
11.0945835,11.037967,-0.002558077696843297,train
10.957916,10.83069,-0.005839101046482669,train
10.863584,10.760796,-0.004753337459792928,train
10.703083,10.693737,-0.0004367942652656921,train
10.597375,10.652426,0.0025906525307320505,train
10.515708,10.600485,0.004014780462031025,train
10.424583,10.532211,0.0051357027634209235,train
10.27675,10.46083,0.008876644705376812,train
10.133375,10.222547,0.004380612714210359,train
10.037441,10.139437,0.0050550669069655,train
9.998325,10.203943,0.01017796113543232,train
9.9897375,10.30621,0.015592869470938207,train
9.905271,10.187858,0.014063865442837525,train
9.754091,9.909885,0.007922819798698046,train
9.613971,9.698784,0.00439155985778601,train
9.531208,9.666797,0.007062642597200566,train
9.430925,9.551641,0.006359313575953857,train
9.344142,9.271312,-0.003912351602620489,train
9.261267,9.2293215,-0.0017276480472966152,train
9.166525,8.957545,-0.011530500858614016,train
9.029734,8.928186,-0.005654732886095369,train
8.859009,8.839115,-0.001124053957176454,train
8.692159,8.707054,0.0008560984503900019,train
8.538775,8.541228,0.0001436094733563667,train
8.480975,8.570237,0.005234936205122606,train
8.379704,8.444508,0.003851777615974637,train
8.300542,8.260679,-0.002406986324017248,train
8.233167,8.333582,0.00606125149274717,train
8.137009,8.1815,0.0027264603405594595,train
8.083713,8.233837,0.009200189524476963,train
8.031009,8.258678,0.01397630990034234,train
8.033362,8.312335,0.017067037205889063,train
7.9452915,8.094893,0.009326696454970652,train
7.8802876,8.008738,0.00808419114018219,train
7.8170586,7.8959656,0.005021758525882631,train
