train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.55425066,0.82769513,0.09824938,0.63470185,0.024988143,0.41244888,0.88610697,0.12402402,0.6904991,0.027397083,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,3,100
0.9873822,0.9260175,0.032982543,0.66166735,0.18701552,0.9761437,1.2933217,0.04784695,0.9359562,0.33077952,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,12,100
0.9728342,1.1479414,0.04541281,0.82896787,0.2035265,0.9543466,1.5191945,0.06349629,1.0591666,0.42905435,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,13,100
0.9892261,0.83299357,0.030440243,0.6204395,0.15687193,0.98433876,1.0346949,0.03856413,0.75195444,0.27041337,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,17,100
0.9865017,0.73376083,0.03132881,0.53539324,0.19201504,0.9724036,1.0403372,0.04627172,0.75306314,0.34067073,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,18,100
0.7431526,0.8569494,0.08479636,0.66086835,0.025092313,0.70100844,0.89944816,0.09853296,0.70302016,0.026383251,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,19,100
0.7440842,0.5389342,0.0908214,0.43190157,0.01635009,0.52398235,0.6068052,0.117405444,0.48426998,0.018175716,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,21,100
0.42122138,0.8292956,0.14113557,0.64326525,0.02389492,0.2512772,0.95365834,0.14136544,0.7466866,0.027902657,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,22,100
0.93814814,1.3751428,0.06034936,0.9532334,0.2515604,0.9214296,1.5582446,0.07563083,1.0820773,0.42873293,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,23,100
0.65921885,0.8885016,0.093477495,0.6974099,0.025182046,0.43771875,1.193719,0.10752038,0.9137525,0.033995006,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,24,100
0.9508653,1.0873293,0.05757732,0.8082831,0.31016257,0.9109658,1.4804912,0.076453015,1.048114,0.55298316,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,27,100
0.9759118,0.84107006,0.04172316,0.6356999,0.23047043,0.9360364,1.3934065,0.069009386,1.0334309,0.3225962,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,28,100
0.98607075,0.72527134,0.032505043,0.5218238,0.16818865,0.9749563,0.9606078,0.04245677,0.7388056,0.2824973,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,29,100
0.9906799,0.77475685,0.028538477,0.5739797,0.12692012,0.98427814,1.001994,0.03719423,0.7397814,0.3461274,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,33,100
0.8889433,0.6714587,0.07037215,0.51225823,0.020795314,0.88183826,0.6967704,0.06473817,0.5297916,0.021386418,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,35,100
