train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.57040954,0.8125543,0.09645213,0.6275525,0.024652895,0.408428,0.88913375,0.124447666,0.6853512,0.027133783,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,3,100
0.9866371,0.9529672,0.033942427,0.68262684,0.19705352,0.9752913,1.3162242,0.048694238,0.9362742,0.3484044,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,12,100
0.97075164,1.1911305,0.047121383,0.84925365,0.20317467,0.9633971,1.3603003,0.056855146,0.98655015,0.33143613,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,13,100
0.990853,0.7675282,0.028047929,0.5773877,0.14971595,0.98499256,1.0128684,0.037750635,0.7495278,0.3474405,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,17,100
0.98686194,0.7239036,0.030907944,0.53426456,0.18724306,0.9653893,1.1650728,0.05181966,0.8166198,0.3642387,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,18,100
0.7784623,0.7958687,0.07875235,0.61789316,0.023558466,0.7345199,0.84754485,0.09284704,0.655744,0.024611168,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,19,100
0.7073792,0.5762882,0.097116314,0.452785,0.017193668,0.25623655,0.7584993,0.14675541,0.60445184,0.022574633,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,21,100
0.4456725,0.8115893,0.13812219,0.63346654,0.02344209,0.24806058,0.9557047,0.14166878,0.7550301,0.02817061,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,22,100
0.94479483,1.2991561,0.057014614,0.9560639,0.25241786,0.8618369,2.0663416,0.10029178,1.4299887,0.7264424,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.1,trans_PIDL,exper3,23,100
0.7034307,0.82886446,0.0872032,0.65444505,0.02361306,0.35281956,1.2806723,0.115352415,0.97397166,0.03600997,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,24,100
