train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.52570605,0.8537857,0.101346396,0.65535504,0.025777398,0.4068761,0.8902993,0.124610804,0.6898876,0.027385125,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,3,100
0.98502356,1.008861,0.035933226,0.72149193,0.2105315,0.97705436,1.2683965,0.046924833,0.92868596,0.33435863,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,12,100
0.962841,1.3425813,0.05311281,0.9556476,0.22214161,0.9604853,1.4133718,0.05907332,1.0223624,0.3920227,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,13,100
0.98768234,0.8906759,0.03254814,0.66875637,0.18497255,0.98557836,0.9929034,0.03700652,0.7273883,0.27775615,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,17,100
0.9817667,0.85280114,0.036411382,0.62556493,0.2264495,0.97538215,0.98259085,0.0437033,0.7160605,0.42607528,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,18,100
0.77931297,0.7943391,0.07860099,0.6022029,0.022852605,0.7610487,0.80408394,0.08808598,0.61061454,0.02290015,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,19,100
0.5278091,0.73205876,0.123366825,0.57783926,0.021845454,0.33247685,0.7185731,0.13903044,0.56830704,0.021280814,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,21,100
0.259171,0.938236,0.15967585,0.74718606,0.027741758,0.10834324,1.0407134,0.15427005,0.82222444,0.030686209,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,22,100
0.9115836,1.6441363,0.07215438,1.1469119,0.3031839,0.9035,1.7269096,0.08381714,1.1996115,0.5051345,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,23,100
0.37667525,1.201649,0.12642312,0.96457314,0.03480606,0.27882755,1.351901,0.12176811,1.0343271,0.038080085,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,24,100
0.9408417,1.193095,0.06317793,0.87733006,0.32855275,0.92116493,1.3931158,0.07194092,0.99823934,0.6438195,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,27,100
0.97200954,0.9066406,0.044975933,0.7045389,0.30040258,0.9573257,1.1381373,0.05636701,0.87735826,0.299458,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,28,100
0.98285896,0.80455333,0.036058284,0.5814786,0.18409412,0.97594017,0.94154876,0.041614402,0.7049883,0.30562568,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,29,100
