train_r2,train_rmse,train_nrmse,train_mae,train_mare,test_r2,test_rmse,test_nrmse,test_mae,test_mare,Epoch,batch_size,learning_rate,hidden_dim,layer_num,hidden_dim_fc1,hidden_dim_fc2,lam_ec,method,exper,lake_id,seed
0.55559623,0.8264449,0.09810098,0.6353603,0.025008105,0.44259042,0.86307895,0.120800905,0.67031914,0.02660319,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,3,100
0.9864973,0.9579398,0.034119535,0.67976755,0.20813088,0.9777244,1.2497404,0.04623464,0.90483093,0.37571323,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,12,100
0.97026986,1.2009008,0.047507897,0.8600452,0.2080531,0.96110237,1.4022924,0.058610246,1.0012621,0.43078226,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,13,100
0.99107176,0.7582947,0.027710507,0.5654838,0.14244373,0.98705906,0.9405515,0.03505531,0.6913832,0.3438334,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,17,100
0.98619354,0.74208874,0.03168438,0.54810673,0.19561213,0.97460186,0.9980417,0.044390514,0.7159762,0.38861158,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,18,100
0.78049266,0.7922133,0.078390636,0.60934156,0.023140887,0.7207968,0.8691742,0.0952165,0.6711963,0.025164211,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,19,100
0.7900684,0.4881194,0.08225807,0.38443655,0.014476726,0.586832,0.5653288,0.10938053,0.45323694,0.016973592,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,21,100
0.44299406,0.81354773,0.13845548,0.6291385,0.023333909,0.18245381,0.9965255,0.14771986,0.7843749,0.029202413,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,22,100
0.9429111,1.3211355,0.057979204,0.95281655,0.26247004,0.896858,1.7853523,0.08665371,1.2271763,0.45292038,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.01,trans_PIDL,exper3,23,100
0.607037,0.9541052,0.10037953,0.7442328,0.026988955,0.48559695,1.141766,0.10284087,0.86293066,0.03213198,200.0,128.0,0.005,48.0,2.0,32.0,12.0,0.001,trans_PIDL,exper3,24,100
