LSWT,projection,Phase,Year,Date,Error,Lake
,6.1094513,Calibration,2017,2017-01-01,,exper2_38
,5.402269,Calibration,2017,2017-01-02,,exper2_38
,6.5504193,Calibration,2017,2017-01-03,,exper2_38
,7.0217524,Calibration,2017,2017-01-04,,exper2_38
,6.5999026,Calibration,2017,2017-01-05,,exper2_38
,6.9028883,Calibration,2017,2017-01-06,,exper2_38
,6.2848797,Calibration,2017,2017-01-07,,exper2_38
,5.6885443,Calibration,2017,2017-01-08,,exper2_38
,5.975057,Calibration,2017,2017-01-09,,exper2_38
,5.5619955,Calibration,2017,2017-01-10,,exper2_38
,7.3432345,Calibration,2017,2017-01-11,,exper2_38
,6.103431,Calibration,2017,2017-01-12,,exper2_38
,6.5140896,Calibration,2017,2017-01-13,,exper2_38
,6.3001385,Calibration,2017,2017-01-14,,exper2_38
,6.656675,Calibration,2017,2017-01-15,,exper2_38
,6.2278953,Calibration,2017,2017-01-16,,exper2_38
,5.8314404,Calibration,2017,2017-01-17,,exper2_38
,5.0901065,Calibration,2017,2017-01-18,,exper2_38
,5.478768,Calibration,2017,2017-01-19,,exper2_38
,5.8786263,Calibration,2017,2017-01-20,,exper2_38
,5.8321877,Calibration,2017,2017-01-21,,exper2_38
,5.4503703,Calibration,2017,2017-01-22,,exper2_38
,5.487534,Calibration,2017,2017-01-23,,exper2_38
,5.2255325,Calibration,2017,2017-01-24,,exper2_38
,4.6506214,Calibration,2017,2017-01-25,,exper2_38
,4.6198325,Calibration,2017,2017-01-26,,exper2_38
,4.67683,Calibration,2017,2017-01-27,,exper2_38
,4.4903884,Calibration,2017,2017-01-28,,exper2_38
,4.925365,Calibration,2017,2017-01-29,,exper2_38
,4.3316684,Calibration,2017,2017-01-30,,exper2_38
,4.309213,Calibration,2017,2017-01-31,,exper2_38
,4.873264,Calibration,2017,2017-02-01,,exper2_38
,4.3015327,Calibration,2017,2017-02-02,,exper2_38
,4.6690993,Calibration,2017,2017-02-03,,exper2_38
,4.3286076,Calibration,2017,2017-02-04,,exper2_38
,4.2887316,Calibration,2017,2017-02-05,,exper2_38
,4.7159925,Calibration,2017,2017-02-06,,exper2_38
,4.266586,Calibration,2017,2017-02-07,,exper2_38
,3.8156745,Calibration,2017,2017-02-08,,exper2_38
,4.268073,Calibration,2017,2017-02-09,,exper2_38
,5.2004185,Calibration,2017,2017-02-10,,exper2_38
,4.280964,Calibration,2017,2017-02-11,,exper2_38
,4.394587,Calibration,2017,2017-02-12,,exper2_38
,3.7290504,Calibration,2017,2017-02-13,,exper2_38
,4.2122355,Calibration,2017,2017-02-14,,exper2_38
,4.150184,Calibration,2017,2017-02-15,,exper2_38
,4.5723667,Calibration,2017,2017-02-16,,exper2_38
,4.9678893,Calibration,2017,2017-02-17,,exper2_38
,4.952008,Calibration,2017,2017-02-18,,exper2_38
,5.591886,Calibration,2017,2017-02-19,,exper2_38
,5.4945374,Calibration,2017,2017-02-20,,exper2_38
,4.770884,Calibration,2017,2017-02-21,,exper2_38
,4.641094,Calibration,2017,2017-02-22,,exper2_38
,4.6105213,Calibration,2017,2017-02-23,,exper2_38
,5.0914197,Calibration,2017,2017-02-24,,exper2_38
,4.9821453,Calibration,2017,2017-02-25,,exper2_38
,4.959333,Calibration,2017,2017-02-26,,exper2_38
,6.02242,Calibration,2017,2017-02-27,,exper2_38
,5.143893,Calibration,2017,2017-02-28,,exper2_38
,5.26496,Calibration,2017,2017-03-01,,exper2_38
,5.4756384,Calibration,2017,2017-03-02,,exper2_38
,6.013349,Calibration,2017,2017-03-03,,exper2_38
,6.1978617,Calibration,2017,2017-03-04,,exper2_38
,6.0117173,Calibration,2017,2017-03-05,,exper2_38
,5.9299994,Calibration,2017,2017-03-06,,exper2_38
,4.94688,Calibration,2017,2017-03-07,,exper2_38
,4.770939,Calibration,2017,2017-03-08,,exper2_38
,5.5519648,Calibration,2017,2017-03-09,,exper2_38
,5.454269,Calibration,2017,2017-03-10,,exper2_38
,5.605987,Calibration,2017,2017-03-11,,exper2_38
,6.0017757,Calibration,2017,2017-03-12,,exper2_38
,5.71015,Calibration,2017,2017-03-13,,exper2_38
,4.9987364,Calibration,2017,2017-03-14,,exper2_38
,4.6491904,Calibration,2017,2017-03-15,,exper2_38
,5.0013375,Calibration,2017,2017-03-16,,exper2_38
,5.983517,Calibration,2017,2017-03-17,,exper2_38
,5.0140414,Calibration,2017,2017-03-18,,exper2_38
,6.2427316,Calibration,2017,2017-03-19,,exper2_38
,5.6982894,Calibration,2017,2017-03-20,,exper2_38
,5.0835433,Calibration,2017,2017-03-21,,exper2_38
,5.539892,Calibration,2017,2017-03-22,,exper2_38
,5.547543,Calibration,2017,2017-03-23,,exper2_38
,4.9378877,Calibration,2017,2017-03-24,,exper2_38
,4.205126,Calibration,2017,2017-03-25,,exper2_38
,4.7091126,Calibration,2017,2017-03-26,,exper2_38
,4.4828153,Calibration,2017,2017-03-27,,exper2_38
,4.3539457,Calibration,2017,2017-03-28,,exper2_38
,4.8970137,Calibration,2017,2017-03-29,,exper2_38
,5.0116105,Calibration,2017,2017-03-30,,exper2_38
,4.888365,Calibration,2017,2017-03-31,,exper2_38
,4.617636,Calibration,2017,2017-04-01,,exper2_38
,5.431723,Calibration,2017,2017-04-02,,exper2_38
,4.508295,Calibration,2017,2017-04-03,,exper2_38
,4.27272,Calibration,2017,2017-04-04,,exper2_38
,4.4306426,Calibration,2017,2017-04-05,,exper2_38
,4.79296,Calibration,2017,2017-04-06,,exper2_38
,4.6422887,Calibration,2017,2017-04-07,,exper2_38
,5.482788,Calibration,2017,2017-04-08,,exper2_38
,6.3687706,Calibration,2017,2017-04-09,,exper2_38
,5.362055,Calibration,2017,2017-04-10,,exper2_38
,5.3086653,Calibration,2017,2017-04-11,,exper2_38
,4.9739127,Calibration,2017,2017-04-12,,exper2_38
,5.437803,Calibration,2017,2017-04-13,,exper2_38
,7.122728,Calibration,2017,2017-04-14,,exper2_38
,5.7444277,Calibration,2017,2017-04-15,,exper2_38
,6.208747,Calibration,2017,2017-04-16,,exper2_38
,6.17612,Calibration,2017,2017-04-17,,exper2_38
,7.8619814,Calibration,2017,2017-04-18,,exper2_38
,6.460648,Calibration,2017,2017-04-19,,exper2_38
,6.483192,Calibration,2017,2017-04-20,,exper2_38
,6.7667813,Calibration,2017,2017-04-21,,exper2_38
,6.6478705,Calibration,2017,2017-04-22,,exper2_38
,7.9797544,Calibration,2017,2017-04-23,,exper2_38
,8.485702,Calibration,2017,2017-04-24,,exper2_38
,7.5574775,Calibration,2017,2017-04-25,,exper2_38
,7.589051,Calibration,2017,2017-04-26,,exper2_38
,8.080677,Calibration,2017,2017-04-27,,exper2_38
,8.679054,Calibration,2017,2017-04-28,,exper2_38
,8.285318,Calibration,2017,2017-04-29,,exper2_38
,8.362222,Calibration,2017,2017-04-30,,exper2_38
,9.227067,Calibration,2017,2017-05-01,,exper2_38
,9.485417,Calibration,2017,2017-05-02,,exper2_38
,9.36642,Calibration,2017,2017-05-03,,exper2_38
,9.200362,Calibration,2017,2017-05-04,,exper2_38
,9.413015,Calibration,2017,2017-05-05,,exper2_38
,9.4417095,Calibration,2017,2017-05-06,,exper2_38
,9.523864,Calibration,2017,2017-05-07,,exper2_38
,9.600683,Calibration,2017,2017-05-08,,exper2_38
,9.444952,Calibration,2017,2017-05-09,,exper2_38
,9.522271,Calibration,2017,2017-05-10,,exper2_38
,9.953196,Calibration,2017,2017-05-11,,exper2_38
,9.969547,Calibration,2017,2017-05-12,,exper2_38
,9.789805,Calibration,2017,2017-05-13,,exper2_38
