"Date","LSWT","Phase","Year","datetime","depth","temperature","model","projection","Error"
2006-01-01,NA,"Calibration",2006,2006-01-01,0,1.01138317584991,"GLM",1.01138317584991,NA
2006-01-02,NA,"Calibration",2006,2006-01-02,0,0.949584484100342,"GLM",0.949584484100342,NA
2006-01-03,NA,"Calibration",2006,2006-01-03,0,1.31736278533936,"GLM",1.31736278533936,NA
2006-01-04,NA,"Calibration",2006,2006-01-04,0,5.02891159057617,"GLM",5.02891159057617,NA
2006-01-05,NA,"Calibration",2006,2006-01-05,0,5.04829931259155,"GLM",5.04829931259155,NA
2006-01-06,NA,"Calibration",2006,2006-01-06,0,4.93479156494141,"GLM",4.93479156494141,NA
2006-01-07,NA,"Calibration",2006,2006-01-07,0,4.67660903930664,"GLM",4.67660903930664,NA
2006-01-08,NA,"Calibration",2006,2006-01-08,0,4.39219093322754,"GLM",4.39219093322754,NA
2006-01-09,NA,"Calibration",2006,2006-01-09,0,4.05490875244141,"GLM",4.05490875244141,NA
2006-01-10,NA,"Calibration",2006,2006-01-10,0,3.60884928703308,"GLM",3.60884928703308,NA
2006-01-11,NA,"Calibration",2006,2006-01-11,0,1.86659610271454,"GLM",1.86659610271454,NA
2006-01-12,NA,"Calibration",2006,2006-01-12,0,0.540336310863495,"GLM",0.540336310863495,NA
2006-01-13,NA,"Calibration",2006,2006-01-13,0,0.0119796833023429,"GLM",0.0119796833023429,NA
2006-01-14,NA,"Calibration",2006,2006-01-14,0,1.48784744739532,"GLM",1.48784744739532,NA
2006-01-15,NA,"Calibration",2006,2006-01-15,0,0.880022644996643,"GLM",0.880022644996643,NA
2006-01-16,NA,"Calibration",2006,2006-01-16,0,0.235450103878975,"GLM",0.235450103878975,NA
2006-01-17,NA,"Calibration",2006,2006-01-17,0,0.0092356950044632,"GLM",0.0092356950044632,NA
2006-01-18,NA,"Calibration",2006,2006-01-18,0,0.0718054473400116,"GLM",0.0718054473400116,NA
2006-01-19,NA,"Calibration",2006,2006-01-19,0,0.0389086045324802,"GLM",0.0389086045324802,NA
2006-01-20,NA,"Calibration",2006,2006-01-20,0,0.0337646305561066,"GLM",0.0337646305561066,NA
2006-01-21,NA,"Calibration",2006,2006-01-21,0,0.00183811050374061,"GLM",0.00183811050374061,NA
2006-01-22,NA,"Calibration",2006,2006-01-22,0,0.00183485739398748,"GLM",0.00183485739398748,NA
2006-01-23,NA,"Calibration",2006,2006-01-23,0,0.00183203094638884,"GLM",0.00183203094638884,NA
2006-01-24,NA,"Calibration",2006,2006-01-24,0,0.00182950170710683,"GLM",0.00182950170710683,NA
2006-01-25,NA,"Calibration",2006,2006-01-25,0,0.00182684627361596,"GLM",0.00182684627361596,NA
2006-01-26,NA,"Calibration",2006,2006-01-26,0,0.0724268481135368,"GLM",0.0724268481135368,NA
2006-01-27,NA,"Calibration",2006,2006-01-27,0,0.0442579239606857,"GLM",0.0442579239606857,NA
2006-01-28,NA,"Calibration",2006,2006-01-28,0,0.042297400534153,"GLM",0.042297400534153,NA
2006-01-29,NA,"Calibration",2006,2006-01-29,0,0.0344020016491413,"GLM",0.0344020016491413,NA
