"LakeID","LakeTR","annual_ave_95_10","Lon_centre","Lat_centre"
3,"H",25.1430945743079,33.1431,-0.8764
12,"T",12.3093294545123,-81.1292,42.2514
13,"C",11.5814879001826,-98.4236,53.4153
17,"T",14.8337033821139,74.4764,46.2903
18,"C",9.47256242693366,35.5319,61.6625
19,"H",25.8799997091082,-42.1986,-9.9042
21,"H",26.4283751155359,-85.2431,11.3569
22,"H",26.9280203034599,36.0486,3.7764
23,"C",9.78234962047003,-109.4181,59.3319
24,"H",27.8076004932486,0.0292,6.5597
27,"C",8.38939513653106,-63.9986,54.0153
28,"C",9.81298677982368,-102.2014,57.5542
29,"T",9.52503846648518,13.5931,59.0514
33,"C",14.1640431352948,48.5931,54.5514
35,"H",24.6866629340686,27.8347,-17.0153
37,"T",13.6020465315682,-98.2681,50.3958
39,"C",11.546271407346,101.9486,55.6375
40,"C",14.6161368222866,84.2597,47.9014
41,"C",8.92246200593701,100.2014,37.0208
42,"H",23.9456724139109,32.3069,-15.6181
44,"T",13.3593965361419,-94.9458,49.0847
47,"C",13.3267381252225,38.5208,58.4014
48,"H",24.3928135671259,32.7986,23.2069
49,"F",5.78221811534466,-101.4431,63.1625
50,"C",12.6003550469595,27.4208,58.8208
53,"T",13.8033091357929,92.7181,50.3069
54,"C",8.91447265862418,-76.7069,53.8736
55,"H",22.2743463574293,37.4014,12.0708
56,"F",4.21470315080977,-71.0431,64.9486
57,"C",12.5448468381831,-100.1875,53.2181
61,"T",14.4969616022394,45.8569,50.3431
63,"C",8.91373865986574,-75.3847,53.8403
65,"H",23.6621930599853,-54.4486,-25.2042
68,"C",10.3016082980552,-103.4347,58.2125
71,"T",15.2117349512413,42.3708,47.7153
72,"C",11.289961235657,-98.3403,57.3319
75,"C",14.079552918584,117.3458,48.8931
77,"H",21.4457710629219,43.3014,33.8931
78,"H",15.6130191577291,116.1708,29.1319
79,"T",14.7519168347673,34.0597,47.4958
80,"F",11.5541185482984,111.2847,62.7097
87,"T",14.8807658396864,32.7819,49.2347
88,"C",11.919888833638,127.7042,54.4347
91,"C",6.13114388515363,90.4514,30.6958
93,"F",11.879924220644,91.4625,54.2264
95,"C",9.2966222267945,14.7069,58.5458
98,"H",26.5632662870963,128.8264,-16.2931
100,"C",11.7782387743491,-118.1903,63.4569
102,"C",10.5022115170542,102.3347,57.3236
104,"C",13.6325550439,56.2847,58.8625
105,"C",7.60224148745709,89.0903,31.8014
107,"C",13.6743189096585,-92.5542,50.3153
109,"W",13.0806227302205,118.7236,33.2847
110,"T",13.8758155507069,-102.3125,47.8069
112,"F",9.09237666800886,87.5986,67.8264
113,"T",13.5410367490752,48.4792,52.8486
114,"H",21.1492696158411,-80.7903,26.9403
118,"T",13.5920372609808,-74.5347,48.5375
122,"T",13.637848051493,-100.6375,44.7375
124,"C",8.92077409391043,-102.1208,60.3208
126,"F",7.41580514196217,-98.1431,62.7431
127,"C",12.6918524381447,-105.0931,55.0181
128,"C",6.90880753881468,-74.1069,56.0681
129,"H",25.357015845873,-51.0486,-20.2236
130,"T",14.3449166814176,-92.8014,48.5736
132,"W",17.7018209612612,-56.0181,-32.6875
135,"T",10.8892753190436,45.3792,40.2958
136,"C",12.6580065568246,34.6597,63.6542
137,"C",11.8869961182182,-106.9625,57.3431
139,"H",23.1861970185744,-45.7347,-20.7431
147,"C",11.9712858992216,-115.0403,55.4514
151,"T",14.4603591730952,-95.0875,47.9681
152,"F",6.58872431821583,-98.7292,64.4875
153,"H",20.7280965357219,-102.9903,20.2486
155,"C",11.5096506690134,-72.5931,55.1431
157,"C",12.0771650304029,25.3986,61.4958
158,"T",12.4850684732131,-71.9597,48.5597
159,"C",12.2197234944965,-76.6708,52.3764
160,"C",13.6052137367269,37.6375,60.1819
161,"W",20.685749477395,-57.9097,-30.9375
162,"F",6.35893399578963,-110.2958,65.4431
165,"T",11.3743906911453,-73.3153,44.4653
168,"C",9.45844194715001,-69.8097,54.5014
172,"C",11.9792422131089,-94.1708,54.7514
173,"H",21.9077736482991,43.5708,32.8208
174,"C",12.9291543980234,-94.5014,53.7903
179,"F",7.57850977743531,85.4903,30.9403
