"LakeID","LakeTR","train_rmse","test_rmse","Source"
3,"Hot",0.8125543,0.88913375,"F"
12,"Temperate",0.9529672,1.3162242,"F"
13,"Cool",1.1911305,1.3603003,"F"
17,"Temperate",0.7675282,1.0128684,"F"
18,"Cool",0.7239036,1.1650728,"F"
19,"Hot",0.7958687,0.84754485,"F"
21,"Hot",0.5762882,0.7584993,"F"
22,"Hot",0.8115893,0.9557047,"F"
23,"Cool",1.2991561,2.0663416,"F"
24,"Hot",0.82886446,1.2806723,"F"
27,"Cool",0.93092173,1.6278657,"F"
28,"Cool",0.8308651,1.1415071,"F"
29,"Temperate",0.6882436,0.98119074,"F"
33,"Cool",0.7645817,1.0370791,"F"
35,"Hot",0.57017785,0.7185792,"F"
37,"Temperate",0.73415893,0.9783427,"F"
39,"Cool",1.1001639,1.3561794,"F"
40,"Cool",0.92456484,1.2818924,"F"
41,"Cool",0.6932453,0.88267356,"F"
42,"Hot",0.67594844,0.8340968,"F"
44,"Temperate",0.7366702,1.0168551,"F"
47,"Cool",0.7504659,1.0116234,"F"
48,"Hot",0.62690276,0.70998526,"F"
49,"Frigid",0.9045778,1.8390845,"F"
50,"Cool",0.74009854,1.055805,"F"
53,"Temperate",0.87211245,0.9999157,"F"
54,"Cool",0.8386989,1.374308,"F"
55,"Hot",0.6393917,0.72634417,"F"
56,"Frigid",0.96405613,1.80407,"F"
57,"Cool",0.75473785,1.0544008,"F"
61,"Temperate",1.310891,1.7665116,"F"
63,"Cool",0.9595056,1.4745407,"F"
65,"Hot",0.8190881,0.90099275,"F"
68,"Cool",0.7465958,1.4222132,"F"
71,"Temperate",0.77884114,1.1725178,"F"
72,"Cool",0.910295,1.2816719,"F"
75,"Cool",0.8439821,1.2536238,"F"
77,"Hot",0.6204651,0.8949511,"F"
78,"Hot",0.76579946,1.1191516,"F"
79,"Temperate",0.89591074,1.266717,"F"
80,"Frigid",1.0533338,1.6746691,"F"
87,"Temperate",0.73295796,0.962649,"F"
88,"Cool",1.0098913,1.9235581,"F"
91,"Cool",0.54334325,0.85959905,"F"
93,"Frigid",0.96052265,1.4461364,"F"
95,"Cool",0.6724276,0.9347333,"F"
98,"Hot",0.78225404,0.91070974,"F"
100,"Cool",0.7954,1.3785394,"F"
