"LSWT","projection","Phase","Year","Date","Error","Lake"
NA,2.3649795,"Calibration",1990,1990-01-01,NA,"exper2_10"
NA,2.789079,"Calibration",1990,1990-01-02,NA,"exper2_10"
NA,2.4318397,"Calibration",1990,1990-01-03,NA,"exper2_10"
NA,2.1588986,"Calibration",1990,1990-01-04,NA,"exper2_10"
NA,1.4002934,"Calibration",1990,1990-01-05,NA,"exper2_10"
NA,1.4485117,"Calibration",1990,1990-01-06,NA,"exper2_10"
NA,1.1652776,"Calibration",1990,1990-01-07,NA,"exper2_10"
NA,0.93642396,"Calibration",1990,1990-01-08,NA,"exper2_10"
NA,0.6092928,"Calibration",1990,1990-01-09,NA,"exper2_10"
NA,0.4983879,"Calibration",1990,1990-01-10,NA,"exper2_10"
NA,0.73606926,"Calibration",1990,1990-01-11,NA,"exper2_10"
NA,0.4432219,"Calibration",1990,1990-01-12,NA,"exper2_10"
NA,0.16436905,"Calibration",1990,1990-01-13,NA,"exper2_10"
NA,0.31396595,"Calibration",1990,1990-01-14,NA,"exper2_10"
NA,0.40340087,"Calibration",1990,1990-01-15,NA,"exper2_10"
NA,0.3384321,"Calibration",1990,1990-01-16,NA,"exper2_10"
NA,0.22744939,"Calibration",1990,1990-01-17,NA,"exper2_10"
NA,0.46551868,"Calibration",1990,1990-01-18,NA,"exper2_10"
NA,0.44578198,"Calibration",1990,1990-01-19,NA,"exper2_10"
NA,0.41331062,"Calibration",1990,1990-01-20,NA,"exper2_10"
NA,0.15279764,"Calibration",1990,1990-01-21,NA,"exper2_10"
NA,0.29393303,"Calibration",1990,1990-01-22,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-01-23,NA,"exper2_10"
NA,0.097021215,"Calibration",1990,1990-01-24,NA,"exper2_10"
NA,0.18132111,"Calibration",1990,1990-01-25,NA,"exper2_10"
NA,0.22896901,"Calibration",1990,1990-01-26,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-01-27,NA,"exper2_10"
NA,0.45956442,"Calibration",1990,1990-01-28,NA,"exper2_10"
NA,0.65307003,"Calibration",1990,1990-01-29,NA,"exper2_10"
NA,0.35272226,"Calibration",1990,1990-01-30,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-01-31,NA,"exper2_10"
NA,0.13949803,"Calibration",1990,1990-02-01,NA,"exper2_10"
NA,0.3290659,"Calibration",1990,1990-02-02,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-02-03,NA,"exper2_10"
NA,0.4532216,"Calibration",1990,1990-02-04,NA,"exper2_10"
NA,0.6327122,"Calibration",1990,1990-02-05,NA,"exper2_10"
NA,0.4259752,"Calibration",1990,1990-02-06,NA,"exper2_10"
NA,0.64851296,"Calibration",1990,1990-02-07,NA,"exper2_10"
NA,0.14030665,"Calibration",1990,1990-02-08,NA,"exper2_10"
NA,0.46982914,"Calibration",1990,1990-02-09,NA,"exper2_10"
NA,0.86072,"Calibration",1990,1990-02-10,NA,"exper2_10"
NA,0.5060719,"Calibration",1990,1990-02-11,NA,"exper2_10"
NA,0.18255267,"Calibration",1990,1990-02-12,NA,"exper2_10"
NA,0.33176634,"Calibration",1990,1990-02-13,NA,"exper2_10"
NA,0.34529325,"Calibration",1990,1990-02-14,NA,"exper2_10"
NA,0.7100701,"Calibration",1990,1990-02-15,NA,"exper2_10"
NA,0.096810035,"Calibration",1990,1990-02-16,NA,"exper2_10"
NA,0.1292369,"Calibration",1990,1990-02-17,NA,"exper2_10"
NA,0.16931367,"Calibration",1990,1990-02-18,NA,"exper2_10"
NA,0.45051983,"Calibration",1990,1990-02-19,NA,"exper2_10"
NA,0.5902976,"Calibration",1990,1990-02-20,NA,"exper2_10"
NA,0.51306444,"Calibration",1990,1990-02-21,NA,"exper2_10"
NA,0.33235106,"Calibration",1990,1990-02-22,NA,"exper2_10"
NA,0.50717986,"Calibration",1990,1990-02-23,NA,"exper2_10"
NA,0.8183073,"Calibration",1990,1990-02-24,NA,"exper2_10"
NA,0.40594253,"Calibration",1990,1990-02-25,NA,"exper2_10"
NA,0.4094232,"Calibration",1990,1990-02-26,NA,"exper2_10"
NA,0.8632137,"Calibration",1990,1990-02-27,NA,"exper2_10"
NA,0.8181924,"Calibration",1990,1990-02-28,NA,"exper2_10"
NA,0.6613199,"Calibration",1990,1990-03-01,NA,"exper2_10"
NA,0.8290102,"Calibration",1990,1990-03-02,NA,"exper2_10"
NA,0.69898665,"Calibration",1990,1990-03-03,NA,"exper2_10"
NA,0.10700079,"Calibration",1990,1990-03-04,NA,"exper2_10"
NA,0.16036612,"Calibration",1990,1990-03-05,NA,"exper2_10"
NA,0.23471764,"Calibration",1990,1990-03-06,NA,"exper2_10"
NA,0.21163425,"Calibration",1990,1990-03-07,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-03-08,NA,"exper2_10"
NA,0.01,"Calibration",1990,1990-03-09,NA,"exper2_10"
NA,0.39389214,"Calibration",1990,1990-03-10,NA,"exper2_10"
NA,0.12638152,"Calibration",1990,1990-03-11,NA,"exper2_10"
NA,0.3911508,"Calibration",1990,1990-03-12,NA,"exper2_10"
NA,0.81361383,"Calibration",1990,1990-03-13,NA,"exper2_10"
NA,0.33882803,"Calibration",1990,1990-03-14,NA,"exper2_10"
NA,0.27632138,"Calibration",1990,1990-03-15,NA,"exper2_10"
NA,0.5737724,"Calibration",1990,1990-03-16,NA,"exper2_10"
NA,0.44829002,"Calibration",1990,1990-03-17,NA,"exper2_10"
NA,0.9558789,"Calibration",1990,1990-03-18,NA,"exper2_10"
NA,1.0223933,"Calibration",1990,1990-03-19,NA,"exper2_10"
NA,1.2637265,"Calibration",1990,1990-03-20,NA,"exper2_10"
NA,1.3231127,"Calibration",1990,1990-03-21,NA,"exper2_10"
NA,1.389398,"Calibration",1990,1990-03-22,NA,"exper2_10"
NA,1.4744244,"Calibration",1990,1990-03-23,NA,"exper2_10"
NA,1.3450091,"Calibration",1990,1990-03-24,NA,"exper2_10"
NA,1.0699444,"Calibration",1990,1990-03-25,NA,"exper2_10"
NA,0.99756414,"Calibration",1990,1990-03-26,NA,"exper2_10"
NA,0.8696385,"Calibration",1990,1990-03-27,NA,"exper2_10"
NA,2.0015736,"Calibration",1990,1990-03-28,NA,"exper2_10"
NA,1.5913714,"Calibration",1990,1990-03-29,NA,"exper2_10"
NA,1.2861974,"Calibration",1990,1990-03-30,NA,"exper2_10"
NA,1.2039274,"Calibration",1990,1990-03-31,NA,"exper2_10"
NA,1.0334961,"Calibration",1990,1990-04-01,NA,"exper2_10"
NA,0.8522674,"Calibration",1990,1990-04-02,NA,"exper2_10"
NA,0.9547574,"Calibration",1990,1990-04-03,NA,"exper2_10"
NA,1.0427159,"Calibration",1990,1990-04-04,NA,"exper2_10"
NA,0.9450738,"Calibration",1990,1990-04-05,NA,"exper2_10"
NA,0.839582,"Calibration",1990,1990-04-06,NA,"exper2_10"
NA,0.9205443,"Calibration",1990,1990-04-07,NA,"exper2_10"
NA,0.9494936,"Calibration",1990,1990-04-08,NA,"exper2_10"
NA,0.8479408,"Calibration",1990,1990-04-09,NA,"exper2_10"
NA,1.3324113,"Calibration",1990,1990-04-10,NA,"exper2_10"
NA,0.9888956,"Calibration",1990,1990-04-11,NA,"exper2_10"
NA,0.92428094,"Calibration",1990,1990-04-12,NA,"exper2_10"
NA,1.1018734,"Calibration",1990,1990-04-13,NA,"exper2_10"
NA,1.8554237,"Calibration",1990,1990-04-14,NA,"exper2_10"
NA,1.2253778,"Calibration",1990,1990-04-15,NA,"exper2_10"
NA,2.4131384,"Calibration",1990,1990-04-16,NA,"exper2_10"
NA,2.1392875,"Calibration",1990,1990-04-17,NA,"exper2_10"
NA,1.9409808,"Calibration",1990,1990-04-18,NA,"exper2_10"
NA,3.4322348,"Calibration",1990,1990-04-19,NA,"exper2_10"
