"LSWT","projection","Phase","Year","Date","Error","Lake"
NA,7.387892,"Calibration",2016,2016-01-01,NA,"exper2_35"
NA,8.087945,"Calibration",2016,2016-01-02,NA,"exper2_35"
NA,7.2029023,"Calibration",2016,2016-01-03,NA,"exper2_35"
NA,6.8553085,"Calibration",2016,2016-01-04,NA,"exper2_35"
NA,6.120812,"Calibration",2016,2016-01-05,NA,"exper2_35"
NA,6.2538266,"Calibration",2016,2016-01-06,NA,"exper2_35"
NA,6.218456,"Calibration",2016,2016-01-07,NA,"exper2_35"
NA,5.6809525,"Calibration",2016,2016-01-08,NA,"exper2_35"
NA,5.0919766,"Calibration",2016,2016-01-09,NA,"exper2_35"
NA,5.4652996,"Calibration",2016,2016-01-10,NA,"exper2_35"
NA,6.06163,"Calibration",2016,2016-01-11,NA,"exper2_35"
NA,5.717413,"Calibration",2016,2016-01-12,NA,"exper2_35"
NA,5.6848006,"Calibration",2016,2016-01-13,NA,"exper2_35"
NA,5.3925424,"Calibration",2016,2016-01-14,NA,"exper2_35"
NA,5.5116267,"Calibration",2016,2016-01-15,NA,"exper2_35"
NA,5.306151,"Calibration",2016,2016-01-16,NA,"exper2_35"
NA,5.2645345,"Calibration",2016,2016-01-17,NA,"exper2_35"
NA,5.0397677,"Calibration",2016,2016-01-18,NA,"exper2_35"
NA,4.7791443,"Calibration",2016,2016-01-19,NA,"exper2_35"
NA,4.591886,"Calibration",2016,2016-01-20,NA,"exper2_35"
NA,4.4333034,"Calibration",2016,2016-01-21,NA,"exper2_35"
NA,4.3104196,"Calibration",2016,2016-01-22,NA,"exper2_35"
NA,4.103754,"Calibration",2016,2016-01-23,NA,"exper2_35"
NA,4.063615,"Calibration",2016,2016-01-24,NA,"exper2_35"
NA,4.1995134,"Calibration",2016,2016-01-25,NA,"exper2_35"
NA,4.188399,"Calibration",2016,2016-01-26,NA,"exper2_35"
NA,4.38073,"Calibration",2016,2016-01-27,NA,"exper2_35"
NA,4.8390164,"Calibration",2016,2016-01-28,NA,"exper2_35"
NA,4.67098,"Calibration",2016,2016-01-29,NA,"exper2_35"
NA,4.97581,"Calibration",2016,2016-01-30,NA,"exper2_35"
NA,4.90529,"Calibration",2016,2016-01-31,NA,"exper2_35"
NA,4.836719,"Calibration",2016,2016-02-01,NA,"exper2_35"
NA,5.4110017,"Calibration",2016,2016-02-02,NA,"exper2_35"
NA,4.8458138,"Calibration",2016,2016-02-03,NA,"exper2_35"
NA,5.1283183,"Calibration",2016,2016-02-04,NA,"exper2_35"
NA,5.202516,"Calibration",2016,2016-02-05,NA,"exper2_35"
NA,5.49232,"Calibration",2016,2016-02-06,NA,"exper2_35"
NA,6.0217276,"Calibration",2016,2016-02-07,NA,"exper2_35"
NA,5.5844707,"Calibration",2016,2016-02-08,NA,"exper2_35"
NA,5.2366467,"Calibration",2016,2016-02-09,NA,"exper2_35"
NA,5.2008433,"Calibration",2016,2016-02-10,NA,"exper2_35"
NA,5.3716636,"Calibration",2016,2016-02-11,NA,"exper2_35"
NA,5.3946543,"Calibration",2016,2016-02-12,NA,"exper2_35"
NA,5.015614,"Calibration",2016,2016-02-13,NA,"exper2_35"
NA,4.197434,"Calibration",2016,2016-02-14,NA,"exper2_35"
NA,3.851746,"Calibration",2016,2016-02-15,NA,"exper2_35"
NA,4.043428,"Calibration",2016,2016-02-16,NA,"exper2_35"
NA,3.9696257,"Calibration",2016,2016-02-17,NA,"exper2_35"
NA,3.903849,"Calibration",2016,2016-02-18,NA,"exper2_35"
NA,3.6598852,"Calibration",2016,2016-02-19,NA,"exper2_35"
NA,3.8943229,"Calibration",2016,2016-02-20,NA,"exper2_35"
NA,3.9786465,"Calibration",2016,2016-02-21,NA,"exper2_35"
NA,4.4205394,"Calibration",2016,2016-02-22,NA,"exper2_35"
NA,4.218206,"Calibration",2016,2016-02-23,NA,"exper2_35"
