"LakeID","LakeTR","train_rmse","test_rmse","Source","Scenario"
3,"H",0.8125543,0.88913375,"F","Cross-domain transfer"
12,"T",0.9529672,1.3162242,"F","Cross-domain transfer"
13,"C",1.1911305,1.3603003,"F","Cross-domain transfer"
17,"T",0.7675282,1.0128684,"F","Cross-domain transfer"
18,"C",0.7239036,1.1650728,"F","Cross-domain transfer"
19,"H",0.7958687,0.84754485,"F","Cross-domain transfer"
21,"H",0.5762882,0.7584993,"F","Cross-domain transfer"
22,"H",0.8115893,0.9557047,"F","Cross-domain transfer"
23,"C",1.2991561,2.0663416,"F","Cross-domain transfer"
24,"H",0.82886446,1.2806723,"F","Cross-domain transfer"
27,"C",0.93092173,1.6278657,"F","Cross-domain transfer"
28,"C",0.8308651,1.1415071,"F","Cross-domain transfer"
29,"T",0.6882436,0.98119074,"F","Cross-domain transfer"
33,"C",0.7645817,1.0370791,"F","Cross-domain transfer"
35,"H",0.57017785,0.7185792,"F","Cross-domain transfer"
37,"T",0.73415893,0.9783427,"F","Cross-domain transfer"
39,"C",1.1001639,1.3561794,"F","Cross-domain transfer"
40,"C",0.92456484,1.2818924,"F","Cross-domain transfer"
41,"C",0.6932453,0.88267356,"F","Cross-domain transfer"
42,"H",0.67594844,0.8340968,"F","Cross-domain transfer"
44,"T",0.7366702,1.0168551,"F","Cross-domain transfer"
47,"C",0.7504659,1.0116234,"F","Cross-domain transfer"
48,"H",0.62690276,0.70998526,"F","Cross-domain transfer"
49,"F",0.9045778,1.8390845,"F","Intra-domain transfer"
50,"C",0.74009854,1.055805,"F","Cross-domain transfer"
53,"T",0.87211245,0.9999157,"F","Cross-domain transfer"
54,"C",0.8386989,1.374308,"F","Cross-domain transfer"
55,"H",0.6393917,0.72634417,"F","Cross-domain transfer"
56,"F",0.96405613,1.80407,"F","Intra-domain transfer"
57,"C",0.75473785,1.0544008,"F","Cross-domain transfer"
61,"T",1.310891,1.7665116,"F","Cross-domain transfer"
63,"C",0.9595056,1.4745407,"F","Cross-domain transfer"
65,"H",0.8190881,0.90099275,"F","Cross-domain transfer"
68,"C",0.7465958,1.4222132,"F","Cross-domain transfer"
71,"T",0.77884114,1.1725178,"F","Cross-domain transfer"
72,"C",0.910295,1.2816719,"F","Cross-domain transfer"
75,"C",0.8439821,1.2536238,"F","Cross-domain transfer"
77,"H",0.6204651,0.8949511,"F","Cross-domain transfer"
78,"H",0.76579946,1.1191516,"F","Cross-domain transfer"
79,"T",0.89591074,1.266717,"F","Cross-domain transfer"
80,"F",1.0533338,1.6746691,"F","Intra-domain transfer"
87,"T",0.73295796,0.962649,"F","Cross-domain transfer"
88,"C",1.0098913,1.9235581,"F","Cross-domain transfer"
91,"C",0.54334325,0.85959905,"F","Cross-domain transfer"
93,"F",0.96052265,1.4461364,"F","Intra-domain transfer"
95,"C",0.6724276,0.9347333,"F","Cross-domain transfer"
98,"H",0.78225404,0.91070974,"F","Cross-domain transfer"
100,"C",0.7954,1.3785394,"F","Cross-domain transfer"
102,"C",1.132656,1.3285583,"F","Cross-domain transfer"
104,"C",0.80543274,1.1048992,"F","Cross-domain transfer"
105,"C",0.57100874,0.7324608,"F","Cross-domain transfer"
107,"C",0.8511953,1.2530411,"F","Cross-domain transfer"
109,"W",0.78315854,1.1608018,"F","Cross-domain transfer"
