"lake_id","test_rmse","Model"
3,0.88913375,"Transfer-PIDL-Frigid"
12,1.3162242,"Transfer-PIDL-Frigid"
13,1.3603003,"Transfer-PIDL-Frigid"
17,1.0128684,"Transfer-PIDL-Frigid"
18,1.1650728,"Transfer-PIDL-Frigid"
19,0.84754485,"Transfer-PIDL-Frigid"
21,0.7584993,"Transfer-PIDL-Frigid"
22,0.9557047,"Transfer-PIDL-Frigid"
23,2.0663416,"Transfer-PIDL-Frigid"
24,1.2806723,"Transfer-PIDL-Frigid"
27,1.6278657,"Transfer-PIDL-Frigid"
28,1.1415071,"Transfer-PIDL-Frigid"
29,0.98119074,"Transfer-PIDL-Frigid"
33,1.0370791,"Transfer-PIDL-Frigid"
35,0.7185792,"Transfer-PIDL-Frigid"
37,0.9783427,"Transfer-PIDL-Frigid"
39,1.3561794,"Transfer-PIDL-Frigid"
40,1.2818924,"Transfer-PIDL-Frigid"
41,0.88267356,"Transfer-PIDL-Frigid"
42,0.8340968,"Transfer-PIDL-Frigid"
44,1.0168551,"Transfer-PIDL-Frigid"
47,1.0116234,"Transfer-PIDL-Frigid"
48,0.70998526,"Transfer-PIDL-Frigid"
49,1.8390845,"Transfer-PIDL-Frigid"
50,1.055805,"Transfer-PIDL-Frigid"
53,0.9999157,"Transfer-PIDL-Frigid"
54,1.374308,"Transfer-PIDL-Frigid"
55,0.72634417,"Transfer-PIDL-Frigid"
56,1.80407,"Transfer-PIDL-Frigid"
57,1.0544008,"Transfer-PIDL-Frigid"
61,1.7665116,"Transfer-PIDL-Frigid"
63,1.4745407,"Transfer-PIDL-Frigid"
65,0.90099275,"Transfer-PIDL-Frigid"
68,1.4222132,"Transfer-PIDL-Frigid"
71,1.1725178,"Transfer-PIDL-Frigid"
72,1.2816719,"Transfer-PIDL-Frigid"
75,1.2536238,"Transfer-PIDL-Frigid"
77,0.8949511,"Transfer-PIDL-Frigid"
78,1.1191516,"Transfer-PIDL-Frigid"
79,1.266717,"Transfer-PIDL-Frigid"
80,1.6746691,"Transfer-PIDL-Frigid"
87,0.962649,"Transfer-PIDL-Frigid"
88,1.9235581,"Transfer-PIDL-Frigid"
91,0.85959905,"Transfer-PIDL-Frigid"
93,1.4461364,"Transfer-PIDL-Frigid"
95,0.9347333,"Transfer-PIDL-Frigid"
98,0.91070974,"Transfer-PIDL-Frigid"
100,1.3785394,"Transfer-PIDL-Frigid"
102,1.3285583,"Transfer-PIDL-Frigid"
104,1.1048992,"Transfer-PIDL-Frigid"
105,0.7324608,"Transfer-PIDL-Frigid"
107,1.2530411,"Transfer-PIDL-Frigid"
109,1.1608018,"Transfer-PIDL-Frigid"
110,1.478414,"Transfer-PIDL-Frigid"
112,1.8166533,"Transfer-PIDL-Frigid"
113,1.557408,"Transfer-PIDL-Frigid"
114,1.043335,"Transfer-PIDL-Frigid"
118,1.30225,"Transfer-PIDL-Frigid"
122,1.2846744,"Transfer-PIDL-Frigid"
124,1.7632372,"Transfer-PIDL-Frigid"
126,1.7713923,"Transfer-PIDL-Frigid"
127,1.0086552,"Transfer-PIDL-Frigid"
