"test_rmse","lake_id","iter","ps"
0.891449,"WindermereSouthBasin",1,2
0.87899864,"WindermereSouthBasin",2,2
0.79155535,"WindermereSouthBasin",3,2
1.0370831,"WindermereSouthBasin",4,2
0.84052604,"WindermereSouthBasin",5,2
0.6372481,"WindermereSouthBasin",1,4
0.69470423,"WindermereSouthBasin",2,4
0.79906154,"WindermereSouthBasin",3,4
0.8158651,"WindermereSouthBasin",4,4
0.77014023,"WindermereSouthBasin",5,4
0.726831,"WindermereSouthBasin",1,6
0.84321165,"WindermereSouthBasin",2,6
0.71943814,"WindermereSouthBasin",3,6
0.73884875,"WindermereSouthBasin",4,6
0.7669206,"WindermereSouthBasin",5,6
0.6978018,"WindermereSouthBasin",1,8
0.6508842,"WindermereSouthBasin",2,8
0.59524226,"WindermereSouthBasin",3,8
0.8034195,"WindermereSouthBasin",4,8
0.6152796,"WindermereSouthBasin",5,8
0.6454276,"WindermereSouthBasin",1,10
0.69369245,"WindermereSouthBasin",2,10
0.6645996,"WindermereSouthBasin",3,10
0.7393829,"WindermereSouthBasin",4,10
0.816083,"WindermereSouthBasin",5,10
0.7405099,"WindermereSouthBasin",1,12
0.8305863,"WindermereSouthBasin",2,12
0.6091061,"WindermereSouthBasin",3,12
0.75664634,"WindermereSouthBasin",4,12
0.72423756,"WindermereSouthBasin",5,12
0.54223627,"WindermereSouthBasin",1,14
0.6159219,"WindermereSouthBasin",2,14
0.73689365,"WindermereSouthBasin",3,14
0.60933566,"WindermereSouthBasin",4,14
0.7096144,"WindermereSouthBasin",5,14
0.7005688,"WindermereSouthBasin",1,16
0.7036095,"WindermereSouthBasin",2,16
0.7247705,"WindermereSouthBasin",3,16
0.8094975,"WindermereSouthBasin",4,16
0.59792745,"WindermereSouthBasin",5,16
0.6693715,"WindermereSouthBasin",1,18
0.7132116,"WindermereSouthBasin",2,18
0.67712057,"WindermereSouthBasin",3,18
0.6905004,"WindermereSouthBasin",4,18
0.7025,"WindermereSouthBasin",5,18
0.69437486,"WindermereSouthBasin",1,20
0.59984565,"WindermereSouthBasin",2,20
0.8035485,"WindermereSouthBasin",3,20
0.6381513,"WindermereSouthBasin",4,20
0.5619613,"WindermereSouthBasin",5,20
0.5589974,"WindermereSouthBasin",1,22
0.66034406,"WindermereSouthBasin",2,22
0.59072524,"WindermereSouthBasin",3,22
0.6079288,"WindermereSouthBasin",4,22
0.6642201,"WindermereSouthBasin",5,22
0.50181824,"WindermereSouthBasin",1,24
0.69906545,"WindermereSouthBasin",2,24
0.7084641,"WindermereSouthBasin",3,24
0.6401377,"WindermereSouthBasin",4,24
0.6915846,"WindermereSouthBasin",5,24
0.6627729,"WindermereSouthBasin",1,26
0.70834714,"WindermereSouthBasin",2,26
0.56613165,"WindermereSouthBasin",3,26
0.6628371,"WindermereSouthBasin",4,26
0.7604331,"WindermereSouthBasin",5,26
0.6959719,"WindermereSouthBasin",1,28
0.56542593,"WindermereSouthBasin",2,28
0.7066615,"WindermereSouthBasin",3,28
0.57424134,"WindermereSouthBasin",4,28
0.71105224,"WindermereSouthBasin",5,28
0.708046,"WindermereSouthBasin",1,30
0.60959494,"WindermereSouthBasin",2,30
0.57206976,"WindermereSouthBasin",3,30
0.65915823,"WindermereSouthBasin",4,30
0.6970063,"WindermereSouthBasin",5,30
0.7298986,"WindermereSouthBasin",1,32
0.62617475,"WindermereSouthBasin",2,32
0.7072555,"WindermereSouthBasin",3,32
0.8353507,"WindermereSouthBasin",4,32
0.7272386,"WindermereSouthBasin",5,32
0.6701496,"WindermereSouthBasin",1,34
0.58027893,"WindermereSouthBasin",2,34
0.68324995,"WindermereSouthBasin",3,34
0.6448901,"WindermereSouthBasin",4,34
0.776499,"WindermereSouthBasin",5,34
0.64802194,"WindermereSouthBasin",1,36
0.6441954,"WindermereSouthBasin",2,36
0.6807269,"WindermereSouthBasin",3,36
0.8720665,"WindermereSouthBasin",4,36
0.5695468,"WindermereSouthBasin",5,36
0.62863564,"WindermereSouthBasin",1,38
0.665384,"WindermereSouthBasin",2,38
0.58089274,"WindermereSouthBasin",3,38
0.7008396,"WindermereSouthBasin",4,38
0.80507684,"WindermereSouthBasin",5,38
0.6496163,"WindermereSouthBasin",0,40
0.6691035,"Feeagh",1,2
0.7263713,"Feeagh",2,2
0.8412362,"Feeagh",3,2
0.78338283,"Feeagh",4,2
0.7287346,"Feeagh",5,2
0.62233025,"Feeagh",1,4
0.6917062,"Feeagh",2,4
0.7172188,"Feeagh",3,4
0.86237746,"Feeagh",4,4
0.61702746,"Feeagh",5,4
0.74662584,"Feeagh",1,6
0.7163244,"Feeagh",2,6
0.65305763,"Feeagh",3,6
0.7928416,"Feeagh",4,6
0.61860466,"Feeagh",5,6
0.5622472,"Feeagh",1,8
0.82452613,"Feeagh",2,8
0.62003225,"Feeagh",3,8
0.80385065,"Feeagh",4,8
0.6075152,"Feeagh",5,8
0.56243944,"Feeagh",1,10
0.68251896,"Feeagh",2,10
0.8213107,"Feeagh",3,10
0.5985362,"Feeagh",4,10
0.5859875,"Feeagh",5,10
0.7313763,"Feeagh",1,12
0.67474896,"Feeagh",2,12
0.6118147,"Feeagh",3,12
0.6022803,"Feeagh",4,12
0.66355217,"Feeagh",5,12
0.6173323,"Feeagh",1,14
0.68568414,"Feeagh",2,14
0.64378005,"Feeagh",3,14
0.7058782,"Feeagh",4,14
0.6170029,"Feeagh",5,14
0.59298784,"Feeagh",1,16
0.57382154,"Feeagh",2,16
0.5892224,"Feeagh",3,16
0.6804356,"Feeagh",4,16
0.6483363,"Feeagh",5,16
0.7229975,"Feeagh",1,18
0.6884235,"Feeagh",2,18
0.5840514,"Feeagh",3,18
0.5755773,"Feeagh",4,18
0.731937,"Feeagh",5,18
0.5750375,"Feeagh",1,20
0.6740158,"Feeagh",2,20
0.6102138,"Feeagh",3,20
0.5463883,"Feeagh",4,20
0.64908993,"Feeagh",5,20
0.651052,"Feeagh",1,22
0.6708156,"Feeagh",2,22
0.62092096,"Feeagh",3,22
0.6220342,"Feeagh",4,22
0.55574393,"Feeagh",5,22
0.6699669,"Feeagh",1,24
0.64533186,"Feeagh",2,24
0.6161222,"Feeagh",3,24
0.6270289,"Feeagh",4,24
0.6037153,"Feeagh",5,24
0.55182874,"Feeagh",1,26
0.5623208,"Feeagh",2,26
0.5917363,"Feeagh",3,26
0.5281239,"Feeagh",4,26
0.5626564,"Feeagh",5,26
0.575786,"Feeagh",1,28
0.5555593,"Feeagh",2,28
0.66580313,"Feeagh",3,28
0.5932478,"Feeagh",4,28
0.6353466,"Feeagh",5,28
0.63984364,"Feeagh",1,30
0.60189956,"Feeagh",2,30
0.75335145,"Feeagh",3,30
0.5649137,"Feeagh",4,30
0.5673159,"Feeagh",5,30
0.5474403,"Feeagh",1,32
0.57756305,"Feeagh",2,32
0.6727865,"Feeagh",3,32
0.59167284,"Feeagh",4,32
0.6709976,"Feeagh",5,32
0.6370037,"Feeagh",1,34
0.56461895,"Feeagh",2,34
0.58143365,"Feeagh",3,34
0.5235697,"Feeagh",4,34
0.52062535,"Feeagh",5,34
0.7596361,"Feeagh",1,36
0.58989275,"Feeagh",2,36
0.5730371,"Feeagh",3,36
0.54865575,"Feeagh",4,36
0.7356987,"Feeagh",5,36
0.62078655,"Feeagh",1,38
0.61784214,"Feeagh",2,38
0.6724416,"Feeagh",3,38
0.6476989,"Feeagh",4,38
0.598908,"Feeagh",5,38
0.55876935,"Feeagh",0,40
1.1138089,"Kasumigaura",1,2
1.241759,"Kasumigaura",2,2
1.0514789,"Kasumigaura",3,2
1.2495141,"Kasumigaura",4,2
0.9927532,"Kasumigaura",5,2
0.9399963,"Kasumigaura",1,4
1.0308567,"Kasumigaura",2,4
0.90183496,"Kasumigaura",3,4
1.003956,"Kasumigaura",4,4
1.0265858,"Kasumigaura",5,4
1.0451424,"Kasumigaura",1,6
1.1560484,"Kasumigaura",2,6
0.77565616,"Kasumigaura",3,6
1.0352561,"Kasumigaura",4,6
0.889849,"Kasumigaura",5,6
0.8933778,"Kasumigaura",1,8
0.85839045,"Kasumigaura",2,8
0.8047159,"Kasumigaura",3,8
0.88880247,"Kasumigaura",4,8
0.89266187,"Kasumigaura",5,8
1.2239851,"Kasumigaura",1,10
1.0685419,"Kasumigaura",2,10
0.8704545,"Kasumigaura",3,10
0.9370968,"Kasumigaura",4,10
0.9166923,"Kasumigaura",5,10
0.8540736,"Kasumigaura",1,12
0.77006346,"Kasumigaura",2,12
0.87341845,"Kasumigaura",3,12
0.88900167,"Kasumigaura",4,12
0.8059004,"Kasumigaura",5,12
0.8437451,"Kasumigaura",1,14
0.7872244,"Kasumigaura",2,14
0.8141966,"Kasumigaura",3,14
0.8480519,"Kasumigaura",4,14
0.9733016,"Kasumigaura",5,14
0.8798511,"Kasumigaura",1,16
0.8010903,"Kasumigaura",2,16
1.0906099,"Kasumigaura",3,16
0.84922653,"Kasumigaura",4,16
0.9644659,"Kasumigaura",5,16
0.8835768,"Kasumigaura",1,18
0.9152879,"Kasumigaura",2,18
0.90475166,"Kasumigaura",3,18
0.817349,"Kasumigaura",4,18
0.8199533,"Kasumigaura",5,18
0.77022094,"Kasumigaura",1,20
0.88135654,"Kasumigaura",2,20
0.7866927,"Kasumigaura",3,20
0.86936057,"Kasumigaura",4,20
0.70903903,"Kasumigaura",5,20
0.777151,"Kasumigaura",1,22
0.92134684,"Kasumigaura",2,22
0.85034364,"Kasumigaura",3,22
0.7866112,"Kasumigaura",4,22
0.81896806,"Kasumigaura",5,22
0.73082507,"Kasumigaura",1,24
0.9491308,"Kasumigaura",2,24
0.79982483,"Kasumigaura",3,24
0.8395934,"Kasumigaura",4,24
0.7721896,"Kasumigaura",5,24
0.76689315,"Kasumigaura",1,26
0.90079963,"Kasumigaura",2,26
0.8208328,"Kasumigaura",3,26
0.83541167,"Kasumigaura",4,26
0.8314895,"Kasumigaura",5,26
0.818827,"Kasumigaura",1,28
0.76752067,"Kasumigaura",2,28
0.9865447,"Kasumigaura",3,28
0.7961098,"Kasumigaura",4,28
0.7283971,"Kasumigaura",5,28
0.8214316,"Kasumigaura",1,30
0.7132328,"Kasumigaura",2,30
0.8394859,"Kasumigaura",3,30
0.83551335,"Kasumigaura",4,30
0.8394545,"Kasumigaura",5,30
0.77697855,"Kasumigaura",1,32
0.95341766,"Kasumigaura",2,32
0.74740905,"Kasumigaura",3,32
0.7921111,"Kasumigaura",4,32
0.8056872,"Kasumigaura",5,32
0.7329083,"Kasumigaura",1,34
0.874645,"Kasumigaura",2,34
0.71442986,"Kasumigaura",3,34
0.7864591,"Kasumigaura",4,34
0.72637177,"Kasumigaura",5,34
0.7436711,"Kasumigaura",1,36
0.7755022,"Kasumigaura",2,36
0.9349847,"Kasumigaura",3,36
0.7814251,"Kasumigaura",4,36
0.8311751,"Kasumigaura",5,36
0.8663864,"Kasumigaura",1,38
0.8841558,"Kasumigaura",2,38
0.90094346,"Kasumigaura",3,38
0.8195972,"Kasumigaura",4,38
0.7830311,"Kasumigaura",5,38
0.76475096,"Kasumigaura",0,40
0.81539536,"WindermereSouthBasin",0,0
0.75723505,"Feeagh",0,0
