"test_rmse","lake_id","iter","fs","Model"
3.5713973,"WindermereSouthBasin",1,1,"Transfer-PIDL"
2.453808,"WindermereSouthBasin",2,1,"Transfer-PIDL"
9.862512,"WindermereSouthBasin",3,1,"Transfer-PIDL"
2.6500359,"WindermereSouthBasin",4,1,"Transfer-PIDL"
1.7436335,"WindermereSouthBasin",5,1,"Transfer-PIDL"
2.0795243,"WindermereSouthBasin",1,6,"Transfer-PIDL"
2.0681264,"WindermereSouthBasin",2,6,"Transfer-PIDL"
1.5040587,"WindermereSouthBasin",3,6,"Transfer-PIDL"
1.7798692,"WindermereSouthBasin",4,6,"Transfer-PIDL"
0.9073759,"WindermereSouthBasin",5,6,"Transfer-PIDL"
1.1585106,"WindermereSouthBasin",1,12,"Transfer-PIDL"
0.8506632,"WindermereSouthBasin",2,12,"Transfer-PIDL"
0.95861375,"WindermereSouthBasin",3,12,"Transfer-PIDL"
0.9850532,"WindermereSouthBasin",4,12,"Transfer-PIDL"
0.74543667,"WindermereSouthBasin",5,12,"Transfer-PIDL"
0.98570824,"WindermereSouthBasin",1,18,"Transfer-PIDL"
0.9391024,"WindermereSouthBasin",2,18,"Transfer-PIDL"
0.9079453,"WindermereSouthBasin",3,18,"Transfer-PIDL"
0.9578142,"WindermereSouthBasin",4,18,"Transfer-PIDL"
0.76602143,"WindermereSouthBasin",5,18,"Transfer-PIDL"
1.0501981,"WindermereSouthBasin",1,24,"Transfer-PIDL"
0.87791777,"WindermereSouthBasin",2,24,"Transfer-PIDL"
0.88204175,"WindermereSouthBasin",3,24,"Transfer-PIDL"
0.9221928,"WindermereSouthBasin",4,24,"Transfer-PIDL"
0.722471,"WindermereSouthBasin",5,24,"Transfer-PIDL"
0.9448103,"WindermereSouthBasin",1,30,"Transfer-PIDL"
0.882653,"WindermereSouthBasin",2,30,"Transfer-PIDL"
0.9136418,"WindermereSouthBasin",3,30,"Transfer-PIDL"
0.94443595,"WindermereSouthBasin",4,30,"Transfer-PIDL"
0.7277334,"WindermereSouthBasin",5,30,"Transfer-PIDL"
0.9166513,"WindermereSouthBasin",1,36,"Transfer-PIDL"
0.8588307,"WindermereSouthBasin",2,36,"Transfer-PIDL"
0.893091,"WindermereSouthBasin",3,36,"Transfer-PIDL"
0.9630992,"WindermereSouthBasin",4,36,"Transfer-PIDL"
