"lake_id","test_rmse","Model","num"
"exper2_01",1.6746733,"Transfer-PIDL",1
"exper2_02",1.2730618,"Transfer-PIDL",2
"exper2_03",0.71729976,"Transfer-PIDL",3
"exper2_04",1.9167795,"Transfer-PIDL",4
"exper2_05",2.2189293,"Transfer-PIDL",5
"exper2_06",0.8252896,"Transfer-PIDL",6
"exper2_07",0.9158728,"Transfer-PIDL",7
"exper2_08",0.9044272,"Transfer-PIDL",8
"exper2_09",1.1643289,"Transfer-PIDL",9
"exper2_10",0.9961575,"Transfer-PIDL",10
"exper2_11",0.9627281,"Transfer-PIDL",11
"exper2_12",0.6961669,"Transfer-PIDL",12
"exper2_13",0.71588266,"Transfer-PIDL",13
"exper2_14",0.92899036,"Transfer-PIDL",14
"exper2_15",1.4033833,"Transfer-PIDL",15
"exper2_16",0.644981,"Transfer-PIDL",16
"exper2_17",1.0656102,"Transfer-PIDL",17
"exper2_18",2.70413,"Transfer-PIDL",18
"exper2_19",1.3353716,"Transfer-PIDL",19
"exper2_20",1.0422946,"Transfer-PIDL",20
"exper2_22",1.9313781,"Transfer-PIDL",21
"exper2_23",1.3912449,"Transfer-PIDL",22
"exper2_25",1.5705061,"Transfer-PIDL",23
"exper2_27",1.0377471,"Transfer-PIDL",24
"exper2_28",1.6221282,"Transfer-PIDL",25
"exper2_29",1.0210774,"Transfer-PIDL",26
"exper2_30",1.3722042,"Transfer-PIDL",27
"exper2_31",0.9074101,"Transfer-PIDL",28
"exper2_32",1.1992396,"Transfer-PIDL",29
"exper2_34",1.3021717,"Transfer-PIDL",30
"exper2_35",1.1625372,"Transfer-PIDL",31
"exper2_36",0.957536,"Transfer-PIDL",32
"exper2_37",0.96751666,"Transfer-PIDL",33
"exper2_38",0.9483436,"Transfer-PIDL",34
"exper2_39",0.8525646,"Transfer-PIDL",35
"exper2_40",2.4157407,"Transfer-PIDL",36
"exper2_41",1.486344,"Transfer-PIDL",37
"exper2_42",1.5117121,"Transfer-PIDL",38
"exper2_43",1.071978,"Transfer-PIDL",39
"exper2_44",0.95946646,"Transfer-PIDL",40
"exper2_45",0.82873577,"Transfer-PIDL",41
"exper2_46",1.0542665,"Transfer-PIDL",42
"exper2_47",1.210903,"Transfer-PIDL",43
"exper2_01",1.9171937,"PIDL",1
"exper2_02",1.9295379,"PIDL",2
"exper2_03",0.75511414,"PIDL",3
"exper2_04",2.3402126,"PIDL",4
"exper2_05",1.8604276,"PIDL",5
"exper2_06",0.72258943,"PIDL",6
"exper2_07",0.8145036,"PIDL",7
"exper2_08",1.0718291,"PIDL",8
"exper2_09",1.5973929,"PIDL",9
"exper2_10",1.3077371,"PIDL",10
"exper2_11",1.3634063,"PIDL",11
"exper2_12",1.0632764,"PIDL",12
"exper2_13",0.75515604,"PIDL",13
"exper2_14",0.86493677,"PIDL",14
"exper2_15",1.6891406,"PIDL",15
"exper2_16",0.8524675,"PIDL",16
"exper2_17",1.8740684,"PIDL",17
"exper2_18",2.7832127,"PIDL",18
"exper2_19",1.1780481,"PIDL",19
"exper2_20",1.0791432,"PIDL",20
"exper2_22",2.0893567,"PIDL",21
